	CMCP6_ASW1	CMCP6_ASW2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS00065	3979	4263	2909	3540
VV1_RS00070	1131	1022	1127	1014
VV1_RS00085	1654	1685	1665	1710
VV1_RS00095	3335	2546	3311	2495
VV1_RS00120	390	515	340	498
VV1_RS00130	1349	884	1327	857
VV1_RS00135	1149	1857	1148	1850
VV1_RS00140	5829	4585	5978	4608
VV1_RS00145	604	309	308	211
VV1_RS00150	93	108	93	101
VV1_RS00155	55	77	55	76
VV1_RS00160	1277	1521	1269	1517
VV1_RS00165	2223	2215	2150	2186
VV1_RS00170	1842	3083	1820	3027
VV1_RS00180	7836	5196	7685	5114
VV1_RS00190	1469	1013	1453	1008
VV1_RS00195	727	502	727	502
VV1_RS00205	278	460	278	460
VV1_RS00210	3359	2165	3368	2162
VV1_RS00230	204	146	204	146
VV1_RS00240	258	133	257	130
VV1_RS00245	256	262	249	256
VV1_RS00255	117	185	115	184
VV1_RS00265	662	350	660	349
VV1_RS00270	728	509	721	505
VV1_RS00285	581	564	577	561
VV1_RS00575	1003	1151	999	1135
VV1_RS00580	351	459	350	458
VV1_RS00590	118	46	117	46
VV1_RS00595	109	268	107	266
VV1_RS00600	1737	1811	1728	1790
VV1_RS00625	636	512	624	493
VV1_RS00630	1543	1146	1472	1060
VV1_RS00635	324	190	324	189
VV1_RS00650	930	2528	925	2507
VV1_RS00690	1645	3368	1633	3335
VV1_RS00705	212	399	190	343
ZNUC	1196	818	1191	809
VV1_RS00715	275	430	272	435
VV1_RS00720	13540	8277	13445	8226
VV1_RS00730	23936	11591	23918	11576
VV1_RS00765	494	485	516	487
VV1_RS00770	342	331	341	328
VV1_RS00775	479	493	474	487
VV1_RS00780	653	440	649	435
VV1_RS00790	1067	1587	1067	1587
VV1_RS00795	1034	1345	1027	1338
VV1_RS00805	401	468	401	468
VV1_RS00830	755	669	754	667
VV1_RS00835	19904	15457	19881	15417
VV1_RS00845	2563	2178	2562	2176
VV1_RS00850	1258	3019	1235	2956
VV1_RS00865	172	148	162	139
VV1_RS00885	1056	1026	1005	967
VV1_RS00890	388	370	380	357
VV1_RS00925	14006	6213	13994	6175
VV1_RS00930	6798	4705	6701	4653
VV1_RS00935	19160	7742	19132	7696
VV1_RS00945	779	740	745	722
VV1_RS00950	4750	2429	4731	2384
VV1_RS00975	1769	1722	1769	1717
VV1_RS00985	1386	622	1388	620
VV1_RS00995	12430	6528	12418	6515
VV1_RS01005	26935	26789	26835	26646
VV1_RS01020	31180	18632	31174	18640
VV1_RS01080	9696	7806	9083	7268
VV1_RS01085	36862	28498	36890	28525
VV1_RS01110	6917	4263	5158	4181
VV1_RS01115	7748	4750	9576	4710
VV1_RS01155	2141	1354	2129	1316
VV1_RS01180	1392	702	1390	698
VV1_RS01195	2966	2761	2967	2768
VV1_RS01200	3751	2686	3749	2680
VV1_RS01210	697	756	697	756
VV1_RS01235	147	79	142	79
UBIF	229	142	265	130
VV1_RS01330	1809	1308	1762	1297
VV1_RS01335	2207	1381	2202	1374
VV1_RS01345	1880	1610	2080	1667
VV1_RS01390	256	252	256	252
VV1_RS01395	408	222	408	219
VV1_RS01400	1030	1342	1029	1327
VV1_RS01415	684	577	684	576
VV1_RS01435	637	500	632	487
VV1_RS01440	776	771	775	788
VV1_RS01460	620	279	617	278
VV1_RS01470	198	161	172	140
VV1_RS01485	483	331	484	331
VV1_RS01490	5553	6362	5533	6348
VV1_RS01495	187897	132619	186611	125333
VV1_RS01505	28	9	27	9
VV1_RS01510	409	254	407	254
VV1_RS01520	277	263	273	263
VV1_RS01525	259	269	258	269
VV1_RS01530	902	523	821	477
VV1_RS01540	4501	4482	4498	4463
VV1_RS01550	6016	4354	6038	4312
VV1_RS01555	3936	2147	3905	2121
VV1_RS01565	111	119	111	115
VV1_RS01580	2606	1999	3245	2107
VV1_RS01585	554	618	532	564
VV1_RS01625	80	47	43	20
VV1_RS01630	877	660	877	658
VV1_RS01640	12940	8017	12931	8014
VV1_RS01655	606	547	596	540
VV1_RS01660	409	516	377	494
VV1_RS01670	722	1080	723	1077
VV1_RS01675	461	574	403	363
VV1_RS01685	576	357	637	382
VV1_RS01715	806	538	776	527
VV1_RS01730	182	163	181	160
VV1_RS01745	535	291	531	290
VV1_RS01760	24714	13589	16288	9187
VV1_RS01955	4113	6118	4133	6116
VV1_RS01975	131	67	126	66
VV1_RS01985	153	173	156	174
VV1_RS01990	87	86	80	56
VV1_RS01995	324	377	321	376
VV1_RS02000	48	40	27	26
VV1_RS02005	351	270	351	263
VV1_RS02010	9467	10456	9448	10422
VV1_RS02015	761	650	764	646
VV1_RS02020	4633	2239	4571	2214
VV1_RS02025	80343	96985	80333	96961
VV1_RS02035	880	804	879	804
VV1_RS02045	781	433	764	425
VV1_RS02060	8810	5122	8797	5096
VV1_RS02065	633	650	630	641
VV1_RS02075	1495	1297	1472	1260
VV1_RS02080	600	688	601	690
VV1_RS02095	7204	6667	7198	6658
VV1_RS02100	104	90	102	89
VV1_RS02110	2309	3481	2307	3471
VV1_RS02145	11409	9071	11056	8525
VV1_RS02155	296	185	244	167
VV1_RS02160	322	48	327	86
VV1_RS02190	979	590	973	589
VV1_RS02200	3233	2471	3507	2512
VV1_RS02205	2254	2549	1982	2178
VV1_RS02210	1110	812	1006	699
VV1_RS02215	15980	8692	15975	8689
VV1_RS02225	27815	22503	27163	21338
VV1_RS02240	327	249	328	253
VV1_RS02250	964	1318	963	1293
VV1_RS02255	2028	1545	2026	1541
VV1_RS02265	3899	3650	3897	3575
VV1_RS02270	20007	10102	19228	9524
VV1_RS02275	8176	6409	8164	6396
VV1_RS02280	535	474	534	466
VV1_RS02290	2521	2393	2522	2391
VV1_RS02300	465	228	463	227
VV1_RS02345	2220	1674	2155	1610
VV1_RS02360	3585	3080	3551	3053
PHEA	343	592	342	582
VV1_RS02385	2511	3202	2509	3204
VV1_RS02390	4220	4463	4210	4464
VV1_RS02400	1167	752	1160	748
VV1_RS02410	308	494	308	492
VV1_RS02415	98	153	98	153
VV1_RS02425	2049	3444	1810	3067
VV1_RS02440	279	232	273	226
VV1_RS02445	471	458	468	451
VV1_RS02450	89	73	89	73
VV1_RS02480	1158	942	1121	915
VV1_RS02500	3591	1016	3619	1030
VV1_RS02505	1738	996	1737	997
VV1_RS02515	303	320	303	318
VV1_RS02520	443	423	444	420
VV1_RS02525	3144	2916	3143	2903
