"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CMCP6_ASW1","CMCP6_ASW2","YJ016_CMCP6_ASW1","YJ016_CMCP6_ASW2"
"1","VV1_RS03775",3937.1278566634,-0.39411505358795,0.0677134879276807,-5.82033307764138,5.87304709029929e-09,7.3882932395965e-06,7097.65391991971,5839.4520007229,1627.42728713347,1183.97821887752
"2","VV1_RS02985",4078.21649169125,-0.265444920457511,0.060828667947575,-4.36381281086549,1.27814956643602e-05,0.00803956077288258,6259.46349563557,6655.0774855783,1190.06793545862,2208.2570500925
"3","POTD",458.161339965843,-0.29103288500982,0.068124343087324,-4.27208354342243,1.93654992460764e-05,0.00812059935052136,639.840018537514,719.669545460646,212.109900168492,261.025895696719
"4","VV1_RS00065",3702.80633551837,-0.0567112423509065,0.0663492443319065,-0.854738330812229,0.392696025322644,0.99994101861948,3637.0334768011,4545.11299599812,2730.21106013338,3898.86780914087
"5","VV1_RS00070",1074.48997011364,0.0082445793114314,0.0726994936427122,0.11340628246945,0.909708459155684,0.99994101861948,1033.79865852275,1089.63300068264,1057.73388269863,1116.79433855052
"6","VV1_RS00085",1688.5946120335,0.0128361204051592,0.0702817615957484,0.182638000438732,0.855082065768234,0.99994101861948,1511.85055808721,1796.50842089065,1562.66806982539,1883.35139933076
"7","VV1_RS00095",2904.57557545086,0.00548266415129293,0.0724957163920135,0.0756274222003127,0.939715519174388,0.99994101861948,3048.38065974658,2714.48690776712,3107.50389140653,2747.93084288319
"8","VV1_RS00120",443.287921981129,-0.00797565522641441,0.0569647581900724,-0.140010341127093,0.888651819833581,0.99994101861948,356.482296042329,549.081208758863,319.103389634014,548.484793489309
"9","VV1_RS00130",1091.22097262751,0.0017114087521994,0.0664345429725347,0.0257608267570522,0.979448107190687,0.99994101861948,1233.06312143872,942.500560277349,1245.44175895393,943.878449840036
"10","VV1_RS00135",1536.28242291951,0.00441267896238381,0.0534020817057562,0.0826312162641436,0.93414477915578,0.99994101861948,1050.25168757086,1979.89088284507,1077.44320970544,2037.54391155667
"11","VV1_RS00140",5225.54652184184,0.0160173656689521,0.0733934211142712,0.218239801684862,0.827242275137724,0.99994101861948,5328.03924007881,4888.42202361046,5610.58842127099,5075.1364024071
"12","VV1_RS00145",350.749882098904,-0.107002833653889,0.0596048250362429,-1.79520422363165,0.0726211677977663,0.99994101861948,552.090530280941,329.448725255318,289.070129433166,232.390143426193
"13","VV1_RS00150",99.6693725752738,-0.00145593771160585,0.0564500694282638,-0.025791601788126,0.979423560424489,0.99994101861948,85.0073167485554,115.147127273703,87.2841624587157,111.238883820121
"14","VV1_RS00155",66.9232384896314,0.00279888809648768,0.0482580404601669,0.0579983785043642,0.953749920120431,0.99994101861948,50.2731443136618,82.0956370377329,51.6196659702082,83.7045066369227
"15","VV1_RS00160",1412.67471583349,0.00643225458513671,0.0643384117996872,0.099975339850835,0.920363903288144,0.99994101861948,1167.25100524629,1621.65537577132,1191.00647483989,1670.78600747647
"16","VV1_RS00165",2204.74924607498,0.00234402896857882,0.0710178172719799,0.0330062096896304,0.973669635724623,0.99994101861948,2031.94908744128,2361.5822862153,2017.8596697445,2407.60594089885
"17","VV1_RS00170",2503.18034550259,0.00219287033308338,0.0525437536069121,0.0417341773769833,0.966710608079737,0.99994101861948,1683.693305923,3287.02401282248,1708.14167392325,3333.86238934164
"18","VV1_RS00180",6386.87888875956,0.00325381289681108,0.0682901308647154,0.0476468979574365,0.961997655284126,0.99994101861948,7162.5519789428,5539.85623439039,7212.67514511,5632.43219659503
"19","VV1_RS00190",1224.16779938098,0.00620943930998107,0.068833344832837,0.0902097569871232,0.92812053098749,0.99994101861948,1342.74998175944,1080.03740674316,1363.69772099477,1110.18608802655
