	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_HS1	CMCP6_YJ016ref_HS2
VV1_RS00065	1701	1361	1297	1148
VV1_RS00070	653	693	653	691
VV1_RS00085	8540	11160	8537	11184
VV1_RS00095	20380	110337	20191	108641
VV1_RS00120	309	668	303	616
VV1_RS00130	54	139	54	136
VV1_RS00135	71	37	71	35
VV1_RS00140	104	45	272	271
VV1_RS00145	379	327	200	131
VV1_RS00150	39	47	39	47
VV1_RS00155	15	36	13	36
VV1_RS00160	131	498	131	498
VV1_RS00165	350	927	347	916
VV1_RS00170	94	690	93	684
VV1_RS00180	749	701	738	688
VV1_RS00190	836	12066	829	11953
VV1_RS00195	651	4140	651	4133
VV1_RS00205	588	1554	589	1553
VV1_RS00210	7558	4616	7574	4621
VV1_RS00230	786	491	784	489
VV1_RS00240	648	656	648	655
VV1_RS00245	556	572	527	541
VV1_RS00255	471	430	466	424
VV1_RS00265	520	804	522	802
VV1_RS00270	726	960	713	951
VV1_RS00285	920	757	930	756
VV1_RS00575	991	601	989	596
VV1_RS00580	373	362	373	362
VV1_RS00590	80	119	80	111
VV1_RS00595	249	323	250	319
VV1_RS00600	4295	2345	4269	2336
VV1_RS00625	2020	2282	1976	2194
VV1_RS00630	3260	9244	3155	8724
VV1_RS00635	149	436	147	431
VV1_RS00650	1184	410	1180	408
VV1_RS00690	60865	67243	60516	66722
VV1_RS00705	1709	1200	1575	1119
ZNUC	2374	2558	2359	2521
VV1_RS00715	286	735	285	735
VV1_RS00720	4394	9839	4381	9791
VV1_RS00730	3529	18066	3524	18035
VV1_RS00765	1454	1166	1466	1174
VV1_RS00770	189	403	187	400
VV1_RS00775	663	2009	659	2000
VV1_RS00780	769	2468	765	2450
VV1_RS00790	756	2929	756	2929
VV1_RS00795	4461	3426	4444	3412
VV1_RS00805	638	442	638	442
VV1_RS00830	19768	2868	19762	2870
VV1_RS00835	8456	24505	8448	24466
VV1_RS00845	3222	5188	3220	5180
VV1_RS00850	5495	3192	5463	3127
VV1_RS00865	195	365	187	341
VV1_RS00885	13800	233553	13471	222450
VV1_RS00890	5083	3998	5022	3894
VV1_RS00925	144	5417	144	5397
VV1_RS00930	132	5794	130	5714
VV1_RS00935	894	1899	895	1892
VV1_RS00945	7736	32701	7630	32001
VV1_RS00950	14051	5915	13901	5836
VV1_RS00975	3358	3764	3353	3762
VV1_RS00985	11194	3570	11162	3572
VV1_RS00995	34710	8862	34674	8845
VV1_RS01005	2403	4876	2400	4849
VV1_RS01020	19228	6325	19257	6324
VV1_RS01080	2619	5913	2485	5554
VV1_RS01085	20632	17648	20640	17646
VV1_RS01110	3945	1172	3667	1058
VV1_RS01115	8109	2845	8367	2683
VV1_RS01155	770	811	734	791
VV1_RS01180	266	302	265	301
VV1_RS01195	4310	3469	4319	3467
VV1_RS01200	2324	2376	2319	2365
VV1_RS01210	302	617	303	616
VV1_RS01235	1179	2451	1174	2437
UBIF	457	314	446	342
VV1_RS01330	2247	2687	2233	2673
VV1_RS01335	2482	1981	2477	1978
VV1_RS01345	2491	3181	2885	3416
VV1_RS01390	291	427	292	427
VV1_RS01395	465	739	465	733
VV1_RS01400	2073	2746	2071	2740
VV1_RS01415	3200	3415	3194	3409
VV1_RS01435	346	1868	344	1850
VV1_RS01440	304	3824	313	3797
VV1_RS01460	550	1235	547	1229
VV1_RS01470	666	363	550	305
VV1_RS01485	1681	1153	1673	1150
VV1_RS01490	3643	5589	3621	5557
VV1_RS01495	12720	25439	12061	25094
VV1_RS01505	20	32	20	32
VV1_RS01510	3248	2768	3238	2767
VV1_RS01520	1646	1965	1638	1954
VV1_RS01525	1879	2040	1874	2036
VV1_RS01530	1762	1686	1672	1566
VV1_RS01540	2177	3009	2171	3007
VV1_RS01550	1520	6570	1521	6537
VV1_RS01555	1236	5775	1224	5707
VV1_RS01565	210	253	208	246
VV1_RS01580	5134	6675	5680	6852
VV1_RS01585	764	804	742	754
VV1_RS01625	577	220	339	79
VV1_RS01630	6166	5362	6164	5359
VV1_RS01640	16641	5729	16631	5712
VV1_RS01655	12253	3727	11961	3653
VV1_RS01660	1033	3262	990	3031
VV1_RS01670	543	442	539	445
VV1_RS01675	1004	2365	865	1927
VV1_RS01685	1076	2213	1094	2221
VV1_RS01715	17437	111994	16930	108871
VV1_RS01730	255	223	254	216
VV1_RS01745	205	246	198	235
VV1_RS01760	5645	8319	3869	5840
VV1_RS01955	5335	2949	5339	2951
VV1_RS01975	79	67	74	65
VV1_RS01985	133	101	134	107
VV1_RS01990	51	86	47	73
VV1_RS01995	1309	559	1299	544
VV1_RS02000	117	226	113	185
VV1_RS02005	500	284	499	283
VV1_RS02010	437	708	437	706
VV1_RS02015	2023	1523	2012	1494
VV1_RS02020	6502	297	6466	292
VV1_RS02025	672	617	672	615
VV1_RS02035	719	355	719	355
VV1_RS02045	1614	2775	1605	2755
VV1_RS02060	1047	3723	1038	3689
VV1_RS02065	414	338	403	328
VV1_RS02075	4836	2997	4770	2886
VV1_RS02080	1462	1723	1472	1723
VV1_RS02095	11642	10534	11631	10521
VV1_RS02100	214	323	206	320
VV1_RS02110	6314	3316	6312	3308
VV1_RS02145	1953	926	1755	890
VV1_RS02155	840	1213	691	994
VV1_RS02160	158	428	166	472
VV1_RS02190	371	653	370	646
VV1_RS02200	4968	4468	6670	4672
VV1_RS02205	15374	4552	16041	4700
VV1_RS02210	2050	2117	1830	1832
VV1_RS02215	16500	19707	16498	19699
VV1_RS02225	2333	3451	2243	3259
VV1_RS02240	104	152	104	152
VV1_RS02250	2701	1728	2682	1713
VV1_RS02255	1837	2898	1836	2893
VV1_RS02265	3035	6218	2986	6092
VV1_RS02270	1378	4811	1344	4572
VV1_RS02275	1465	4552	1462	4549
VV1_RS02280	208	688	208	684
VV1_RS02290	2881	2928	2877	2926
VV1_RS02300	534	690	521	682
VV1_RS02345	31773	447021	30671	430806
VV1_RS02360	6757	7931	6756	7886
PHEA	2882	1409	2866	1386
VV1_RS02385	8965	8034	8925	8005
VV1_RS02390	9601	6579	9558	6546
VV1_RS02400	270	1239	268	1237
VV1_RS02410	18801	3311	18822	3310
VV1_RS02415	6457	1260	6436	1252
VV1_RS02425	2737	2989	2552	2689
VV1_RS02440	1566	59987	1546	57434
VV1_RS02445	464	1608	463	1601
VV1_RS02450	172	388	167	384
VV1_RS02480	1648	922	1608	895
VV1_RS02500	57	73	81	77
VV1_RS02505	992	1053	991	1051
VV1_RS02515	296	1083	296	1082
VV1_RS02520	380	1402	380	1402
VV1_RS02525	7244	8491	7240	8487
VV1_RS02535	1079	410	1050	399
VV1_RS02545	7714	2044	7716	2042
VV1_RS02555	22845	10192	22848	10192
VV1_RS02565	6874	1660	6866	1652
VV1_RS02570	1090	861	1085	849
VV1_RS02575	2347	1149	2304	1111
VV1_RS02590	81	145	77	133
VV1_RS02595	466	307	449	251
VV1_RS02600	1011	813	922	761
VV1_RS02605	9010	3593	9001	3585
VV1_RS02610	388	408	395	452
VV1_RS02625	45759	835	45531	837
VV1_RS02630	7565	626	7546	629
VV1_RS02640	22685	4088	22444	4007
VV1_RS02645	20332	4262	20328	4258
VV1_RS02670	15973	11411	15916	11396
VV1_RS02680	12380	23257	12355	23183
VV1_RS02685	1940	1328	1940	1324
VV1_RS02690	2526	1950	2441	1929
VV1_RS02720	678	1949	675	1899
VV1_RS02730	188	533	180	525
VV1_RS02735	31	186	28	137
VV1_RS02740	144	590	133	548
VV1_RS02745	110	308	99	254
VV1_RS02760	336	517	336	521
VV1_RS02765	3810	1531	3793	1527
VV1_RS02790	47277	26049	47245	26029
VV1_RS02800	4905	6286	4906	6286
VV1_RS02815	704	1437	667	1289
MURF	490	617	489	611
VV1_RS02840	121	347	119	339
VV1_RS02855	5202	4243	5094	4190
VV1_RS02860	9815	3617	9792	3610
VV1_RS02890	9538	7914	9524	7900
VV1_RS02895	6708	9326	6520	8973
VV1_RS02915	1915	1934	1915	1939
VV1_RS02925	5312	90230	5168	87407
VV1_RS02930	1334	914	1319	894
VV1_RS02935	2228	1326	2212	1301
VV1_RS02940	1323	1106	1301	1083
VV1_RS02950	2817	1748	2815	1747
NUDF	2404	2158	2433	2173
VV1_RS02970	7542	5584	7480	5604
