"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CMCP6_HS1","CMCP6_HS2","CMCP6_YJ016ref_HS1","CMCP6_YJ016ref_HS2"
"1","VV1_RS00065",1388.17300933767,-0.0427738732379227,0.0557166244264011,-0.7677039605015,0.442663082704221,0.999990220042561,1825.85955328101,1240.74646625298,1420.42371439338,1065.66230342331
"2","VV1_RS00070",672.320252339296,0.00714755096342893,0.0716875369978233,0.0997042339960146,0.920579139052474,0.999990220042561,700.932562194299,631.76877377907,715.140081340691,641.439592043125
"3","VV1_RS00085",9768.01183305965,0.00600350158949765,0.0648830216386919,0.0925280826612669,0.926278480183237,0.999990220042561,9166.86689301579,10173.938694624,9349.38878163167,10381.8529629672
"4","VV1_RS00095",61356.3280115006,0.000105765112088688,0.0212948628985103,0.00496669608030616,0.996037166171907,0.999990220042561,21875.9657236138,100587.981518703,22112.3941536752,100848.97065001
"5","VV1_RS00120",461.077991563499,-0.00466370051950737,0.043475696988207,-0.107271437667174,0.914573643208683,0.999990220042561,331.681717791789,608.977692473909,331.833759029448,571.81879695885
"6","VV1_RS00130",92.5166513866144,0.000284939422333658,0.0354809321927896,0.00803077610208797,0.993592436611174,0.999990220042561,57.9637953422544,126.718412056697,59.1386897280204,126.245708419486
"7","VV1_RS00135",55.0471467315821,0.000165753821710924,0.0331436348359582,0.00500107554682248,0.996009735667044,0.999990220042561,76.2116568388901,33.7308003316386,77.7564253831379,32.4897043726619
"8","VV1_RS00140",175.526208154266,0.102579221357446,0.0384512315091745,2.66777466758042,0.00763554488566942,0.999990220042561,111.633976214712,41.0239463492902,297.883770481881,251.563139571182
"9","VV1_RS00145",261.390955185782,-0.0986840904056798,0.0473135121559231,-2.08574857179199,0.0370014041422709,0.999990220042561,406.81997101323,298.107343471509,219.032184177853,121.604322080535
"10","VV1_RS00150",42.7625703587619,0.00369618091714411,0.0545250205923061,0.0677887119893298,0.945953829619881,0.999990220042561,41.8627410805171,42.8472328537031,42.7112759146814,43.629031586146
"11","VV1_RS00155",24.1438212382956,-0.00166073162440459,0.0333255612960338,-0.0498335679826115,0.960255016523359,0.999990220042561,16.1010542617373,32.8191570794322,14.2370919715605,33.4179816404522
"12","VV1_RS00160",300.090593370184,0.000878361851396341,0.0284617395237995,0.0308611443324419,0.97538027748305,0.999990220042561,140.615873885839,453.998339598812,143.466080636494,462.282079359589
"13","VV1_RS00165",612.776844436778,0.000614923766204525,0.0363446016976331,0.0169192600133673,0.986501027697224,0.999990220042561,375.691266107205,845.093294795379,380.020839548576,850.301977295952
"14","VV1_RS00170",366.681350218491,0.000250549950401637,0.0215651034816274,0.0116183050368896,0.990730142337478,0.999990220042561,100.899940040221,629.03384402245,101.849965642702,634.941651168593
"15","VV1_RS00180",722.481187280543,0.000741714972717367,0.0632372287968467,0.0117290872296155,0.990641756958907,0.999990220042561,803.979309469418,639.061919796721,808.228759616279,638.654760239754
"16","VV1_RS00190",5975.20987265641,0.000148081898554943,0.0170633321397405,0.00867836934440606,0.993075750002866,0.999990220042561,897.365424187494,10999.887481123,907.888403417202,11095.6981818979
"17","VV1_RS00195",2255.62713159262,0.000488324203537926,0.0223448551358919,0.021853988337277,0.982564427987018,0.999990220042561,698.7857549594,3774.2030641347,712.949759498913,3836.56994777748
"18","VV1_RS00205",1033.62983006778,0.00150959130535406,0.0366564192015994,0.041182181408712,0.96715065879699,0.999990220042561,631.161327060104,1416.69361392882,645.049782403778,1441.6145968784
"19","VV1_RS00210",6226.31196553504,0.00181293839459906,0.0377759803917913,0.0479918290881211,0.961722754548114,0.999990220042561,8112.78454068072,4208.14525218497,8294.74881481531,4289.56925445916
"20","VV1_RS00230",650.961456518766,0.00172851045781536,0.0417113198037708,0.0414398409339974,0.966945251589125,0.999990220042561,843.695243315036,447.616836833367,858.606161977185,453.927583949476
