	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2
VV1_RS00065	1701	1361	3979	4263
VV1_RS00070	653	693	1131	1022
VV1_RS00085	8540	11160	1654	1685
VV1_RS00095	20380	110337	3335	2546
VV1_RS00120	309	668	390	515
VV1_RS00130	54	139	1349	884
VV1_RS00135	71	37	1149	1857
VV1_RS00140	104	45	5829	4585
VV1_RS00145	379	327	604	309
VV1_RS00150	39	47	93	108
VV1_RS00155	15	36	55	77
VV1_RS00160	131	498	1277	1521
VV1_RS00165	350	927	2223	2215
VV1_RS00170	94	690	1842	3083
VV1_RS00180	749	701	7836	5196
VV1_RS00190	836	12066	1469	1013
VV1_RS00195	651	4140	727	502
VV1_RS00205	588	1554	278	460
VV1_RS00210	7558	4616	3359	2165
VV1_RS00230	786	491	204	146
VV1_RS00240	648	656	258	133
VV1_RS00245	556	572	256	262
VV1_RS00255	471	430	117	185
VV1_RS00265	520	804	662	350
VV1_RS00270	726	960	728	509
VV1_RS00285	920	757	581	564
VV1_RS00575	991	601	1003	1151
VV1_RS00580	373	362	351	459
VV1_RS00590	80	119	118	46
VV1_RS00595	249	323	109	268
VV1_RS00600	4295	2345	1737	1811
VV1_RS00625	2020	2282	636	512
VV1_RS00630	3260	9244	1543	1146
VV1_RS00635	149	436	324	190
VV1_RS00650	1184	410	930	2528
VV1_RS00690	60865	67243	1645	3368
VV1_RS00705	1709	1200	212	399
ZNUC	2374	2558	1196	818
VV1_RS00715	286	735	275	430
VV1_RS00720	4394	9839	13540	8277
VV1_RS00730	3529	18066	23936	11591
VV1_RS00765	1454	1166	494	485
VV1_RS00770	189	403	342	331
VV1_RS00775	663	2009	479	493
VV1_RS00780	769	2468	653	440
VV1_RS00790	756	2929	1067	1587
VV1_RS00795	4461	3426	1034	1345
VV1_RS00805	638	442	401	468
VV1_RS00830	19768	2868	755	669
VV1_RS00835	8456	24505	19904	15457
VV1_RS00845	3222	5188	2563	2178
VV1_RS00850	5495	3192	1258	3019
VV1_RS00865	195	365	172	148
