"","Gene","YJ016","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CMCP6_HS1","CMCP6_HS2","CMCP6_ASW1","CMCP6_ASW2"
"1","CYSJ","VV2967",104,1769.05166398984,-2.69172078353462,0.396731130976429,-6.7847480910051,1.16289240289213e-11,1.40665254119067e-10,550.767396572103,370.313324831179,3505.07244088141,2650.05349367465
"2","FADH","VV1153",824,4948.95675038747,-1.00486149940154,0.66149130240957,-1.51908497623657,0.128741107864548,0.196548924385439,1290.53296389165,5126.74716018944,7541.63753137121,5836.90934609758
"3","FOLP","VV2714",1046,617.485319105451,-0.465204453986868,0.605374947975928,-0.768456731720201,0.442215887014313,0.531842816313581,222.406938303813,806.161843609028,708.656866144508,732.715628364454
"4","GAPA","VV2859",321,1650.40574612309,1.88099121702272,0.474540552534109,3.9638155411123,7.37612553774982e-05,0.000289070589610258,3407.69429074941,1822.35214010738,539.598201998922,831.978351636644
"5","GLNG","VV0196",927,8048.42759202435,1.23677297265824,1.0707770116986,1.15502383703243,0.248080665194729,0.336661787286914,23159.9122062893,445.323486577367,4351.52369766513,4236.95097756558
"6","HFLB","VV2715",1180,29648.1492603588,-0.128381537833564,0.436867519033547,-0.293868351937846,0.768858502356138,0.818987295481813,28403.1796402071,28197.5041713669,28983.1394764657,33008.7737533954
"7","MURF","VV0610",562,369.467887755238,0.856445479471187,0.340173468601834,2.51767277145778,0.0118133015932451,0.0264432978724241,467.722745789134,487.17126102524,291.799886059503,231.177658147074
"8","NUDF","VV0584",365,1401.44599636157,1.29616490879927,0.354598170929692,3.655306245379,0.000256875152651407,0.000885339567220465,2294.70506301445,1703.9150426134,739.921139650883,867.242740167553
"9","PHEA","VV0709",497,1258.46723697366,1.65754302911642,0.570794536297066,2.90392238136941,0.00368519509329324,0.00932791836491529,2750.97337421283,1112.51913579346,397.172067136546,773.204370751795
"10","POTD","VV1689",526,1324.56499739181,1.07235307471121,0.391051806431141,2.74222764624933,0.0061024032918218,0.014594721180821,2216.43309331096,1389.66194392937,810.555239054175,881.609713272739
"12","RELA","VV2821",665,7568.19345128395,1.21928807378647,0.569583809200749,2.14066491022173,0.0323010701687135,0.0611048816123934,15417.6689591553,5970.01929434658,4524.05616997809,4361.02938165582
"13","THRS","VV1945",327,10487.6993794322,2.438338733115,0.624375552126303,3.90524376685037,9.41304505475312e-05,0.000362128766938209,26932.2393315111,8920.68218324662,3033.7924661742,3064.08353679681
"14","TLDD","VV2927",304,11900.9161068603,-2.30862023939044,0.560188346804249,-4.12115006061909,3.7698576317336e-05,0.000156002661207924,4757.40850002662,2841.70075920557,26354.6246298186,13649.9305383902
"15","UBIF","VV0918",891,283.695823357889,0.586207416500136,0.457216853813909,1.28212118956299,0.199800136839883,0.2820218015079,436.22305066456,247.928324087399,265.167356776295,185.464561903302
"16","VV1_RS00065","VV1112",236,3218.39201408032,-1.88056986145259,0.397308537522404,-4.73327322181329,2.20927776866851e-06,1.17495896749515e-05,1623.66610323942,1074.61926459538,4607.42756599509,5567.85512249139
"17","VV1_RS00070","VV1110",355,953.734907205231,-1.16342803550231,0.308233332930797,-3.77450428362176,0.00016032615352253,0.000568141693327727,623.312148980214,547.17939042219,1309.62567910039,1334.82241031813
"18","VV1_RS00085","VV1108",155,5269.86115890166,2.0149586691037,0.348287002839023,5.78533982801248,7.23658852177714e-09,5.87330861961009e-08,8151.73928375348,8811.72005355216,1915.22623627944,2200.75906202158
"19","VV1_RS00095","VV1106",229,28440.1065575676,3.62307694080609,0.753745825247033,4.80676219947044,1.53394265224743e-06,8.42663692806669e-06,19453.4480799644,87119.9601746222,3861.71674606525,3325.30122961836
"20","VV1_RS00120","VV1100",989,486.655546414842,-0.43912496663043,0.456357151108994,-0.962239696613303,0.335929212865774,0.426957246360218,294.951690711924,527.439874173194,451.595061758755,672.635559015497
"21","VV1_RS00130","VV1098",65,719.483651884263,-3.96185450515633,0.479296212210115,-8.26598334021369,1.3854790241664e-16,2.68143478830975e-15,51.5449556583944,109.751710344422,1562.05573926298,1154.58220227126
