	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_ASW1	CMCP6_YJ016ref_ASW2
VV1_RS00065	1701	1361	2909	3540
VV1_RS00070	653	693	1127	1014
VV1_RS00085	8540	11160	1665	1710
VV1_RS00095	20380	110337	3311	2495
VV1_RS00120	309	668	340	498
VV1_RS00130	54	139	1327	857
VV1_RS00135	71	37	1148	1850
VV1_RS00140	104	45	5978	4608
VV1_RS00145	379	327	308	211
VV1_RS00150	39	47	93	101
VV1_RS00155	15	36	55	76
VV1_RS00160	131	498	1269	1517
VV1_RS00165	350	927	2150	2186
VV1_RS00170	94	690	1820	3027
VV1_RS00180	749	701	7685	5114
VV1_RS00190	836	12066	1453	1008
VV1_RS00195	651	4140	727	502
VV1_RS00205	588	1554	278	460
VV1_RS00210	7558	4616	3368	2162
VV1_RS00230	786	491	204	146
VV1_RS00240	648	656	257	130
VV1_RS00245	556	572	249	256
VV1_RS00255	471	430	115	184
VV1_RS00265	520	804	660	349
VV1_RS00270	726	960	721	505
VV1_RS00285	920	757	577	561
VV1_RS00575	991	601	999	1135
VV1_RS00580	373	362	350	458
VV1_RS00590	80	119	117	46
VV1_RS00595	249	323	107	266
VV1_RS00600	4295	2345	1728	1790
VV1_RS00625	2020	2282	624	493
VV1_RS00630	3260	9244	1472	1060
VV1_RS00635	149	436	324	189
VV1_RS00650	1184	410	925	2507
VV1_RS00690	60865	67243	1633	3335
VV1_RS00705	1709	1200	190	343
ZNUC	2374	2558	1191	809
VV1_RS00715	286	735	272	435
VV1_RS00720	4394	9839	13445	8226
VV1_RS00730	3529	18066	23918	11576
VV1_RS00765	1454	1166	516	487
VV1_RS00770	189	403	341	328
VV1_RS00775	663	2009	474	487
VV1_RS00780	769	2468	649	435
VV1_RS00790	756	2929	1067	1587
VV1_RS00795	4461	3426	1027	1338
VV1_RS00805	638	442	401	468
VV1_RS00830	19768	2868	754	667
VV1_RS00835	8456	24505	19881	15417
VV1_RS00845	3222	5188	2562	2176
VV1_RS00850	5495	3192	1235	2956
VV1_RS00865	195	365	162	139
VV1_RS00885	13800	233553	1005	967
VV1_RS00890	5083	3998	380	357
VV1_RS00925	144	5417	13994	6175
VV1_RS00930	132	5794	6701	4653
VV1_RS00935	894	1899	19132	7696
VV1_RS00945	7736	32701	745	722
VV1_RS00950	14051	5915	4731	2384
VV1_RS00975	3358	3764	1769	1717
