	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2	CMCP6_YJ016_HS1	CMCP6_YJ016_HS2	CMCP6_YJ016_ASW1	CMCP6_YJ016_ASW2	YJ016_CMCP6_HS1	YJ016_CMCP6_HS2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS00065	1701	1361	3979	4263	2147	3236	4266	1507	2431	3538	4981	2184	1297	1148	2909	3540
VV1_RS00070	653	693	1131	1022	711	995	942	283	711	994	939	282	653	691	1127	1014
VV1_RS00085	8540	11160	1654	1685	9895	7934	1889	664	9815	7898	1863	628	8537	11184	1665	1710
VV1_RS00095	20380	110337	3335	2546	67967	14761	3332	1052	68120	14701	3317	1053	20191	108641	3311	2495
VV1_RS00120	309	668	390	515	567	294	474	318	523	268	414	277	303	616	340	498
VV1_RS00130	54	139	1349	884	122	187	829	124	114	180	803	120	54	136	1327	857
VV1_RS00135	71	37	1149	1857	55	66	564	56	55	66	564	56	71	35	1148	1850
VV1_RS00140	104	45	5829	4585	967	154	3800	687	45	74	3604	294	272	271	5978	4608
VV1_RS00145	379	327	604	309	85	103	402	124	319	176	710	565	200	131	308	211
VV1_RS00150	39	47	93	108	40	31	135	59	39	31	132	59	39	47	93	101
VV1_RS00155	15	36	55	77	22	36	110	32	22	36	109	32	13	36	55	76
VV1_RS00160	131	498	1277	1521	201	67	1037	655	201	67	1031	653	131	498	1269	1517
VV1_RS00165	350	927	2223	2215	937	203	1435	954	927	202	1416	937	347	916	2150	2186
VV1_RS00170	94	690	1842	3083	1259	101	1270	743	1246	101	1261	733	93	684	1820	3027
VV1_RS00180	749	701	7836	5196	471	418	16970	4381	471	413	17043	4454	738	688	7685	5114
VV1_RS00190	836	12066	1469	1013	6312	974	1019	437	6253	964	1000	434	829	11953	1453	1008
VV1_RS00195	651	4140	727	502	2265	999	1079	564	2262	1001	1078	564	651	4133	727	502
VV1_RS00205	588	1554	278	460	1516	798	522	288	1517	797	521	288	589	1553	278	460
VV1_RS00210	7558	4616	3359	2165	3678	4040	2179	2037	3671	4016	2156	2014	7574	4621	3368	2162
VV1_RS00230	786	491	204	146	552	739	167	108	548	735	168	106	784	489	204	146
VV1_RS00240	648	656	258	133	784	806	304	153	781	805	305	151	648	655	257	130
VV1_RS00245	556	572	256	262	567	710	252	89	565	723	257	91	527	541	249	256
VV1_RS00255	471	430	117	185	802	701	252	141	796	699	250	139	466	424	115	184
VV1_RS00265	520	804	662	350	512	305	474	422	512	304	473	418	522	802	660	349
VV1_RS00270	726	960	728	509	728	524	494	338	721	520	495	332	713	951	721	505
VV1_RS00285	920	757	581	564	774	842	799	637	771	841	795	616	930	756	577	561
VV1_RS00575	991	601	1003	1151	545	553	615	282	542	551	612	278	989	596	999	1135
VV1_RS00580	373	362	351	459	229	314	282	107	229	314	282	105	373	362	350	458
VV1_RS00590	80	119	118	46	108	73	146	26	109	90	155	26	80	111	117	46
VV1_RS00595	249	323	109	268	335	499	323	78	335	500	323	77	250	319	107	266
VV1_RS00600	4295	2345	1737	1811	2322	3466	1341	760	2317	3461	1331	756	4269	2336	1728	1790
VV1_RS00625	2020	2282	636	512	3290	1889	1600	343	3212	1859	1579	336	1976	2194	624	493
VV1_RS00630	3260	9244	1543	1146	6229	1980	1447	501	5665	1802	1282	464	3155	8724	1472	1060
VV1_RS00635	149	436	324	190	479	159	462	170	478	158	463	170	147	431	324	189
VV1_RS00650	1184	410	930	2528	855	836	1038	450	853	837	1035	450	1180	408	925	2507
VV1_RS00690	60865	67243	1645	3368	91855	126149	2802	1714	91407	125631	2789	1695	60516	66722	1633	3335
VV1_RS00705	1709	1200	212	399	1168	1350	322	220	1243	1456	352	255	1575	1119	190	343
ZNUC	2374	2558	1196	818	1723	825	846	2101	1731	808	848	2100	2359	2521	1191	809
VV1_RS00715	286	735	275	430	1097	425	589	356	1092	425	588	353	285	735	272	435
VV1_RS00720	4394	9839	13540	8277	9093	5722	14331	5153	9069	5698	14250	5127	4381	9791	13445	8226
VV1_RS00730	3529	18066	23936	11591	16625	5643	19452	6446	16606	5646	19438	6441	3524	18035	23918	11576
VV1_RS00765	1454	1166	494	485	1600	1351	688	322	1597	1343	681	301	1466	1174	516	487
VV1_RS00770	189	403	342	331	251	196	652	211	252	198	655	215	187	400	341	328
VV1_RS00775	663	2009	479	493	1662	1156	1005	261	1658	1149	1001	256	659	2000	474	487
VV1_RS00780	769	2468	653	440	1459	827	797	235	1457	826	795	233	765	2450	649	435
VV1_RS00790	756	2929	1067	1587	2084	494	984	628	2084	494	984	628	756	2929	1067	1587
VV1_RS00795	4461	3426	1034	1345	3111	2979	1006	516	3086	2969	998	514	4444	3412	1027	1338
VV1_RS00805	638	442	401	468	399	437	532	165	399	437	532	165	638	442	401	468
VV1_RS00830	19768	2868	755	669	4380	20019	1530	765	4379	20019	1529	767	19762	2870	754	667
VV1_RS00835	8456	24505	19904	15457	35383	8499	38891	9789	35362	8497	38858	9767	8448	24466	19881	15417
VV1_RS00845	3222	5188	2563	2178	6176	1727	3034	1840	6172	1727	3032	1834	3220	5180	2562	2176
VV1_RS00850	5495	3192	1258	3019	3788	3392	1220	1015	3739	3362	1214	1014	5463	3127	1235	2956
VV1_RS00865	195	365	172	148	185	135	218	66	175	129	210	64	187	341	162	139
VV1_RS00885	13800	233553	1056	1026	103608	3548	882	366	100947	3504	858	353	13471	222450	1005	967
VV1_RS00890	5083	3998	388	370	4824	3760	924	326	4716	3705	916	322	5022	3894	380	357
VV1_RS00925	144	5417	14006	6213	1764	152	7930	4589	1768	151	8012	4647	144	5397	13994	6175
VV1_RS00930	132	5794	6798	4705	3438	105	7455	2003	3382	100	7357	1955	130	5714	6701	4653
VV1_RS00935	894	1899	19160	7742	2506	909	23754	3687	2497	909	23697	3678	895	1892	19132	7696
VV1_RS00945	7736	32701	779	740	17275	2046	870	464	17380	2080	920	476	7630	32001	745	722
VV1_RS00950	14051	5915	4750	2429	4666	5487	2235	1143	4596	5404	2160	1100	13901	5836	4731	2384
VV1_RS00975	3358	3764	1769	1722	2886	2603	2439	1290	2891	2603	2439	1291	3353	3762	1769	1717
VV1_RS00985	11194	3570	1386	622	4052	4456	1146	587	4003	4403	1127	579	11162	3572	1388	620
VV1_RS00995	34710	8862	12430	6528	32107	40790	13913	4492	32063	40725	13885	4480	34674	8845	12418	6515
