	IAI1_batch1	IAI1_batch2	IAI1_K12ref_batch1	IAI1_K12ref_batch2
thrA	18353	12023	17286	11327
thrB	5999	3822	5651	3624
thrC	10508	6982	9911	6572
yaaA	471	329	471	328
yaaJ	56	39	55	39
talB	4437	2099	4339	2030
htpY	20	14	19	13
dnaK	12813	8992	12521	8788
dnaJ	2247	1567	2305	1621
nhaA	722	584	696	568
nhaR	237	195	237	193
ribF	1870	1221	1816	1181
ileS	7749	5378	7253	5063
ispH	1065	728	901	610
rihC	87	49	74	41
dapB	4138	2461	3662	2173
carA	4552	3110	4367	2989
carB	10986	7394	9790	6566
caiD	38	28	33	25
caiB	29	27	26	27
caiA	63	77	63	77
caiT	11	4	11	4
fixA	14	10	13	9
fixB	12	10	12	10
fixC	18	10	17	10
yaaU	3	10	3	10
kefC	178	136	178	136
apaH	313	206	280	188
ksgA	727	455	704	448
surA	3526	2423	3487	2400
imp	4285	3011	4284	3008
djlA	320	195	308	189
rluA	140	94	135	89
hepA	669	469	668	468
polB	109	59	100	50
araD	3	7	3	6
araA	42	20	42	19
araC	377	280	366	274
yabI	180	165	168	141
thiQ	148	117	100	82
tbpA	638	373	458	285
setA	319	241	317	241
leuD	2902	1727	2889	1722
leuC	4807	2764	4483	2569
leuB	4326	2441	3825	2147
leuA	4087	2444	3785	2275
leuO	60	44	56	40
ilvI	4607	3074	4367	2900
fruR	1377	977	1319	938
mraW	1384	945	1365	932
ftsI	1107	803	1079	790
murE	1888	1208	1814	1158
murF	1392	953	1382	949
mraY	1063	734	1029	710
murD	1637	1142	1138	759
ftsW	1354	1051	1327	1031
murG	1078	726	1021	698
murC	1757	1199	1683	1137
ddlB	1198	863	1170	837
ftsQ	1193	905	1166	883
ftsA	2939	2166	2869	2121
ftsZ	6742	4875	6742	4875
lpxC	7305	5220	7299	5209
secA	5050	3546	4925	3442
yacF	334	249	311	233
coaE	371	222	369	222
guaC	1930	1171	1834	1122
hofC	43	39	39	36
hofB	35	31	34	31
nadC	190	122	190	122
ampE	294	216	294	216
aroP	5176	3644	5169	3630
pdhR	666	472	722	505
aceE	24203	17878	24921	18278
aceF	13275	9644	12699	9192
lpd	21510	15182	21236	14960
acnB	13397	7948	12930	7631
speD	2722	1998	2715	1990
speE	3324	2378	3324	2378
cueO	395	308	371	279
gcd	483	286	446	269
can	3720	2504	3710	2501
yadG	403	306	369	280
yadH	294	223	273	208
yadD	202	184	185	169
panC	1640	1135	1475	1018
yadL	21	20	11	12
ecpD	3	9	2	9
pcnB	2068	1417	2012	1366
yadB	221	162	221	162
sfsA	569	397	569	397
mrcB	1524	1019	1348	916
fhuA	8264	5069	8204	5040
fhuC	770	465	740	443
fhuD	423	291	372	263
hemL	3072	2222	2713	1972
clcA	506	353	494	343
yadS	165	140	154	134
btuF	228	177	226	177
pfs	1218	859	1218	859
dgt	476	298	476	297
degP	2492	2133	2259	1923
cdaR	211	122	194	109
dapD	11706	7523	11160	7130
glnD	571	342	502	313
map	1552	1034	1429	936
rpsB	32406	24349	32373	24329
tsf	20441	15345	20424	15332
pyrH	2583	2044	2499	1977
dxr	675	451	673	451
ispU	2338	1714	2337	1712
cdsA	1124	759	1359	959
yaeL	3532	2657	3527	2652
yaeT	10457	7571	10431	7538
lpxD	4944	3536	4944	3533
lpxA	3099	2327	3099	2327
lpxB	1306	909	1278	885
dnaE	2631	1795	2568	1754
accA	3811	2583	3585	2437
ldcC	190	115	179	115
nlpE	249	156	213	136
proS	4696	3265	4683	3264
yaeB	105	73	105	73
metQ	9968	7020	8672	6158
metI	2125	1584	2029	1490
metN	2781	2152	2717	2120
dkgB	168	161	168	161
yafC	217	156	217	156
yafD	612	471	593	456
mltD	8918	6809	8646	6591
gloB	255	213	241	204
yafS	235	159	229	156
dnaQ	530	422	454	360
yafT	9	9	9	9
yafV	149	103	135	96
fadE	198	154	183	144
yafJ	395	297	374	282
yafK	799	614	763	592
dinB	103	68	100	67
pepD	2633	1786	2514	1707
frsA	347	235	328	225
phoE	57	49	51	43
proB	1388	869	1355	843
proA	1734	1202	1702	1174
yagR	11	4	11	4
yagS	4	0	4	0
yagT	4	2	4	2
yagU	414	337	414	337
yagV	159	109	151	101
yagW	468	359	458	350
yagX	1006	677	993	665
yagY	503	331	502	331
insF	32	25	170	146
ykgC	40	29	40	29
ykgD	62	62	62	62
ykgE	92	67	91	66
ykgF	160	138	158	136
ykgG	131	95	112	77
betA	353	244	314	198
betT	336	268	317	256
yahB	85	58	77	58
yahD	26	15	26	15
yahG	3	7	3	6
yahI	15	13	15	8
yahJ	68	42	52	37
yahK	108	92	107	92
yahN	12	13	12	13
prpR	22	14	22	14
prpB	3	1	3	1
prpC	9	6	9	5
prpD	14	7	14	7
prpE	30	16	27	14
codB	798	600	741	558
codA	1021	792	1007	774
cynT	14	5	14	5
cynX	12	6	12	6
lacY	14	12	12	12
lacI	264	173	257	167
mhpR	100	72	95	65
mhpB	3	4	3	4
mhpC	12	15	12	14
mhpD	12	7	10	7
mhpF	25	9	25	9
mhpE	28	19	28	19
mhpT	32	21	28	18
frmA	376	251	353	231
yaiO	16	13	15	13
yaiP	19	8	20	8
tauA	58	47	57	46
tauB	38	16	38	16
tauD	36	23	33	22
hemB	1068	828	1004	787
yaiV	10	8	10	8
ampH	233	134	227	126
sbmA	139	88	137	82
yaiW	273	183	259	171
ddlA	1133	862	1070	818
phoA	140	90	136	87
yaiC	14	13	14	13
proC	272	143	272	143
aroM	144	120	138	119
rdgC	1382	932	1265	859
mak	200	144	191	132
araJ	112	96	96	79
sbcD	225	168	218	163
phoB	148	119	148	118
phoR	134	92	129	91
brnQ	358	289	354	286
proY	350	286	332	279
malZ	296	208	286	198
queA	304	184	291	170
tgt	2566	1841	2565	1840
secD	7142	5128	6771	4789
secF	4078	2730	3922	2630
tsx	2930	2218	2907	2192
ribD	642	395	613	370
thiL	307	244	283	225
yajO	199	155	175	134
dxs	896	680	838	647
ispA	560	335	522	313
thiI	863	638	790	576
panE	264	199	240	175
yajR	293	207	280	196
cyoE	5930	4337	5672	4170
cyoC	4300	2849	4221	2795
cyoB	17776	13265	17541	13080
cyoA	11468	8536	11025	8231
ampG	279	145	269	139
tig	23876	16964	23817	16921
clpP	1845	1336	1839	1334
clpX	5310	3766	4995	3552
lon	7562	5168	7661	5234
ppiD	6413	4667	6218	4516
queC	477	371	438	343
ybaE	70	48	67	46
cof	141	62	147	69
mdlA	217	115	215	113
mdlB	166	103	162	103
amtB	131	120	121	104
tesB	147	123	145	120
ylaB	138	108	137	108
acrB	8391	5750	8119	5595
acrA	4291	3151	4290	3150
acrR	368	276	368	276
kefA	1331	1065	1233	990
dnaX	1146	754	1110	734
recR	802	574	740	542
htpG	3901	2838	3826	2792
adk	4242	3369	4220	3346
hemH	256	177	252	174
aes	70	46	68	46
gsk	921	663	883	628
ybaL	795	525	732	482
fsr	112	88	110	85
ushA	993	695	1093	775
ybaP	188	122	174	110
copA	624	448	559	398
ybaS	166	161	146	147
ybaT	132	108	132	108
ybbK	256	225	247	220
ybbL	191	138	177	133
ybbM	197	141	196	141
ybbN	999	597	965	573
ybbO	214	117	199	113
tesA	212	114	212	114
ybbA	126	80	125	79
ybbP	282	179	262	168
ybbB	91	53	85	50
ybbS	14	9	13	8
allR	1110	752	1100	741
gcl	36	16	26	15
hyi	12	6	12	5
glxR	12	18	12	18
ybbW	6	6	6	6
allB	46	38	39	34
ybbY	22	9	20	8
glxK	57	57	54	57
ylbA	118	86	115	82
allC	49	38	44	36
allD	16	17	16	16
ylbE	11	13	11	13
ylbF	10	6	10	6
ybcF	39	18	29	15
purK	1930	1281	1585	1045
lpxH	340	296	308	269
cysS	1580	1169	1562	1157
folD	781	534	746	500
sfmC	10	8	8	8
sfmH	5	12	5	12
fimZ	1	1	1	1
envY	47	32	48	34
ybcH	29	15	28	12
nfrB	61	38	57	31
cusR	94	75	81	68
cusC	7	6	173	116
cusB	11	4	11	4
cusA	42	28	41	28
pheP	854	699	809	683
ybdG	643	537	637	535
nfnB	968	658	948	649
ybdK	18	8	17	6
fepA	8388	2866	6995	2363
fepC	266	102	223	86
fepG	158	55	140	43
fepD	100	51	97	48
ybdA	381	147	378	146
fepB	365	141	329	115
entC	1002	296	932	269
entE	1613	476	1553	463
entB	1693	505	1686	500
entA	1201	373	1101	344
cstA	3522	2438	3084	2179
ybdH	593	434	467	355
ybdL	203	141	195	140
ibrB	37	29	36	29
ibrA	19	10	18	10
ybdO	7	12	7	12
dsbG	272	166	272	166
ahpF	2862	2053	2809	2007
ybdR	40	26	40	26
rna	189	130	184	128
citT	19	13	19	13
citG	6	5	6	5
citF	3	1	2	1
citE	4	5	4	5
citC	9	7	8	7
citA	156	92	151	90
citB	52	47	46	41
dcuC	17	15	14	15
lipA	945	701	945	701
ybeF	47	48	47	48
lipB	241	138	236	136
dacA	1361	946	1353	941
rlpA	1170	750	1069	700
mrdB	510	351	493	344
mrdA	739	547	712	531
phpB	75	49	75	49
nadD	171	121	171	121
holA	585	399	578	397
leuS	7709	5412	7621	5355
ybeQ	64	48	63	48
ybeU	7	11	7	11
hscC	62	43	58	41
rihA	499	361	456	329
gltL	680	508	579	427
gltK	446	315	392	283
gltJ	515	372	481	330
gltI	4413	3067	4385	3082
ybeX	1711	1158	1708	1150
ybeZ	1309	915	1266	896
miaB	1355	966	1281	907
asnB	2387	1490	1954	1226
nagD	497	294	399	247
nagC	550	374	542	368
nagA	990	709	986	708
nagB	554	404	482	347
nagE	1345	981	1282	938
glnS	3616	2528	3171	2260
ybfM	28	22	27	21
ybfF	289	181	275	176
pgm	4898	3386	4432	3054
potE	78	60	71	56
kdpE	60	37	55	31
kdpD	161	91	143	78
kdpB	33	20	26	20
ybgH	403	307	372	290
ybgI	1190	885	1142	861
ybgJ	825	528	818	525
ybgK	966	730	843	628
nei	245	192	230	180
abrB	58	37	48	30
gltA	9599	6088	9166	5805
sdhA	9641	6753	8711	6136
sdhB	3931	2942	3891	2904
sucA	18838	12552	18460	12302
sucB	12045	7925	11986	7892
sucC	13132	8836	13071	8790
sucD	10225	6606	9556	6216
mngR	109	82	110	83
mngA	15	2	15	2
cydA	4231	3587	4229	3584
cydB	2581	2160	2408	2020
tolQ	1298	927	1241	882
tolA	2152	1428	2152	1428
tolB	8869	6433	8861	6431
ybgF	3869	2686	3860	2677
nadA	1475	863	1427	835
pnuC	782	488	782	488
zitB	211	130	211	130
aroG	8700	6027	8400	5850
gpmA	8103	5576	7750	5339
galM	3012	2282	2691	2039
galK	684	559	632	525
galT	349	213	322	201
galE	379	242	365	235
modF	1791	1253	1736	1208
modE	286	182	284	179
modA	270	202	202	131
modB	148	107	147	106
modC	262	178	232	163
ybhA	298	226	291	220
pgl	644	450	622	417
ybhD	26	9	19	7
ybhH	4	1	4	1
ybhI	1169	845	372	247
ybhJ	67	67	63	67
ybhC	2704	2226	2565	2110
bioB	1635	1034	1581	1002
bioC	458	278	376	224
bioD	455	308	423	288
uvrB	742	529	706	508
ybhK	377	237	377	237
moaA	963	588	955	583
ybhL	493	294	493	294
ybhN	8	4	7	4
ybhO	13	8	12	8
ybhP	14	13	14	13
ybhR	46	37	45	35
ybhS	74	60	74	60
ybhF	252	185	220	163
ybhG	160	100	150	99
ybiH	58	40	51	35
rhlE	188	111	163	90
dinG	205	136	184	125
ybiB	313	226	309	224
ybiC	2642	1885	2618	1866
ybiX	50	41	50	40
fiu	378	123	361	115
ybiN	282	201	259	183
ybiO	53	27	46	23
glnQ	785	571	764	561
glnP	540	440	537	439
glnH	2287	1675	2283	1674
rhtA	66	46	66	46
ybiR	264	192	259	191
ybiS	1606	1102	1529	1056
ybiT	2162	1539	2089	1489
ybiU	108	79	106	79
ybiV	283	220	280	217
ybiW	65	39	55	36
ybiY	11	5	10	5
fsaA	49	32	45	29
moeB	274	194	220	166
moeA	446	291	418	269
iaaA	1526	1027	1492	998
yliA	1244	848	1235	841
yliB	1149	822	1073	772
yliC	414	262	408	253
yliD	330	234	311	224
yliE	417	421	399	404
yliF	167	181	166	179
yliG	656	412	656	412
yliI	23	25	23	25
yliJ	877	643	873	639
dacC	928	730	909	714
deoR	472	363	469	362
cmr	224	173	218	171
ybjI	225	137	212	128
ybjJ	107	77	107	77
ybjL	422	264	416	261
nfsA	429	263	429	263
rimK	370	247	359	241
potF	1473	1053	1354	956
potG	608	439	429	312
potH	313	208	299	193
potI	273	177	244	160
rumB	279	190	214	151
artJ	3931	2815	3273	2368
artM	730	544	713	522
artQ	656	525	656	525
artI	1543	1202	1518	1188
artP	937	636	937	636
ybjR	231	162	223	162
ybjS	263	149	263	149
ybjT	561	344	530	328
ltaE	893	540	755	460
poxB	47	23	39	19
hcr	27	8	27	8
hcp	15	16	15	16
ybjE	155	76	155	76
aqpZ	100	54	93	50
ybjD	448	325	423	312
ybjX	2316	1691	2315	1690
macA	351	228	346	228
macB	377	248	354	223
clpA	6294	4321	6206	4233
aat	116	54	116	54
cydC	484	311	456	296
cydD	566	374	557	369
trxB	5468	3746	5194	3549
lolA	723	542	720	541
ycaJ	507	405	483	388
serS	5551	4025	5157	3729
dmsA	80	92	79	89
dmsB	26	33	25	30
dmsC	71	68	61	63
ycaC	40	25	39	26
ycaD	239	200	228	194
ycaM	22	11	21	11
ycaN	91	70	91	70
pflA	300	214	300	213
pflB	11469	10594	11410	10527
focA	966	945	876	847
ycaO	1743	1174	1695	1143
ycaP	333	237	325	236
serC	12366	8189	11962	7924
aroA	5723	3980	5666	3943
ycaL	77	53	74	46
cmk	2884	2112	2863	2099
rpsA	85900	63854	85724	63740
msbA	1873	1250	1806	1208
lpxK	431	272	431	271
kdsB	1218	849	1181	808
ycbJ	80	66	80	66
smtA	549	426	531	410
