"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_batch1","IAI1_K12ref_batch2"
"1","cpsG",868.270331679386,-1.92707839904593,0.0644523001248469,-29.8992959958465,2.00970092692723e-196,4.74490388847518e-193,1784.62342126906,1676.85885429329,4.27802080327353,7.32103035192047
"2","cpsB",550.46921351882,-1.50890161570775,0.0631908232591978,-23.8784927602303,5.12431954488741e-126,6.04925922273959e-123,1091.42258821413,1083.58080884549,17.1120832130941,9.76137380256063
"3","ybhI",641.581630791047,-0.733550219102376,0.0647126610735298,-11.3354976743868,8.75330985201206e-30,6.88885485353349e-27,957.862616833575,988.796742413002,318.284747763551,301.382416154059
"4","galF",2334.22382489944,-0.581752582391241,0.0636446621583373,-9.1406343071464,6.20870823238367e-20,3.66469003416446e-17,2993.21825431399,3192.23374355346,1538.37628085716,1613.06702087314
"5","cusC",75.579046545193,0.35067221520602,0.0425180750953511,8.24760327036447,1.61602828970969e-16,7.63088558400914e-14,5.73570429241662,7.02104195796215,148.019519793264,141.539920137129
"6","yhhI",241.335356033384,-0.415278057789938,0.0532887177425641,-7.79298274347923,6.54455625148349e-15,2.57528288495875e-12,332.670848960164,454.027379948219,76.1487702982688,102.494424926887
"7","insF",94.7681207947898,0.311333007255782,0.0456397799049702,6.82152735845859,9.00776097693779e-12,3.03818909522144e-09,26.2203624796188,29.2543414915089,145.4527073113,178.145071896731
"8","gnd",6146.68836601042,-0.290086457279608,0.0635144697139338,-4.56724992881376,4.94164675869467e-06,0.00145840349965976,6805.82283611606,7513.68506867916,4918.01271544325,5349.23284380322
"9","murD",1144.36540294328,-0.270252857878988,0.0646628245591477,-4.17941622132181,2.92258359706424e-05,0.00766691096963184,1341.335418098,1336.33831933213,973.677534825055,926.110339517939
"10","yigP",452.983498134559,-0.252071560735882,0.0629497354323479,-4.00433074110031,6.21933015139241e-05,0.0146838384874375,585.041837826495,528.918494166482,372.187809884797,325.785850660461
"11","surE",462.73613582879,-0.250176448000172,0.0633527976716619,-3.94894080758295,7.8497757505334e-05,0.016848473224554,589.958155791423,539.450057103425,379.888247330689,341.648083089622
