	IAI1_batch1	IAI1_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
thrA	18353	12023	7264	7226
thrB	5999	3822	2524	2509
thrC	10508	6982	4403	4614
yaaA	471	329	368	297
yaaJ	56	39	62	49
talB	4437	2099	3328	3126
htpY	20	14	20	19
dnaK	12813	8992	10842	10218
dnaJ	2247	1567	1998	1869
nhaA	722	584	497	433
nhaR	237	195	189	153
ribF	1870	1221	1487	1215
ileS	7749	5378	5603	5064
ispH	1065	728	778	668
rihC	87	49	265	222
dapB	4138	2461	822	822
carA	4552	3110	2165	1825
carB	10986	7394	4583	4272
caiD	38	28	33	29
caiB	29	27	28	19
caiA	63	77	90	45
caiT	11	4	9	6
fixA	14	10	33	31
fixB	12	10	26	27
fixC	18	10	23	17
yaaU	3	10	13	12
kefC	178	136	243	207
apaH	313	206	260	188
ksgA	727	455	672	593
surA	3526	2423	4603	4184
imp	4285	3011	5108	4530
djlA	320	195	263	188
rluA	140	94	71	70
hepA	669	469	285	278
polB	109	59	87	76
araD	3	7	28	29
araA	42	20	153	134
araC	377	280	1349	1073
yabI	180	165	425	341
thiQ	148	117	73	70
tbpA	638	373	286	258
setA	319	241	655	533
leuD	2902	1727	2249	2028
leuC	4807	2764	3021	2718
leuB	4326	2441	2640	2352
leuA	4087	2444	3420	4036
leuO	60	44	381	336
ilvI	4607	3074	4097	3774
fruR	1377	977	3300	3050
mraW	1384	945	1215	1023
ftsI	1107	803	1081	844
murE	1888	1208	1316	1109
murF	1392	953	1035	819
mraY	1063	734	922	793
murD	1637	1142	991	893
ftsW	1354	1051	1337	1063
murG	1078	726	919	864
murC	1757	1199	1432	1264
ddlB	1198	863	1425	1226
ftsQ	1193	905	1324	1118
ftsA	2939	2166	2947	2606
ftsZ	6742	4875	6873	6163
lpxC	7305	5220	9944	8062
secA	5050	3546	5277	4891
yacF	334	249	278	238
coaE	371	222	353	356
guaC	1930	1171	880	812
hofC	43	39	49	38
hofB	35	31	58	50
nadC	190	122	156	164
ampE	294	216	583	495
aroP	5176	3644	5050	4680
pdhR	666	472	564	446
aceE	24203	17878	19838	18290
aceF	13275	9644	10083	9245
lpd	21510	15182	40008	36938
acnB	13397	7948	49369	44640
speD	2722	1998	917	980
speE	3324	2378	1317	1319
cueO	395	308	339	276
gcd	483	286	129	96
can	3720	2504	2392	2103
yadG	403	306	418	396
yadH	294	223	313	297
yadD	202	184	488	378
panC	1640	1135	1231	1142
yadL	21	20	27	24
ecpD	3	9	3	5
pcnB	2068	1417	1361	1249
yadB	221	162	275	217
sfsA	569	397	1647	1402
mrcB	1524	1019	1684	1522
fhuA	8264	5069	7371	6090
fhuC	770	465	579	450
fhuD	423	291	240	164
hemL	3072	2222	1682	1493
clcA	506	353	631	549
yadS	165	140	184	174
btuF	228	177	225	179
pfs	1218	859	1091	1009
dgt	476	298	639	571
degP	2492	2133	5407	4984
cdaR	211	122	566	475
dapD	11706	7523	3863	3969
glnD	571	342	432	392
map	1552	1034	1170	1001
rpsB	32406	24349	20795	19461
tsf	20441	15345	12504	12771
pyrH	2583	2044	1654	1697
dxr	675	451	619	514
ispU	2338	1714	2978	2516
cdsA	1124	759	1529	1242
yaeL	3532	2657	4570	4033
yaeT	10457	7571	13029	12043
lpxD	4944	3536	4386	4057
lpxA	3099	2327	2564	2419
lpxB	1306	909	1337	1124
dnaE	2631	1795	2084	1904
accA	3811	2583	3246	3106
ldcC	190	115	198	166
nlpE	249	156	277	276
proS	4696	3265	3521	3296
yaeB	105	73	59	53
metQ	9968	7020	9945	9005
metI	2125	1584	2088	1878
metN	2781	2152	2288	1995
dkgB	168	161	337	264
yafC	217	156	294	274
yafD	612	471	824	731
mltD	8918	6809	11423	10396
gloB	255	213	373	294
yafS	235	159	277	246
dnaQ	530	422	505	417
yafT	9	9	17	15
yafV	149	103	150	132
fadE	198	154	1087	858
yafJ	395	297	352	287
yafK	799	614	697	603
dinB	103	68	74	59
pepD	2633	1786	2869	2653
frsA	347	235	346	281
phoE	57	49	88	67
proB	1388	869	834	714
proA	1734	1202	1409	1254
yagR	11	4	13	13
yagS	4	0	6	1
yagT	4	2	7	3
yagU	414	337	252	222
yagV	159	109	283	581
yagW	468	359	900	1906
yagX	1006	677	1309	2788
yagY	503	331	545	1314
insF	32	25	235	235
ykgC	40	29	65	38
ykgD	62	62	90	77
ykgE	92	67	1450	1198
ykgF	160	138	2349	2100
ykgG	131	95	1045	924
betA	353	244	148	141
betT	336	268	328	280
yahB	85	58	134	116
yahD	26	15	35	25
yahG	3	7	4	7
yahI	15	13	14	11
yahJ	68	42	65	57
yahK	108	92	279	283
yahN	12	13	44	37
prpR	22	14	119	89
prpB	3	1	52	46
prpC	9	6	91	68
prpD	14	7	146	97
prpE	30	16	253	178
codB	798	600	342	372
codA	1021	792	471	468
cynT	14	5	17	16
cynX	12	6	18	8
lacY	14	12	31	30
lacI	264	173	718	585
mhpR	100	72	1395	1253
mhpB	3	4	18	13
mhpC	12	15	36	32
mhpD	12	7	30	24
mhpF	25	9	38	43
mhpE	28	19	57	51
mhpT	32	21	45	52
frmA	376	251	362	369
yaiO	16	13	53	49
yaiP	19	8	17	13
tauA	58	47	28	38
tauB	38	16	20	21
tauD	36	23	26	22
hemB	1068	828	914	844
yaiV	10	8	13	11
ampH	233	134	273	227
sbmA	139	88	208	179
yaiW	273	183	323	296
ddlA	1133	862	2007	1708
phoA	140	90	222	179
yaiC	14	13	23	21
proC	272	143	178	170
aroM	144	120	81	75
rdgC	1382	932	939	923
mak	200	144	473	413
araJ	112	96	99	82
sbcD	225	168	275	232
phoB	148	119	189	179
phoR	134	92	149	166
brnQ	358	289	206	180
proY	350	286	238	212
malZ	296	208	290	294
queA	304	184	92	79
tgt	2566	1841	2801	2474
secD	7142	5128	6695	6225
secF	4078	2730	3562	3366
tsx	2930	2218	5337	4486
ribD	642	395	601	545
thiL	307	244	242	188
yajO	199	155	1153	984
dxs	896	680	1028	946
ispA	560	335	622	562
thiI	863	638	360	346
panE	264	199	216	195
yajR	293	207	268	231
cyoE	5930	4337	4272	4021
cyoC	4300	2849	3085	2861
cyoB	17776	13265	13991	12918
cyoA	11468	8536	9767	9056
ampG	279	145	187	155
tig	23876	16964	16057	15842
clpP	1845	1336	1531	1406
clpX	5310	3766	4943	4456
lon	7562	5168	5752	5399
ppiD	6413	4667	7599	7019
queC	477	371	440	425
ybaE	70	48	318	287
cof	141	62	190	183
mdlA	217	115	244	203
mdlB	166	103	170	151
amtB	131	120	82	68
tesB	147	123	167	162
ylaB	138	108	221	204
acrB	8391	5750	6129	5716
acrA	4291	3151	3166	2999
acrR	368	276	403	334
kefA	1331	1065	1316	1285
dnaX	1146	754	921	788
recR	802	574	555	498
htpG	3901	2838	4532	4186
adk	4242	3369	3760	3672
hemH	256	177	202	188
aes	70	46	273	220
gsk	921	663	487	387
ybaL	795	525	548	448
