"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"1","aaeA","aaeA",2345,52.9715136989514,0.0104374383821668,0.359857729185853,0.0290043468172287,0.976861123795338,0.983880153784992,51.3253474137243,54.2902154009953,52.2073944691157,54.0630975119703
"2","aaeB","aaeB",2006,42.9888566746702,0.238243223794052,0.402606071122686,0.591752685521357,0.554016210804821,0.652059956984139,33.9113902554964,45.0211542349717,43.786846974097,49.2360352341158
"3","aaeR","aaeR",1268,89.5041448113375,-0.649273857466399,0.28869019823771,-2.24903325928573,0.0245103801191482,0.0456380185026095,110.899411376083,108.580430801991,75.784927455168,62.7518096121083
"4","aapP","yhdZ",1046,56.4973509625121,1.07132929791048,0.360403892755524,2.97257970694895,0.00295308522660247,0.0066656158891094,34.8279143164558,37.0762446640944,81.679310701681,72.4059341678173
"5","aapQ","yhdX",1626,41.0528552985991,0.538010992962251,0.407579729460141,1.32001410785289,0.186830307784347,0.271306630914573,32.0783421335777,34.4279414738019,51.3653397196138,46.3397978674031
"6","aas","aas",1438,821.556652992393,0.216173053558349,0.120575515957257,1.79284369502495,0.0729979205105374,0.119877339809844,799.208981156565,719.014316164401,880.789267978952,887.214046669655
"7","aat","aat",1297,70.6836336058772,-0.746942752101303,0.344571703659908,-2.16774257481844,0.0301782782147641,0.0549351695181636,106.316791071286,71.5041861378963,61.4699967136362,43.4435605006904
"8","abgA","abgA",800,53.7044385165839,1.58748840690884,0.379802713257928,4.1797711061394,2.91802656931256e-05,8.61182591268368e-05,25.6626737068622,26.4830319029245,75.784927455168,86.8871210013808
"9","abgB","abgB",1058,30.5574068131014,1.40405824876454,0.481735960755755,2.9145805236583,0.00356166912787671,0.00794811040729386,17.4139571582279,14.5656675466085,42.9447922245952,47.305210322974
"10","abgR","abgR",529,159.180344361476,1.41876043745565,0.229551652541259,6.18057165674573,6.38698972894209e-10,2.85060165407037e-09,83.403689547302,88.7181568747972,229.038891864508,235.560639159299
"11","abgT","abgT",1698,19.1901338955632,0.672012984704602,0.576091327421244,1.16650425499848,0.243410629252121,0.338284086789331,15.5809090363092,13.2415159514623,28.6298614830635,19.308249111418
"12","abrB","abrB",967,33.974635528768,-1.52794226762205,0.462188194956238,-3.30588769747077,0.000946760252970918,0.00231158320296209,53.1583955356431,48.9936090204104,13.4728759920299,20.2736615669888
"13","accA","accA",1043,3161.25939261628,-0.270425255110727,0.0908403634388795,-2.97692837053298,0.00291152025052542,0.00659069924399858,3492.87319631613,3420.2835702627,2733.30971688306,2998.57108700321
"14","accC","accC",1387,6507.32273594233,-0.177588491952618,0.0916290365848308,-1.93812462262664,0.0526080201003833,0.0895512151816907,6785.94414734312,7029.92081863132,5687.2377781356,6526.18819965927
"15","accD","accD",1164,4947.73934329786,-0.212837376256225,0.0829101549269346,-2.56708453197066,0.0102557607550252,0.02080227761393,5160.94698726217,5466.09778476362,4631.30112226026,4532.61147890536
"16","aceA","aceA",31,1808.66434012326,2.87811696932439,0.108422491367245,26.5453867830405,2.90330059188215e-155,2.21119119272057e-153,431.68283271186,430.349268422524,3051.60641219476,3321.01884716389
"17","aceE","aceE",649,20054.4724996084,-0.415616071196785,0.0793051125734732,-5.24072229027773,1.59949278708928e-07,5.81880195734636e-07,22182.6318473995,23673.1822180242,16704.682120618,17657.3938123917
"18","aceF","aceF",496,10588.1627709515,-0.517073291493298,0.0792407204128124,-6.52534818966251,6.7843742818594e-11,3.2294168708609e-10,12166.8569092355,12770.1179835902,8490.43803922732,8925.23815175295
"19","aceK","aceK",203,264.445262832041,2.56668378177904,0.205083677072465,12.5153001858462,6.15746508978641e-36,7.16146555516537e-35,80.654117364424,68.8558829476038,436.184360241967,472.086690774169
"20","ackA","ackA",418,2727.0405696004,0.691566850602505,0.0947020160196776,7.30255679518806,2.82350059514093e-13,1.59480500122673e-12,2109.83838832845,2057.73157885724,3195.59777435958,3544.99453685634
"21","acnA","acnA",133,2828.92136520066,1.59173461034538,0.0984862452122893,16.1619991392134,9.34803278617602e-59,1.65945153444824e-57,1352.78951397602,1463.18751263658,4025.02170261892,4474.68673157111
"22","acnB","acnB",73,26867.6106669343,1.88864783094182,0.0902797248574492,20.9199555484243,3.52442403232113e-97,1.13988563565893e-95,12278.6728446726,10524.3568782222,41571.4009281576,43096.0120166849
"23","acrA","acrA",546,3416.6059282656,-0.542240916967608,0.0907619000617537,-5.97432310913138,2.31047476444858e-09,9.9908991187969e-09,3932.80474557663,4172.40167630576,2665.94533692291,2895.27195425712
"24","acrB","acrB",514,6495.91905583525,-0.518605234019231,0.0815507001673739,-6.35929836230529,2.02677390455441e-10,9.30975328531705e-10,7690.55339551002,7613.87167209081,5160.95355969694,5518.29759604325
"25","acrD","acrD",1293,139.795560912421,0.51843116180127,0.237554668811039,2.18236570300225,0.0290825534477984,0.0531043377341469,112.732459498002,116.525340372868,153.25396440934,176.670479369474
"26","acrE","acrE",2291,12.9894767078204,0.0809797813501486,0.683550184587801,0.118469401627009,0.905695738296801,0.933368676612286,8.24871654863427,17.213970736901,16.8410949900373,9.65412455570898
"27","acrF","acrF",2360,185.926198348406,0.000306755024172123,0.206222672803715,0.00148749417317511,0.998813151802617,0.999619400507146,181.471764069954,190.677829701057,191.988482886426,179.566716736187
"28","acrR","acrR",2046,341.135629725834,-0.0829769447600291,0.161458272076015,-0.513921917366756,0.607306583268851,0.700806863684143,337.280854433046,365.465840260359,339.348064049252,322.44776016068
"29","acs","acs",10,10120.2348489634,4.39934906386028,0.090121896837565,48.8155400433884,0,0,938.520638422388,880.560810772241,18537.8353102836,20124.0226363754
"30","actP","actP",9,3080.57970580977,5.24668776802067,0.120296270677823,43.6147167194595,0,0,159.475186606929,152.277433441816,5991.21954270578,6019.34666048455
"31","ada","ada",1247,80.4042025346123,0.701851950239372,0.302535205248589,2.31990174387364,0.0203461932262712,0.0385223433899168,63.2401602061961,58.262670186434,103.57273418873,96.5412455570898
"32","add","add",541,254.484097423604,1.12045426020007,0.186835781753303,5.99700041226314,2.00995550621114e-09,8.77172818884381e-09,167.723903155563,150.95328184667,360.399432786799,338.859771905385
