	IAI1_batch1	IAI1_batch2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
thrA	18353	12023	485	369
thrB	5999	3822	279	218
thrC	10508	6982	384	329
yaaA	471	329	132	141
yaaJ	56	39	55	36
talB	4437	2099	2074	2133
htpY	20	14	28	39
dnaK	12813	8992	38127	31379
dnaJ	2247	1567	3706	3031
nhaA	722	584	1278	1096
nhaR	237	195	83	56
ribF	1870	1221	411	333
ileS	7749	5378	1695	1266
ispH	1065	728	145	85
rihC	87	49	68	69
dapB	4138	2461	176	157
carA	4552	3110	29	22
carB	10986	7394	96	69
caiD	38	28	9	10
caiB	29	27	19	21
caiA	63	77	32	38
caiT	11	4	12	6
fixA	14	10	5	8
fixB	12	10	6	8
fixC	18	10	7	3
yaaU	3	10	10	7
kefC	178	136	106	89
apaH	313	206	44	32
ksgA	727	455	146	115
surA	3526	2423	1259	961
imp	4285	3011	1877	1379
djlA	320	195	150	82
rluA	140	94	51	33
hepA	669	469	126	98
polB	109	59	115	115
araD	3	7	25	20
araA	42	20	170	103
araC	377	280	879	777
yabI	180	165	311	211
thiQ	148	117	11	10
tbpA	638	373	28	21
setA	319	241	264	176
leuD	2902	1727	257	183
leuC	4807	2764	182	171
leuB	4326	2441	224	186
leuA	4087	2444	321	265
leuO	60	44	240	143
ilvI	4607	3074	481	402
fruR	1377	977	1948	1434
mraW	1384	945	1064	908
ftsI	1107	803	609	505
murE	1888	1208	509	311
murF	1392	953	332	256
mraY	1063	734	428	281
murD	1637	1142	378	263
ftsW	1354	1051	450	327
murG	1078	726	294	206
murC	1757	1199	357	263
ddlB	1198	863	714	495
ftsQ	1193	905	741	494
ftsA	2939	2166	1307	930
ftsZ	6742	4875	2924	2249
lpxC	7305	5220	19995	17602
secA	5050	3546	3434	2533
yacF	334	249	215	137
coaE	371	222	314	212
guaC	1930	1171	169	154
hofC	43	39	9	15
hofB	35	31	29	26
nadC	190	122	98	93
ampE	294	216	294	196
aroP	5176	3644	854	667
pdhR	666	472	454	400
aceE	24203	17878	6144	4678
aceF	13275	9644	4843	3515
lpd	21510	15182	18370	14370
acnB	13397	7948	19096	16125
speD	2722	1998	241	199
speE	3324	2378	419	325
cueO	395	308	116	66
gcd	483	286	88	70
can	3720	2504	632	512
yadG	403	306	123	94
yadH	294	223	290	231
yadD	202	184	166	176
panC	1640	1135	525	499
yadL	21	20	26	31
ecpD	3	9	6	2
pcnB	2068	1417	105	101
yadB	221	162	57	48
sfsA	569	397	5147	4692
mrcB	1524	1019	411	327
fhuA	8264	5069	5264	4116
fhuC	770	465	148	111
fhuD	423	291	23	15
hemL	3072	2222	614	510
clcA	506	353	338	239
yadS	165	140	52	64
btuF	228	177	31	20
pfs	1218	859	1527	1175
dgt	476	298	236	195
degP	2492	2133	1495	1093
cdaR	211	122	782	696
dapD	11706	7523	1006	786
glnD	571	342	265	234
map	1552	1034	1011	812
rpsB	32406	24349	1747	1616
tsf	20441	15345	828	706
pyrH	2583	2044	303	253
dxr	675	451	284	236
ispU	2338	1714	383	295
cdsA	1124	759	326	249
yaeL	3532	2657	879	613
yaeT	10457	7571	1752	1352
lpxD	4944	3536	1128	764
lpxA	3099	2327	626	501
lpxB	1306	909	161	103
dnaE	2631	1795	298	239
accA	3811	2583	628	508
ldcC	190	115	177	126
nlpE	249	156	139	89
proS	4696	3265	487	400
yaeB	105	73	20	18
metQ	9968	7020	1705	1087
metI	2125	1584	672	365
metN	2781	2152	789	483
dkgB	168	161	154	129
yafC	217	156	309	219
yafD	612	471	1006	799
mltD	8918	6809	627	472
gloB	255	213	150	139
yafS	235	159	177	169
dnaQ	530	422	377	305
yafT	9	9	6	1
yafV	149	103	100	86
fadE	198	154	871	656
yafJ	395	297	365	272
yafK	799	614	237	202
dinB	103	68	110	83
pepD	2633	1786	898	732
frsA	347	235	403	312
phoE	57	49	92	79
proB	1388	869	301	235
proA	1734	1202	506	390
yagR	11	4	24	16
yagS	4	0	4	4
yagT	4	2	5	10
yagU	414	337	185	138
yagV	159	109	29	9
yagW	468	359	67	37
yagX	1006	677	138	45
yagY	503	331	90	29
insF	32	25	135	105
ykgC	40	29	41	15
ykgD	62	62	47	38
ykgE	92	67	635	613
ykgF	160	138	1117	887
ykgG	131	95	631	480
betA	353	244	54	52
betT	336	268	193	157
yahB	85	58	96	65
yahD	26	15	20	13
yahG	3	7	3	5
yahI	15	13	8	0
