"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"1","thrA",5899.17212388666,-4.32860277697141,0.106486640111759,-40.6492567746384,0,0,11644.3982833001,10836.9988420561,565.868885593442,549.422484596996
"2","carB",3462.40946296093,-5.9727178463619,0.149243573069067,-40.019933344787,0,0,6970.26968562822,6664.62359129693,112.007037148393,102.73753777017
"3","tig",7964.92343455218,-4.41709096591703,0.0980004877612438,-45.0721324640576,0,0,15148.5671776861,15290.5970520369,722.212041613073,698.317466872604
"4","cstA",18993.2801546055,4.01017244473847,0.0871043160042671,46.0387341144153,0,0,2234.59765454056,2197.50504673815,36581.9650286531,34959.0528884901
"5","agp",2611.79349328994,4.80220319060214,0.12222722350745,39.2891456812763,0,0,170.671995761332,191.087395368535,5156.99066870724,4928.42391332264
"6","phoH",5426.01359507123,5.55971899695642,0.11385421064331,48.831913774136,0,0,229.043087248479,219.029420162991,10185.639940682,11070.3419321915
"7","aldA",3860.5906638824,4.37789572041986,0.106733049277681,41.0172458301099,0,0,367.991663723318,337.107008810529,7344.62811301178,7392.63586998396
"8","yniA",4954.83297190758,6.69169099747717,0.130489073147921,51.281619495385,0,0,91.9979159308294,97.3464089613292,9932.45736712777,9697.53019561038
"9","fadD",3978.80156820099,4.77633993856634,0.107851868667257,44.2861120311438,0,0,272.186937478109,287.532448691333,7742.48644288264,7613.00044375187
"10","znuA",6473.64980735407,-4.04759978078864,0.0979890892218957,-41.3066374320805,0,0,12221.7645143143,12198.9472118762,733.879441316031,740.008061909774
"11","yodA",6483.59770630158,-7.09253237270377,0.185651807527579,-38.2034113600008,0,0,10920.4698551823,14827.3002538321,89.8389777127732,96.7817384791456
"12","clpB",14870.8619955919,3.59268573401024,0.0942900677463798,38.1024833249012,0,0,2191.45380431093,2356.14363911958,26484.9973257137,28450.8532132233
"13","ygeV",2929.04167529951,5.84661172932958,0.134896047350279,43.3416089216309,0,0,93.901321088019,106.359965346637,5616.68621700377,5899.21919775961
"14","argG",5231.24650155617,-5.36518122442988,0.120032848091696,-44.6976082774549,0,0,9938.3127940725,10492.6809881373,243.848653791813,250.143570223022
