	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
thrA	18353	12023	7733	7707
thrB	5999	3822	2660	2674
thrC	10508	6982	4664	4889
yaaA	471	329	373	299
yaaJ	56	39	63	51
talB	4437	2099	3420	3203
htpY	20	14	23	22
dnaK	12813	8992	11029	10408
dnaJ	2247	1567	1931	1802
nhaA	722	584	509	446
nhaR	237	195	190	155
ribF	1870	1221	1544	1257
ileS	7749	5378	5972	5433
ispH	1065	728	917	796
rihC	87	49	325	285
dapB	4138	2461	912	940
carA	4552	3110	2259	1927
carB	10986	7394	5096	4789
caiD	38	28	39	37
caiB	29	27	29	21
caiA	63	77	90	45
caiT	11	4	9	6
fixA	14	10	34	31
fixB	12	10	26	27
fixC	18	10	25	18
yaaU	3	10	13	12
kefC	178	136	243	207
apaH	313	206	286	212
ksgA	727	455	692	611
surA	3526	2423	4656	4226
imp	4285	3011	5115	4536
djlA	320	195	282	200
rluA	140	94	72	73
hepA	669	469	285	279
polB	109	59	96	82
araD	3	7	29	29
araA	42	20	166	149
araC	377	280	1380	1103
yabI	180	165	473	392
thiQ	148	117	105	95
tbpA	638	373	406	338
setA	319	241	659	538
leuD	2902	1727	2258	2037
leuC	4807	2764	3221	2907
leuB	4326	2441	2973	2688
leuA	4087	2444	3664	4258
leuO	60	44	395	344
ilvI	4607	3074	4333	3966
fruR	1377	977	3405	3152
mraW	1384	945	1224	1032
ftsI	1107	803	1102	858
murE	1888	1208	1364	1164
murF	1392	953	1043	823
mraY	1063	734	948	818
murD	1637	1142	1451	1295
ftsW	1354	1051	1367	1084
murG	1078	726	957	890
murC	1757	1199	1494	1327
ddlB	1198	863	1459	1257
ftsQ	1193	905	1356	1156
ftsA	2939	2166	3017	2681
ftsZ	6742	4875	6873	6163
lpxC	7305	5220	9956	8076
secA	5050	3546	5438	5031
yacF	334	249	298	255
coaE	371	222	353	359
guaC	1930	1171	908	844
hofC	43	39	50	40
hofB	35	31	58	50
nadC	190	122	156	164
ampE	294	216	583	495
aroP	5176	3644	5059	4688
pdhR	666	472	522	434
aceE	24203	17878	19329	17814
aceF	13275	9644	10550	9699
lpd	21510	15182	40564	37410
acnB	13397	7948	51359	46513
speD	2722	1998	918	985
speE	3324	2378	1317	1319
cueO	395	308	350	299
gcd	483	286	140	102
can	3720	2504	2397	2106
yadG	403	306	460	427
yadH	294	223	326	320
yadD	202	184	529	404
panC	1640	1135	1359	1278
yadL	21	20	46	48
ecpD	3	9	3	6
pcnB	2068	1417	1401	1277
yadB	221	162	273	216
sfsA	569	397	1647	1403
mrcB	1524	1019	1877	1679
fhuA	8264	5069	7427	6129
fhuC	770	465	609	470
fhuD	423	291	268	176
hemL	3072	2222	1906	1718
clcA	506	353	651	567
yadS	165	140	191	187
btuF	228	177	227	179
pfs	1218	859	1091	1009
dgt	476	298	639	572
degP	2492	2133	5958	5536
cdaR	211	122	591	493
dapD	11706	7523	4065	4168
glnD	571	342	484	429
map	1552	1034	1286	1091
rpsB	32406	24349	20815	19475
tsf	20441	15345	12513	12785
pyrH	2583	2044	1701	1753
dxr	675	451	619	514
ispU	2338	1714	2978	2516
cdsA	1124	759	1216	1005
yaeL	3532	2657	4575	4034
yaeT	10457	7571	13083	12086
lpxD	4944	3536	4387	4059
lpxA	3099	2327	2564	2419
lpxB	1306	909	1377	1148
dnaE	2631	1795	2143	1935
accA	3811	2583	3429	3271
ldcC	190	115	209	171
nlpE	249	156	320	317
proS	4696	3265	3524	3307
yaeB	105	73	59	54
metQ	9968	7020	11363	10305
metI	2125	1584	2168	1948
metN	2781	2152	2330	2032
dkgB	168	161	337	264
yafC	217	156	294	274
yafD	612	471	852	757
mltD	8918	6809	11777	10698
gloB	255	213	390	308
yafS	235	159	281	254
dnaQ	530	422	587	487
yafT	9	9	17	15
yafV	149	103	165	140
fadE	198	154	1180	943
yafJ	395	297	379	308
yafK	799	614	739	624
dinB	103	68	79	64
pepD	2633	1786	3004	2770
frsA	347	235	368	293
phoE	57	49	106	82
proB	1388	869	856	731
proA	1734	1202	1435	1276
yagR	11	4	15	13
yagS	4	0	6	1
yagT	4	2	7	3
yagU	414	337	252	222
yagV	159	109	305	620
yagW	468	359	921	1960
yagX	1006	677	1336	2834
yagY	503	331	545	1316
insF	32	25	44	45
ykgC	40	29	66	39
ykgD	62	62	90	77
ykgE	92	67	1456	1206
ykgF	160	138	2370	2116
ykgG	131	95	1193	1037
betA	353	244	173	166
betT	336	268	346	292
yahB	85	58	144	123
yahD	26	15	35	25
yahG	3	7	4	8
yahI	15	13	19	17
yahJ	68	42	82	68
yahK	108	92	283	289
yahN	12	13	47	39
prpR	22	14	131	95
prpB	3	1	58	55
prpC	9	6	103	74
prpD	14	7	154	106
prpE	30	16	272	194
codB	798	600	368	404
codA	1021	792	479	479
cynT	14	5	17	16
cynX	12	6	18	8
lacY	14	12	32	31
lacI	264	173	737	594
mhpR	100	72	1601	1421
mhpB	3	4	15	13
mhpC	12	15	38	33
mhpD	12	7	31	26
mhpF	25	9	39	44
mhpE	28	19	57	51
mhpT	32	21	53	54
frmA	376	251	398	395
yaiO	16	13	55	52
yaiP	19	8	17	12
tauA	58	47	32	39
tauB	38	16	20	21
tauD	36	23	30	25
hemB	1068	828	962	882
yaiV	10	8	13	11
ampH	233	134	285	239
sbmA	139	88	212	182
yaiW	273	183	341	313
ddlA	1133	862	2134	1798
phoA	140	90	224	182
yaiC	14	13	23	21
proC	272	143	178	170
aroM	144	120	82	79
rdgC	1382	932	1013	991
mak	200	144	504	434
araJ	112	96	127	95
sbcD	225	168	284	241
phoB	148	119	189	179
phoR	134	92	154	169
brnQ	358	289	208	179
proY	350	286	246	217
malZ	296	208	309	313
queA	304	184	100	84
tgt	2566	1841	2801	2474
secD	7142	5128	7061	6604
secF	4078	2730	3694	3517
tsx	2930	2218	5387	4529
ribD	642	395	625	576
thiL	307	244	256	196
yajO	199	155	1319	1105
dxs	896	680	1110	1009
ispA	560	335	657	600
thiI	863	638	393	372
panE	264	199	247	217
yajR	293	207	295	243
cyoE	5930	4337	4450	4195
cyoC	4300	2849	3149	2924
cyoB	17776	13265	14175	13076
cyoA	11468	8536	10111	9355
ampG	279	145	199	163
tig	23876	16964	16101	15870
clpP	1845	1336	1534	1412
clpX	5310	3766	5279	4755
lon	7562	5168	5722	5384
ppiD	6413	4667	7845	7258
queC	477	371	477	468
ybaE	70	48	340	300
cof	141	62	163	155
mdlA	217	115	255	207
mdlB	166	103	173	157
amtB	131	120	92	75
tesB	147	123	167	163
ylaB	138	108	222	205
acrB	8391	5750	6312	5874
acrA	4291	3151	3166	3001
acrR	368	276	403	334
kefA	1331	1065	1403	1367
dnaX	1146	754	969	819
recR	802	574	599	537
htpG	3901	2838	4626	4260
adk	4242	3369	3774	3686
hemH	256	177	207	193
aes	70	46	279	227
gsk	921	663	514	413
ybaL	795	525	599	489
fsr	112	88	159	114
ushA	993	695	1683	1453
ybaP	188	122	91	70
copA	624	448	537	476
ybaS	166	161	23	32
ybaT	132	108	47	41
ybbK	256	225	651	532
ybbL	191	138	211	178
ybbM	197	141	223	209
ybbN	999	597	735	728
ybbO	214	117	134	129
tesA	212	114	246	221
ybbA	126	80	177	136
ybbP	282	179	393	314
ybbB	91	53	68	61
ybbS	14	9	13	16
allR	1110	752	894	693
gcl	36	16	34	41
hyi	12	6	14	12
glxR	12	18	16	17
ybbW	6	6	23	21
allB	46	38	120	127
ybbY	22	9	13	16
glxK	57	57	92	89
ylbA	118	86	228	210
allC	49	38	181	129
allD	16	17	72	65
ylbE	11	13	49	28
ylbF	10	6	14	18
ybcF	39	18	38	21
purK	1930	1281	886	717
lpxH	340	296	281	242
cysS	1580	1169	956	920
folD	781	534	551	512
sfmC	10	8	17	14
sfmH	5	12	10	8
fimZ	1	1	6	7
envY	47	32	36	38
ybcH	29	15	27	33
nfrB	61	38	69	63
cusR	94	75	82	80
cusC	7	6	7	7
cusB	11	4	13	15
cusA	42	28	63	63
pheP	854	699	402	349
ybdG	643	537	498	468
nfnB	968	658	730	735
ybdK	18	8	22	17
fepA	8388	2866	2257	2096
fepC	266	102	178	133
fepG	158	55	118	83
fepD	100	51	78	64
ybdA	381	147	140	112
fepB	365	141	197	190
entC	1002	296	280	205
entE	1613	476	421	364
entB	1693	505	533	515
entA	1201	373	353	344
cstA	3522	2438	55920	48127
ybdH	593	434	1630	1336
ybdL	203	141	178	148
ibrB	37	29	47	38
ibrA	19	10	22	14
ybdO	7	12	24	12
dsbG	272	166	182	187
ahpF	2862	2053	2669	2552
ybdR	40	26	75	52
rna	189	130	199	171
citT	19	13	37	24
citG	6	5	8	6
citF	3	1	4	3
citE	4	5	7	7
citC	9	7	13	10
citA	156	92	167	174
citB	52	47	59	64
dcuC	17	15	49	37
lipA	945	701	1701	1412
ybeF	47	48	105	89
lipB	241	138	112	116
dacA	1361	946	1078	936
rlpA	1170	750	969	883
mrdB	510	351	480	390
mrdA	739	547	555	534
phpB	75	49	62	71
nadD	171	121	152	117
holA	585	399	497	418
leuS	7709	5412	6364	5826
ybeQ	64	48	186	167
ybeU	7	11	15	9
hscC	62	43	227	179
rihA	499	361	2423	2137
gltL	680	508	2822	2592
gltK	446	315	2036	1731
gltJ	515	372	2500	2328
gltI	4413	3067	30500	26909
ybeX	1711	1158	1574	1355
ybeZ	1309	915	1188	1059
miaB	1355	966	696	574
asnB	2387	1490	983	979
nagD	497	294	426	391
nagC	550	374	546	452
nagA	990	709	999	856
nagB	554	404	717	623
nagE	1345	981	5721	5140
glnS	3616	2528	2770	2556
ybfM	28	22	281	190
ybfF	289	181	248	219
pgm	4898	3386	8374	7844
potE	78	60	151	125
kdpE	60	37	57	39
kdpD	161	91	205	175
kdpB	33	20	74	96
ybgH	403	307	251	240
ybgI	1190	885	1049	1005
ybgJ	825	528	781	697
ybgK	966	730	957	870
nei	245	192	166	140
abrB	58	37	20	23
gltA	9599	6088	13613	13498
sdhA	9641	6753	23844	22192
sdhB	3931	2942	11231	10027
sucA	18838	12552	39832	37801
sucB	12045	7925	28326	25864
sucC	13132	8836	46950	44087
sucD	10225	6606	37599	34805
mngR	109	82	168	123
