	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
thrA	18353	12023	516	392
thrB	5999	3822	291	226
thrC	10508	6982	418	342
yaaA	471	329	132	141
yaaJ	56	39	56	37
talB	4437	2099	2119	2186
htpY	20	14	36	44
dnaK	12813	8992	38708	31936
dnaJ	2247	1567	3575	2924
nhaA	722	584	1313	1120
nhaR	237	195	83	56
ribF	1870	1221	424	345
ileS	7749	5378	1813	1351
ispH	1065	728	170	96
rihC	87	49	80	83
dapB	4138	2461	199	177
carA	4552	3110	30	22
carB	10986	7394	105	81
caiD	38	28	15	15
caiB	29	27	20	22
caiA	63	77	32	38
caiT	11	4	12	6
fixA	14	10	5	8
fixB	12	10	6	8
fixC	18	10	7	3
yaaU	3	10	10	7
kefC	178	136	106	89
apaH	313	206	48	33
ksgA	727	455	151	116
surA	3526	2423	1267	971
imp	4285	3011	1877	1379
djlA	320	195	153	84
rluA	140	94	51	33
hepA	669	469	126	100
polB	109	59	128	121
araD	3	7	25	20
araA	42	20	185	115
araC	377	280	915	795
yabI	180	165	345	240
thiQ	148	117	11	12
tbpA	638	373	30	26
setA	319	241	264	176
leuD	2902	1727	257	183
leuC	4807	2764	202	183
leuB	4326	2441	249	210
leuA	4087	2444	353	284
leuO	60	44	254	149
ilvI	4607	3074	499	420
fruR	1377	977	2007	1479
mraW	1384	945	1073	916
ftsI	1107	803	620	515
murE	1888	1208	533	329
murF	1392	953	333	256
mraY	1063	734	447	289
murD	1637	1142	540	380
ftsW	1354	1051	460	334
murG	1078	726	310	217
murC	1757	1199	374	276
ddlB	1198	863	727	505
ftsQ	1193	905	768	507
ftsA	2939	2166	1343	952
ftsZ	6742	4875	2924	2249
lpxC	7305	5220	20011	17616
secA	5050	3546	3531	2597
yacF	334	249	228	147
coaE	371	222	316	213
guaC	1930	1171	176	163
hofC	43	39	10	16
hofB	35	31	29	26
nadC	190	122	98	93
ampE	294	216	294	196
aroP	5176	3644	854	668
pdhR	666	472	431	362
aceE	24203	17878	6025	4554
aceF	13275	9644	5038	3665
lpd	21510	15182	18556	14522
acnB	13397	7948	20053	17003
speD	2722	1998	241	199
speE	3324	2378	419	325
cueO	395	308	117	69
gcd	483	286	96	75
can	3720	2504	633	515
yadG	403	306	137	102
yadH	294	223	306	253
yadD	202	184	175	188
panC	1640	1135	584	551
yadL	21	20	59	54
ecpD	3	9	6	3
pcnB	2068	1417	108	104
yadB	221	162	57	48
sfsA	569	397	5147	4692
mrcB	1524	1019	459	361
fhuA	8264	5069	5334	4166
fhuC	770	465	160	114
fhuD	423	291	24	19
hemL	3072	2222	706	583
clcA	506	353	345	244
yadS	165	140	54	66
btuF	228	177	31	20
pfs	1218	859	1527	1175
dgt	476	298	237	195
degP	2492	2133	1649	1232
cdaR	211	122	820	730
dapD	11706	7523	1063	829
glnD	571	342	286	250
map	1552	1034	1095	882
rpsB	32406	24349	1747	1617
tsf	20441	15345	828	706
pyrH	2583	2044	322	264
dxr	675	451	284	236
ispU	2338	1714	383	296
cdsA	1124	759	269	216
yaeL	3532	2657	881	616
yaeT	10457	7571	1754	1354
lpxD	4944	3536	1128	765
lpxA	3099	2327	626	501
lpxB	1306	909	163	104
dnaE	2631	1795	303	247
accA	3811	2583	673	537
ldcC	190	115	191	135
