"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_starvation1","IAI1_starvation2"
"1","aaeA","aaeA",1898,46.7684749634654,0.585275379995535,0.428642505137353,1.3654161054513,0.172122304758421,0.214109990271144,36.3948887278618,37.9369166441787,46.3431619770562,66.3989325047648
"2","aaeB","aaeB",1968,33.9188503238332,0.532022686754822,0.491530869102019,1.0823789922427,0.279084159058505,0.334955279145222,24.0466229094801,31.4598820951725,44.0825199293949,36.0863763612852
"3","aaeR","aaeR",1935,88.5208727766157,0.3666811018458,0.309558040347745,1.18453102182029,0.236202923787008,0.288204187628489,78.6389560012727,75.8738332883573,102.859213168588,96.7114886482444
"4","aapP","yhdZ",953,75.6647497851099,2.29619068467099,0.356341119106133,6.4437993864724,1.16519081315012e-10,2.88668993688084e-10,24.6965316367633,25.9081381960244,132.247559788185,119.806769519467
"5","aapQ","yhdX",896,76.64500497343,2.45081668324523,0.358117993229483,6.84360107445017,7.72267906683967e-12,2.03496041035809e-11,22.7468054549136,24.0575568963084,135.638522859677,124.137134682821
"6","aas","aas",659,340.896751120301,-1.84931597773599,0.198433846236045,-9.31955920229533,1.16824631452585e-20,4.18547731198108e-20,566.72041019099,502.432822872903,161.635906407781,132.79786500953
"7","aat","aat",1848,50.7986644667231,-0.693831330200576,0.439417033558164,-1.57898141677008,0.114340319578566,0.146080895305733,75.3894123648565,49.9656950923329,31.6489886672579,46.1905617424451
"8","abgA","abgA",2340,18.18403061426,-0.0316676575344471,0.645067307465845,-0.0490920205813155,0.960845962395465,0.969054812992607,18.1974443639309,18.5058129971603,15.824494333629,20.2083707623197
"9","abgB","abgB",1813,18.1090785948392,1.10424926984409,0.654967880734132,1.68595942232521,0.0918036152810004,0.119552308702946,12.3482658183817,10.1781971484382,28.258025595766,21.6518258167711
"10","abgR","abgR",1213,107.497324279277,1.33770102044348,0.298421854957186,4.48258396033159,7.37446135767479e-06,1.4353753722564e-05,59.1416941827754,61.9944735404871,135.638522859677,173.214606534169
"11","abgT","abgT",1971,14.474972527862,0.82153674397569,0.764728660110134,1.0742852816022,0.28269483966739,0.338631413726387,11.0484483638152,9.25290649858016,10.1728892144758,27.4256460345768
"12","abrB","abrB",1988,30.4123481769359,-0.525916551100351,0.513811947920389,-1.02355843072345,0.306043888067987,0.363465603485169,37.6947061824283,34.2357540447466,23.7367415004434,25.9821909801254
"13","accA","accA",382,1600.66733038453,-1.66280970637061,0.114584939641143,-14.511590367619,1.02320443114481e-47,6.32404623542643e-47,2476.80215967645,2390.02574858326,760.70604903802,775.135364240407
"14","accC","accC",171,2943.89976757468,-2.24317207839641,0.103459922907351,-21.6815556725786,3.06348188576485e-104,4.22975481420515e-103,4811.92421680515,4912.36806009621,1020.67988451907,1030.62690887831
"15","accD","accD",860,2978.80272823104,-0.753509359376042,0.105147034533439,-7.16624451388032,7.70830477270677e-13,2.11619855446054e-12,3659.63604333196,3819.59980261389,2125.0035248016,2310.97154217671
"16","aceA","aceA",63,2039.57863036503,3.63271684070223,0.115417626719408,31.4745411420887,1.9379251035785e-217,7.26260503102989e-216,306.107010550409,300.719461203855,3795.61799802329,3755.87005168257
