	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
thrA	7733	7707	7264	7226
thrB	2660	2674	2524	2509
thrC	4664	4889	4403	4614
yaaA	373	299	368	297
yaaJ	63	51	62	49
talB	3420	3203	3328	3126
htpY	23	22	20	19
dnaK	11029	10408	10842	10218
dnaJ	1931	1802	1998	1869
nhaA	509	446	497	433
nhaR	190	155	189	153
ribF	1544	1257	1487	1215
ileS	5972	5433	5603	5064
ispH	917	796	778	668
rihC	325	285	265	222
dapB	912	940	822	822
carA	2259	1927	2165	1825
carB	5096	4789	4583	4272
caiD	39	37	33	29
caiB	29	21	28	19
caiA	90	45	90	45
caiT	9	6	9	6
fixA	34	31	33	31
fixB	26	27	26	27
fixC	25	18	23	17
yaaU	13	12	13	12
kefC	243	207	243	207
apaH	286	212	260	188
ksgA	692	611	672	593
surA	4656	4226	4603	4184
imp	5115	4536	5108	4530
djlA	282	200	263	188
rluA	72	73	71	70
hepA	285	279	285	278
polB	96	82	87	76
araD	29	29	28	29
araA	166	149	153	134
araC	1380	1103	1349	1073
yabI	473	392	425	341
thiQ	105	95	73	70
tbpA	406	338	286	258
setA	659	538	655	533
leuD	2258	2037	2249	2028
leuC	3221	2907	3021	2718
leuB	2973	2688	2640	2352
leuA	3664	4258	3420	4036
leuO	395	344	381	336
ilvI	4333	3966	4097	3774
fruR	3405	3152	3300	3050
mraW	1224	1032	1215	1023
ftsI	1102	858	1081	844
murE	1364	1164	1316	1109
murF	1043	823	1035	819
mraY	948	818	922	793
murD	1451	1295	991	893
ftsW	1367	1084	1337	1063
murG	957	890	919	864
murC	1494	1327	1432	1264
ddlB	1459	1257	1425	1226
ftsQ	1356	1156	1324	1118
ftsA	3017	2681	2947	2606
ftsZ	6873	6163	6873	6163
lpxC	9956	8076	9944	8062
secA	5438	5031	5277	4891
yacF	298	255	278	238
coaE	353	359	353	356
guaC	908	844	880	812
hofC	50	40	49	38
hofB	58	50	58	50
nadC	156	164	156	164
ampE	583	495	583	495
aroP	5059	4688	5050	4680
pdhR	522	434	564	446
aceE	19329	17814	19838	18290
aceF	10550	9699	10083	9245
lpd	40564	37410	40008	36938
acnB	51359	46513	49369	44640
speD	918	985	917	980
speE	1317	1319	1317	1319
cueO	350	299	339	276
gcd	140	102	129	96
can	2397	2106	2392	2103
yadG	460	427	418	396
yadH	326	320	313	297
yadD	529	404	488	378
panC	1359	1278	1231	1142
yadL	46	48	27	24
ecpD	3	6	3	5
pcnB	1401	1277	1361	1249
yadB	273	216	275	217
sfsA	1647	1403	1647	1402
mrcB	1877	1679	1684	1522
fhuA	7427	6129	7371	6090
fhuC	609	470	579	450
fhuD	268	176	240	164
hemL	1906	1718	1682	1493
clcA	651	567	631	549
yadS	191	187	184	174
btuF	227	179	225	179
pfs	1091	1009	1091	1009
dgt	639	572	639	571
degP	5958	5536	5407	4984
cdaR	591	493	566	475
dapD	4065	4168	3863	3969
glnD	484	429	432	392
map	1286	1091	1170	1001
rpsB	20815	19475	20795	19461
tsf	12513	12785	12504	12771
pyrH	1701	1753	1654	1697
dxr	619	514	619	514
ispU	2978	2516	2978	2516
cdsA	1216	1005	1529	1242
yaeL	4575	4034	4570	4033
yaeT	13083	12086	13029	12043
lpxD	4387	4059	4386	4057
lpxA	2564	2419	2564	2419
lpxB	1377	1148	1337	1124
dnaE	2143	1935	2084	1904
accA	3429	3271	3246	3106
ldcC	209	171	198	166
nlpE	320	317	277	276
proS	3524	3307	3521	3296
yaeB	59	54	59	53
metQ	11363	10305	9945	9005
metI	2168	1948	2088	1878
metN	2330	2032	2288	1995
dkgB	337	264	337	264
yafC	294	274	294	274
yafD	852	757	824	731
mltD	11777	10698	11423	10396
gloB	390	308	373	294
yafS	281	254	277	246
dnaQ	587	487	505	417
yafT	17	15	17	15
yafV	165	140	150	132
fadE	1180	943	1087	858
yafJ	379	308	352	287
yafK	739	624	697	603
dinB	79	64	74	59
pepD	3004	2770	2869	2653
frsA	368	293	346	281
phoE	106	82	88	67
proB	856	731	834	714
proA	1435	1276	1409	1254
yagR	15	13	13	13
yagS	6	1	6	1
yagT	7	3	7	3
yagU	252	222	252	222
yagV	305	620	283	581
yagW	921	1960	900	1906
yagX	1336	2834	1309	2788
yagY	545	1316	545	1314
insF	44	45	235	235
ykgC	66	39	65	38
ykgD	90	77	90	77
