"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"1","cpsG",608.566065708577,-1.73284405583804,0.0610808854744142,-28.3696616769562,4.78918045078318e-177,1.12976766833975e-173,1147.44940272581,1262.51674498349,13.4139252040735,10.8841899209314
"2","cpsB",378.924141902983,-1.20637034571461,0.0591299421951729,-20.402021394384,1.60444282351904e-92,1.89244031034071e-89,682.589996977803,774.844850932798,27.7859879227236,30.4757317786079
"3","ybhI",544.617406140672,-0.777316188817277,0.0615295062295341,-12.6332265030296,1.38481312974712e-36,1.08892472435782e-33,839.686752675252,840.633564691243,258.697128935703,239.45217826049
"4","galF",3159.14616937473,-0.706909380840244,0.0568034112380681,-12.4448402909735,1.49182478482186e-35,8.79803666848692e-33,4233.34415353125,4225.09739470903,2051.37241870867,2126.77071054999
"5","yhhI",429.139947786011,-0.619067741048003,0.057177713833897,-10.8270810345166,2.56192247888004e-27,1.2087150255356e-24,816.719390731181,582.700036146228,181.087990254992,136.052374011642
"6","insF",142.088818621965,0.452286294454537,0.0503305774365702,8.9863124464355,2.55664445035601e-19,1.00518737639831e-16,40.4225570215657,46.9919383988894,225.162315925519,255.778463141888
"7","cusC",69.2296629379894,0.334016597842819,0.0400059879910588,8.34916507792459,6.87471970849925e-17,2.31678054176425e-14,6.43086134434,7.30985708427168,121.683464351238,141.494468972108
"8","gnd",3485.03244658198,-0.32348637848445,0.0587537287507875,-5.50580168037614,3.67492050391334e-08,1.08364218359145e-05,3900.77675258109,4253.29255774836,2737.39887914557,3048.66159685288
"9","yigP",562.335798755462,-0.329509172540819,0.0616432542170008,-5.34542143704577,9.02069184389918e-08,2.36442356219535e-05,715.662998177266,677.72817824176,436.910706646965,419.041311955858
"10","murD",1151.70542117721,-0.286635371842505,0.0606419773449681,-4.7266824795628,2.28217703891603e-06,0.000538365563480292,1333.02568723391,1352.32356059026,949.514276945487,971.958159939173
"11","ybdH",1250.70488093278,-0.267316613673898,0.0607779089694117,-4.39825288837154,1.09125781853758e-05,0.00234025199448195,1497.47199875346,1395.13843779814,1090.36049158826,1019.84859559127
"12","rspA",531.45654963653,-0.260011371312206,0.0613877503661845,-4.23555790465052,2.27984941644586e-05,0.00448180397782983,677.996524588989,597.319750314771,436.910706646965,413.599216995393
"13","surE",436.37356277347,-0.250375770085111,0.0610532816802812,-4.10093877338581,4.11477430301373e-05,0.00746673275446876,523.655852324829,525.265444769808,336.306267616414,360.266686382829
"14","ilvA",2864.58546007167,-0.235908138250137,0.0578705212976547,-4.07648199740163,4.57221936405144e-05,0.00770418962842667,3130.91078021582,3289.43568792226,2435.58556205391,2602.40981009469
"15","pldB",427.872227019266,0.242848908429982,0.0607565707090952,3.99708057244956,6.41284782256121e-05,0.0100852720089479,357.372151849752,324.766507601213,538.473283192093,490.876965434005
"16","nadR",779.998656596422,-0.228239780094428,0.0615971583714439,-3.70536216489231,0.000211088897793913,0.0311224193684901,898.483199252075,890.758298983392,659.198610028754,671.554518121466
"17","hisD",1417.20540131432,-0.224714471212668,0.0611239645941576,-3.67637264213301,0.000236573877496067,0.0328281045301895,1516.76458278648,1702.15243533755,1153.59756755032,1296.30701958293
"18","cdsA",1245.85693929223,0.221881094630555,0.0608209673615022,3.64810203217844,0.000264184727149176,0.0346228761858281,1117.13248495963,1049.48662424186,1464.99225978774,1351.81638817968
"19","livF",748.958287487312,-0.216730215122167,0.0616972451388148,-3.51280214593922,0.000443407530943415,0.0550525455523956,828.662418942098,884.492707196873,628.5382095623,654.139814247976
"20","tdh",327.477732446014,-0.195624014509122,0.0596002910621923,-3.28226609338184,0.00102976380145514,0.121460640381634,401.469486782369,372.802711297856,271.1529166252,264.485815078633
"21","era",898.632643666595,-0.188670464094341,0.0613381191453158,-3.07590885934019,0.00209861982979599,0.235744960880416,1016.07609240572,991.007767567689,788.547174496606,798.899540196364
"22","ytfQ",753.535330463675,-0.188208388060395,0.0617467360734275,-3.04807023057191,0.00230316093490837,0.246961665702221,892.052337907735,811.394136354156,694.649698068091,616.045149524716
"23","selD",2271.2662424188,-0.174984193742201,0.0580659136877445,-3.0135441368097,0.00258215478328982,0.264839266686116,2456.58903353788,2495.7940616299,2025.5027058151,2107.17916869232
"24","potG",571.445847376305,-0.184417591983495,0.0615910391242885,-2.99422764424135,0.00275140576390682,0.267499979612582,667.890885333598,631.780505140624,520.268670415136,465.843328615863
"25","potD",4245.30540068488,-0.172486491895981,0.0578771568668761,-2.98021708793884,0.0028804417162493,0.267499979612582,4409.73349326172,4831.81553270358,3714.69914401378,4024.97343276043
"26","bcsA",342.992337017707,-0.17830404368238,0.0599728521548304,-2.97307927296933,0.00294828294613274,0.267499979612582,390.445153049215,406.219200825955,283.608704314697,291.696289880961
"27","ilvC",7639.14965262186,-0.169771745665693,0.0580861998577816,-2.92275525135681,0.0034694911592888,0.303130727583788,7853.91909039467,8763.47437874399,6589.11168774381,7350.09345360496
"28","yicR",828.61300510982,0.174515681077439,0.0614993260190509,2.83768444914954,0.00454420827080631,0.382849546815431,746.898610421203,726.808647236155,918.853876479034,921.890886302888
"29","cobB",898.160080077719,-0.172604745945274,0.0613264141729064,-2.81452532767732,0.00488493281286943,0.384118550185299,985.759174639546,1002.49468584297,800.044824671526,804.341635156829
"30","glmS",2484.51685391738,-0.163979029903214,0.0582210225957309,-2.81649175147325,0.00485512896717821,0.384118550185299,2627.46620640177,2764.17024315245,2208.50697109924,2337.92399501606
"31","hisB",2296.07639722842,-0.165352144177347,0.059353296224313,-2.78589656676243,0.00533799015368595,0.406203831372424,2395.03650352777,2608.57471378724,2000.5911304361,2180.10324116256
"32","cysA",1738.86646462061,-0.168925273543835,0.0610920258811273,-2.76509529856694,0.00569061681992826,0.419505158694086,1782.26728685994,2049.89277948933,1460.20157221486,1663.10421991832
"33","yiiX",95.7786212971998,-0.114864438540946,0.0456965129185633,-2.51363684458041,0.0119493409145176,0.83439080710625,116.674198675883,121.134774539359,68.0277635349441,77.2777484386128
"34","argI",736.302626119222,-0.155000915957468,0.0617193934440703,-2.51138106368346,0.0120259802635068,0.83439080710625,788.239861920532,837.500768797984,638.119584708067,681.350289050305
"35","yecP",264.37303225252,-0.145060471201101,0.0581395270664383,-2.49504044013524,0.012594277581292,0.837330919404856,306.843955572794,301.792671050645,228.994865983826,219.860636402814
"36","frmC",616.550476078014,0.15369939612998,0.061729388892796,2.48989012991698,0.012778259049841,0.837330919404856,562.241020390869,536.752363045092,703.272935699281,663.935585176814
