"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"1","aaeA","aaeA",1751,59.4706085879866,0.00389358457840282,0.0389348494805407,0.100002558899035,0.920342293923221,0.999807467026667,56.9590576212972,60.5673872696796,59.404525903754,60.9514635572158
"2","aaeB","aaeB",1750,51.8202142153942,0.00462745834254014,0.0368491494607801,0.125578430174225,0.900065637995455,0.999807467026667,48.6908073214315,53.2575301854079,49.8231507579872,55.5093685967501
"3","aaeR","aaeR",1752,78.3570593692778,0.00069201153344589,0.0422588630019972,0.0163755360245538,0.986934796557277,0.999807467026667,85.4385864319458,71.0100402472106,86.232376311901,70.747234486054
"4","aapP","yhdZ",1768,90.4397983926381,-0.0156147691112934,0.0448336484274608,-0.348282365120419,0.727628136379536,0.999807467026667,97.3816146428629,89.8068156067663,92.9393389139377,81.6314244069854
"5","aapQ","yhdX",1767,55.1639865440932,0.000951171088524755,0.0376533132464689,0.0252612853030657,0.979846553921713,0.999807467026667,58.7964465768229,51.1689995899017,58.4463883891773,52.2441116204706
"6","aas","aas",1533,990.621973171538,0.0177817733428785,0.061059431946485,0.291220746345351,0.770882496595404,0.999807467026667,978.409618817443,981.609379887911,1002.2118402472,1000.25705373359
"7","aat","aat",519,58.2448821209667,0.00596994549568101,0.036862528374332,0.161951601231943,0.871343967231712,0.999807467026667,67.0646968766886,46.9919383988894,69.9440385640975,48.9788546441912
"8","abgA","abgA",774,90.2141163491798,0.00931612871856265,0.0446816755188768,0.208499985964646,0.834838593595154,0.999807467026667,82.6825029986572,93.9838767977787,86.232376311901,97.9577092883825
"9","abgB","abgB",773,49.6997460135145,0.00758702016244514,0.0363176434392179,0.208907281529512,0.834520619740013,0.999807467026667,49.6095017991943,46.9919383988894,48.8650132434106,53.3325306125638
"10","abgR","abgR",775,261.550058595748,0.00555931856584453,0.0581042402946532,0.0956783625025058,0.923776026267779,0.999807467026667,259.990537206889,260.022059140521,260.613403964856,265.574234070726
"11","abgT","abgT",772,24.7163190185964,0.0139444200694178,0.0265001163200735,0.526202221190065,0.598747710898478,0.999807467026667,25.72344537736,18.7967753595557,32.576675495607,21.7683798418628
"12","abrB","abrB",406,20.1447476176903,-0.00617721651143329,0.0243569493106414,-0.253612077302904,0.799795265292378,0.999807467026667,18.3738895552572,24.0181018483212,15.3302002332268,22.8567988339559
"13","accA","accA",157,3264.1847287391,-0.0110644548904104,0.0583113815259496,-0.189747774805961,0.849506781938493,0.999807467026667,3150.20336424884,3415.79178895038,3110.1143723159,3380.62938944129
"14","accC","accC",1759,6988.44103794388,-0.0197192363160904,0.0590716302748528,-0.333819063810145,0.738516096985274,0.999807467026667,6608.16937854824,7516.62161322679,6471.26077345088,7357.71238654962
"15","accD","accD",1272,5088.46572237824,0.0416357843675095,0.0552360818306172,0.753778743669521,0.450982089717401,0.999807467026667,5063.84396142887,4910.13543003506,5269.75633017173,5110.12716787729
