	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
thrA	7733	7707	485	369
thrB	2660	2674	279	218
thrC	4664	4889	384	329
yaaA	373	299	132	141
yaaJ	63	51	55	36
talB	3420	3203	2074	2133
htpY	23	22	28	39
dnaK	11029	10408	38127	31379
dnaJ	1931	1802	3706	3031
nhaA	509	446	1278	1096
nhaR	190	155	83	56
ribF	1544	1257	411	333
ileS	5972	5433	1695	1266
ispH	917	796	145	85
rihC	325	285	68	69
dapB	912	940	176	157
carA	2259	1927	29	22
carB	5096	4789	96	69
caiD	39	37	9	10
caiB	29	21	19	21
caiA	90	45	32	38
caiT	9	6	12	6
fixA	34	31	5	8
fixB	26	27	6	8
fixC	25	18	7	3
yaaU	13	12	10	7
kefC	243	207	106	89
apaH	286	212	44	32
ksgA	692	611	146	115
surA	4656	4226	1259	961
imp	5115	4536	1877	1379
djlA	282	200	150	82
rluA	72	73	51	33
hepA	285	279	126	98
polB	96	82	115	115
araD	29	29	25	20
araA	166	149	170	103
araC	1380	1103	879	777
yabI	473	392	311	211
thiQ	105	95	11	10
tbpA	406	338	28	21
setA	659	538	264	176
leuD	2258	2037	257	183
leuC	3221	2907	182	171
leuB	2973	2688	224	186
leuA	3664	4258	321	265
leuO	395	344	240	143
ilvI	4333	3966	481	402
fruR	3405	3152	1948	1434
mraW	1224	1032	1064	908
ftsI	1102	858	609	505
murE	1364	1164	509	311
murF	1043	823	332	256
mraY	948	818	428	281
murD	1451	1295	378	263
ftsW	1367	1084	450	327
murG	957	890	294	206
murC	1494	1327	357	263
ddlB	1459	1257	714	495
ftsQ	1356	1156	741	494
ftsA	3017	2681	1307	930
ftsZ	6873	6163	2924	2249
lpxC	9956	8076	19995	17602
secA	5438	5031	3434	2533
yacF	298	255	215	137
coaE	353	359	314	212
guaC	908	844	169	154
hofC	50	40	9	15
hofB	58	50	29	26
nadC	156	164	98	93
ampE	583	495	294	196
aroP	5059	4688	854	667
pdhR	522	434	454	400
aceE	19329	17814	6144	4678
aceF	10550	9699	4843	3515
lpd	40564	37410	18370	14370
acnB	51359	46513	19096	16125
speD	918	985	241	199
speE	1317	1319	419	325
cueO	350	299	116	66
gcd	140	102	88	70
can	2397	2106	632	512
yadG	460	427	123	94
yadH	326	320	290	231
yadD	529	404	166	176
panC	1359	1278	525	499
yadL	46	48	26	31
ecpD	3	6	6	2
pcnB	1401	1277	105	101
yadB	273	216	57	48
