"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"1","phoH",6726.22987121887,4.0505895964054,0.0880068528281916,46.0258430592107,0,0,778.653208216657,746.085887834102,12144.3149980818,13235.865390743
"2","ptsG",9864.85920806321,-4.89656345175821,0.094315511856169,-51.9168412002626,0,0,18879.5446811594,19301.0652494787,602.346895093862,676.480006520823
"3","yniA",6275.90924386412,3.80919745317955,0.082746268625473,46.0346734234118,0,0,827.502955973257,839.176749977337,11842.4459998477,11594.5112696582
"4","yeaG",2224.18470311856,4.45082241714856,0.107597449869993,41.3655009716899,0,0,192.45623513745,194.335668415804,4395.88034294828,4114.06656597269
"5","manX",14244.88429295,-4.0779637579034,0.0816414336850901,-49.9496833143946,0,0,26479.5060399664,27325.2257680879,1588.63776950852,1586.16759423698
"6","manY",10622.2768643826,-4.08854588123263,0.0870496239783617,-46.9679901460452,0,0,19449.2622212605,20691.3127235303,1194.95608056727,1153.57643217235
"7","htpX",15111.2486104034,3.13154412063496,0.076159094715021,41.1184525282615,0,0,3093.42499046617,3084.22936692075,26611.7692913293,27655.5707928973
"8","clpB",18086.0115948669,3.27677110773125,0.0814989970611605,40.206275241304,0,0,3260.57352495864,3489.20859201103,31578.0011977614,34016.2630647366
"9","rplB",8228.01250465537,-3.84133338420343,0.0984345721590243,-39.0242300032313,0,0,14249.4125654826,16524.6472734404,1050.28153763479,1087.70864206374
"10","rplD",6371.38799701328,-3.98985357227386,0.101019484817939,-39.4958812100906,0,0,11299.5940623973,12680.7421118033,709.461700918868,795.754112933705
"11","rplC",8146.22806572761,-4.02331410245162,0.100917897245982,-39.8672010837185,0,0,14230.5789277933,16473.0056272879,898.651487830566,982.67621999867
"12","malE",3958.95151360907,-5.82985733169027,0.138941306764816,-41.9591370445247,0,0,7619.3835476741,7943.30057265997,118.243616819811,154.878317282399
"13","dnaK",30615.7668062395,3.00177972844228,0.0801173232312867,37.4672992977635,3.14053836753636e-307,5.70128503645063e-305,6491.13093984997,7072.18754150941,53038.5220998699,55861.2266437287
"14","fusA",20322.697148009,-3.1083249602825,0.0840240491051762,-36.9932774412203,1.46872977717385e-299,2.47585876723592e-297,34480.2707508487,38386.0509795301,4262.33461101061,4162.13225064654
"15","ilvC",2767.03022567997,-4.98790762850913,0.136199431845465,-36.622088366481,1.27324268166778e-293,2.00323515249064e-291,5031.52401892986,5702.32492778122,166.932164922086,167.33979108673
"16","garR",1397.82268270964,4.71699693873651,0.129691456444113,36.3709150013994,1.22758345027049e-289,1.81068558914897e-287,103.585007291105,99.2063202402358,2839.23790504982,2549.26149825742
"17","tig",5488.9660300652,-3.57093270479892,0.0993794722062327,-35.9322969374249,9.56775715994043e-283,1.32822981749761e-280,9476.26251360271,10783.5911110448,861.091750723096,834.918744890174
"18","arcA",10578.2005172614,2.75849383595493,0.0772709102226594,35.6989949776211,4.09768717824591e-279,5.37252318925575e-277,2752.65385852555,2684.68610458337,18176.1305572665,18699.3315486703
"19","atpA",13750.8672153676,-2.90832225420143,0.0826851215359389,-35.1734653124666,5.09031220375982e-271,6.32270357940694e-269,23348.4137741217,25206.5592851492,3301.08356133426,3147.4122408653
"20","tufB",34882.9143213041,-2.61841594262225,0.0766775579839021,-34.1484002812396,1.41229355417733e-255,1.66650639392925e-253,58052.3339725307,61972.6933643182,9804.48248642388,9702.14746194339
"21","rpsC",8448.8779323031,-3.21336953636467,0.0954364410345182,-33.6702574145911,1.57569982601394e-248,1.77078647113947e-246,14142.8848023025,16373.1198117036,1602.54878325203,1676.95833195425
