	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2
thrA	7733	7707	516	392
thrB	2660	2674	291	226
thrC	4664	4889	418	342
yaaA	373	299	132	141
yaaJ	63	51	56	37
talB	3420	3203	2119	2186
htpY	23	22	36	44
dnaK	11029	10408	38708	31936
dnaJ	1931	1802	3575	2924
nhaA	509	446	1313	1120
nhaR	190	155	83	56
ribF	1544	1257	424	345
ileS	5972	5433	1813	1351
ispH	917	796	170	96
rihC	325	285	80	83
dapB	912	940	199	177
carA	2259	1927	30	22
carB	5096	4789	105	81
caiD	39	37	15	15
caiB	29	21	20	22
caiA	90	45	32	38
caiT	9	6	12	6
fixA	34	31	5	8
fixB	26	27	6	8
fixC	25	18	7	3
yaaU	13	12	10	7
kefC	243	207	106	89
apaH	286	212	48	33
ksgA	692	611	151	116
surA	4656	4226	1267	971
imp	5115	4536	1877	1379
djlA	282	200	153	84
rluA	72	73	51	33
hepA	285	279	126	100
polB	96	82	128	121
araD	29	29	25	20
araA	166	149	185	115
araC	1380	1103	915	795
yabI	473	392	345	240
thiQ	105	95	11	12
tbpA	406	338	30	26
setA	659	538	264	176
leuD	2258	2037	257	183
leuC	3221	2907	202	183
leuB	2973	2688	249	210
leuA	3664	4258	353	284
leuO	395	344	254	149
ilvI	4333	3966	499	420
fruR	3405	3152	2007	1479
mraW	1224	1032	1073	916
ftsI	1102	858	620	515
murE	1364	1164	533	329
murF	1043	823	333	256
mraY	948	818	447	289
murD	1451	1295	540	380
ftsW	1367	1084	460	334
murG	957	890	310	217
murC	1494	1327	374	276
ddlB	1459	1257	727	505
ftsQ	1356	1156	768	507
ftsA	3017	2681	1343	952
ftsZ	6873	6163	2924	2249
lpxC	9956	8076	20011	17616
secA	5438	5031	3531	2597
yacF	298	255	228	147
coaE	353	359	316	213
guaC	908	844	176	163
hofC	50	40	10	16
hofB	58	50	29	26
nadC	156	164	98	93
ampE	583	495	294	196
aroP	5059	4688	854	668
pdhR	522	434	431	362
aceE	19329	17814	6025	4554
aceF	10550	9699	5038	3665
lpd	40564	37410	18556	14522
acnB	51359	46513	20053	17003
speD	918	985	241	199
speE	1317	1319	419	325
cueO	350	299	117	69
gcd	140	102	96	75
can	2397	2106	633	515
yadG	460	427	137	102
yadH	326	320	306	253
yadD	529	404	175	188
panC	1359	1278	584	551
yadL	46	48	59	54
ecpD	3	6	6	3
pcnB	1401	1277	108	104
yadB	273	216	57	48
sfsA	1647	1403	5147	4692
mrcB	1877	1679	459	361
fhuA	7427	6129	5334	4166
fhuC	609	470	160	114
fhuD	268	176	24	19
hemL	1906	1718	706	583
clcA	651	567	345	244
yadS	191	187	54	66
btuF	227	179	31	20
pfs	1091	1009	1527	1175
dgt	639	572	237	195
degP	5958	5536	1649	1232
cdaR	591	493	820	730
dapD	4065	4168	1063	829
glnD	484	429	286	250
map	1286	1091	1095	882
rpsB	20815	19475	1747	1617
tsf	12513	12785	828	706
pyrH	1701	1753	322	264
dxr	619	514	284	236
ispU	2978	2516	383	296
cdsA	1216	1005	269	216
yaeL	4575	4034	881	616
yaeT	13083	12086	1754	1354
lpxD	4387	4059	1128	765
lpxA	2564	2419	626	501
lpxB	1377	1148	163	104
dnaE	2143	1935	303	247
accA	3429	3271	673	537
ldcC	209	171	191	135
nlpE	320	317	164	106
proS	3524	3307	487	403
yaeB	59	54	20	18
metQ	11363	10305	1978	1296
metI	2168	1948	716	383
metN	2330	2032	801	494
dkgB	337	264	154	129
yafC	294	274	309	219
yafD	852	757	1021	812
mltD	11777	10698	647	489
gloB	390	308	160	143
yafS	281	254	180	173
dnaQ	587	487	420	355
yafT	17	15	6	1
yafV	165	140	103	98
fadE	1180	943	947	708
yafJ	379	308	385	286
yafK	739	624	244	209
dinB	79	64	116	81
pepD	3004	2770	958	755
frsA	368	293	423	322
phoE	106	82	135	108
proB	856	731	309	242
proA	1435	1276	511	394
yagR	15	13	25	16
yagS	6	1	4	4
yagT	7	3	5	10
yagU	252	222	185	138
yagV	305	620	31	9
yagW	921	1960	67	38
yagX	1336	2834	141	46
yagY	545	1316	90	29
insF	44	45	26	20
ykgC	66	39	41	15
ykgD	90	77	48	38
ykgE	1456	1206	637	615
ykgF	2370	2116	1122	890
ykgG	1193	1037	726	545
betA	173	166	66	62
betT	346	292	206	169
yahB	144	123	103	69
yahD	35	25	20	13
yahG	4	8	5	7
yahI	19	17	11	1
yahJ	82	68	38	18
yahK	283	289	340	198
yahN	47	39	338	371
prpR	131	95	110	70
prpB	58	55	130	130
prpC	103	74	108	128
prpD	154	106	150	113
prpE	272	194	213	215
codB	368	404	33	17
codA	479	479	87	69
cynT	17	16	7	14
cynX	18	8	9	9
lacY	32	31	63	74
lacI	737	594	642	426
mhpR	1601	1421	2249	1796
mhpB	15	13	7	4
mhpC	38	33	5	12
mhpD	31	26	5	5
mhpF	39	44	12	12
mhpE	57	51	16	16
mhpT	53	54	28	32
frmA	398	395	37	32
yaiO	55	52	200	124
yaiP	17	12	14	9
tauA	32	39	10	5
tauB	20	21	7	6
tauD	30	25	14	8
hemB	962	882	275	237
yaiV	13	11	35	48
ampH	285	239	57	45
sbmA	212	182	62	62
yaiW	341	313	140	104
ddlA	2134	1798	935	657
phoA	224	182	118	92
yaiC	23	21	22	21
proC	178	170	91	82
aroM	82	79	41	28
rdgC	1013	991	134	90
mak	504	434	382	289
araJ	127	95	81	61
sbcD	284	241	80	39
phoB	189	179	83	64
phoR	154	169	72	65
brnQ	208	179	1098	922
proY	246	217	226	200
malZ	309	313	98	73
queA	100	84	15	11
tgt	2801	2474	393	304
secD	7061	6604	803	590
secF	3694	3517	986	735
tsx	5387	4529	2529	2090
ribD	625	576	404	343
thiL	256	196	53	48
yajO	1319	1105	771	591
dxs	1110	1009	184	125
ispA	657	600	118	71
thiI	393	372	88	66
panE	247	217	160	126
yajR	295	243	111	88
cyoE	4450	4195	4497	3191
cyoC	3149	2924	2000	1489
cyoB	14175	13076	7169	5204
cyoA	10111	9355	5595	4113
ampG	199	163	20	14
tig	16101	15870	619	470
clpP	1534	1412	915	686
clpX	5279	4755	5600	4565
lon	5722	5384	3583	2628
ppiD	7845	7258	2736	2008
queC	477	468	166	133
ybaE	340	300	459	394
cof	163	155	463	411
mdlA	255	207	81	54
mdlB	173	157	38	30
amtB	92	75	77	56
tesB	167	163	125	93
ylaB	222	205	130	106
acrB	6312	5874	1861	1318
acrA	3166	3001	710	513
acrR	403	334	191	154
kefA	1403	1367	376	271
dnaX	969	819	134	96
recR	599	537	53	35
htpG	4626	4260	8461	6993
adk	3774	3686	328	266
hemH	207	193	84	69
aes	279	227	265	221
gsk	514	413	53	40
ybaL	599	489	235	216
fsr	159	114	60	67
ushA	1683	1453	472	365
ybaP	91	70	77	46
copA	537	476	563	416
ybaS	23	32	19	17
ybaT	47	41	28	18
ybbK	651	532	863	655
ybbL	211	178	141	116
ybbM	223	209	107	77
ybbN	735	728	584	470
ybbO	134	129	75	61
tesA	246	221	208	185
ybbA	177	136	148	127
ybbP	393	314	219	163
ybbB	68	61	28	19
ybbS	13	16	14	19
allR	894	693	1329	1199
gcl	34	41	15	22
hyi	14	12	13	12
glxR	16	17	10	4
ybbW	23	21	68	45
allB	120	127	458	279
ybbY	13	16	16	17
glxK	92	89	109	77
ylbA	228	210	172	156
allC	181	129	99	66
allD	72	65	25	22
ylbE	49	28	20	23
ylbF	14	18	15	12
ybcF	38	21	8	6
purK	886	717	22	19
lpxH	281	242	35	15
cysS	956	920	154	118
folD	551	512	329	293
sfmC	17	14	70	46
sfmH	10	8	11	6
fimZ	6	7	13	10
envY	36	38	31	22
ybcH	27	33	51	41
nfrB	69	63	69	49
cusR	82	80	13	9
cusC	7	7	2	3
cusB	13	15	12	2
cusA	63	63	36	20
pheP	402	349	152	113
ybdG	498	468	295	241
nfnB	730	735	270	195
ybdK	22	17	75	73
fepA	2257	2096	402	279
fepC	178	133	54	28
fepG	118	83	69	40
fepD	78	64	85	56
ybdA	140	112	78	47
fepB	197	190	96	73
entC	280	205	77	59
entE	421	364	105	78
entB	533	515	100	68
entA	353	344	103	65
cstA	55920	48127	35384	26587
ybdH	1630	1336	1377	885
ybdL	178	148	260	121
ibrB	47	38	39	38
ibrA	22	14	21	10
ybdO	24	12	18	10
dsbG	182	187	94	78
ahpF	2669	2552	726	554
ybdR	75	52	70	56
rna	199	171	339	288
citT	37	24	21	31
citG	8	6	0	1
citF	4	3	2	4
citE	7	7	5	5
citC	13	10	12	14
citA	167	174	72	49
citB	59	64	37	24
dcuC	49	37	23	17
lipA	1701	1412	2910	2398
ybeF	105	89	89	75
lipB	112	116	57	61
dacA	1078	936	268	239
rlpA	969	883	150	120
mrdB	480	390	61	36
mrdA	555	534	72	50
phpB	62	71	16	12
nadD	152	117	52	45
holA	497	418	73	60
leuS	6364	5826	2695	1959
ybeQ	186	167	157	148
ybeU	15	9	6	7
hscC	227	179	59	58
rihA	2423	2137	580	409
gltL	2822	2592	446	288
gltK	2036	1731	358	318
gltJ	2500	2328	437	295
gltI	30500	26909	8270	6517
ybeX	1574	1355	1069	823
ybeZ	1188	1059	1110	874
miaB	696	574	101	71
asnB	983	979	370	274
nagD	426	391	150	97
nagC	546	452	349	281
nagA	999	856	433	358
nagB	717	623	387	346
nagE	5721	5140	3071	2483
glnS	2770	2556	1210	995
ybfM	281	190	202	193
ybfF	248	219	95	93
pgm	8374	7844	3601	2561
potE	151	125	238	211
kdpE	57	39	54	45
kdpD	205	175	161	120
kdpB	74	96	17	11
ybgH	251	240	53	39
ybgI	1049	1005	472	324
ybgJ	781	697	282	218
ybgK	957	870	369	251
nei	166	140	53	37
abrB	20	23	21	18
gltA	13613	13498	8364	6295
sdhA	23844	22192	11232	8348
sdhB	11231	10027	4643	3540
sucA	39832	37801	20312	14620
sucB	28326	25864	9053	6169
sucC	46950	44087	11887	8454
sucD	37599	34805	12092	9334
mngR	168	123	101	95
mngA	24	33	7	13
cydA	12265	11184	4759	3368
cydB	7694	7219	3898	2924
tolQ	1022	891	164	89
tolA	1935	1734	352	257
tolB	9056	8126	2035	1455
ybgF	3364	3014	657	528
nadA	928	839	162	94
pnuC	585	564	173	124
zitB	200	192	207	169
aroG	2604	2485	1075	873
gpmA	7614	7320	3442	2385
galM	3530	3329	1011	859
galK	1099	1193	293	220
galT	500	479	138	122
galE	376	392	228	182
modF	1250	1117	334	251
modE	336	309	180	172
modA	629	466	137	131
modB	274	240	102	44
modC	533	415	101	72
ybhA	271	225	69	44
pgl	560	477	184	113
ybhD	45	37	49	42
ybhH	18	9	22	19
ybhI	914	805	223	199
ybhJ	102	85	22	34
ybhC	1938	1807	90	66
bioB	1312	1154	1001	641
bioC	326	252	47	33
bioD	366	292	34	22
uvrB	944	829	1150	977
ybhK	540	456	208	137
moaA	950	700	679	514
ybhL	615	554	1974	1791
ybhN	24	10	16	18
ybhO	26	12	31	16
ybhP	29	19	34	26
ybhR	114	78	78	64
ybhS	136	104	55	57
ybhF	382	261	143	87
ybhG	246	241	117	66
ybiH	77	58	58	37
rhlE	37	25	21	29
dinG	186	179	240	186
ybiB	269	238	259	183
ybiC	2114	2055	867	634
ybiX	85	98	71	53
fiu	84	62	77	42
ybiN	148	156	50	35
ybiO	65	47	56	51
glnQ	2476	2320	934	808
glnP	2172	2091	1233	1058
glnH	14207	12784	9485	7812
rhtA	82	50	28	21
ybiR	308	282	209	149
ybiS	1049	983	402	344
ybiT	1836	1668	399	306
ybiU	71	59	31	25
ybiV	153	135	72	41
ybiW	95	98	69	48
ybiY	22	16	5	3
fsaA	49	43	41	35
moeB	250	196	134	96
moeA	449	364	310	234
iaaA	1476	1289	404	283
yliA	1290	1151	224	162
yliB	1576	1446	255	195
yliC	506	437	57	47
yliD	352	280	28	25
yliE	180	149	20	20
yliF	58	50	47	25
yliG	323	276	50	83
yliI	40	36	70	61
yliJ	1277	1144	210	154
dacC	1052	945	1038	775
deoR	474	383	240	226
cmr	158	148	126	133
ybjI	223	202	71	51
ybjJ	88	87	53	53
ybjL	356	340	545	464
nfsA	458	383	146	114
rimK	394	349	91	92
potF	1608	1499	417	330
potG	727	605	122	103
potH	340	263	70	39
potI	315	221	118	97
rumB	117	130	27	14
artJ	2133	2033	116	93
artM	786	697	83	57
artQ	904	820	85	66
artI	2171	1876	435	314
artP	1015	898	192	153
ybjR	307	248	306	235
ybjS	290	257	94	73
ybjT	614	583	106	84
ltaE	919	800	134	112
poxB	52	48	112	93
hcr	23	27	35	31
hcp	21	16	17	16
ybjE	61	72	25	28
aqpZ	89	59	184	141
ybjD	632	549	1166	876
ybjX	1461	1208	2049	1800
macA	467	396	347	250
macB	505	446	537	414
clpA	13342	11653	28012	23031
aat	73	45	28	32
cydC	390	361	114	70
cydD	417	355	119	124
trxB	4145	4012	482	362
lolA	896	787	656	481
ycaJ	591	548	151	116
serS	5071	4538	4176	3306
dmsA	74	99	64	40
dmsB	35	33	39	24
dmsC	115	118	101	67
ycaC	94	73	97	81
ycaD	169	148	152	109
ycaM	59	38	30	27
ycaN	118	89	128	120
pflA	357	395	614	599
pflB	19681	17258	13985	10433
focA	2107	1744	1918	1312
ycaO	418	432	58	57
ycaP	644	465	546	476
serC	5372	5303	1316	1004
aroA	1782	1764	191	115
ycaL	80	72	39	38
cmk	2078	1847	311	273
rpsA	55787	53439	9151	7940
msbA	1660	1495	319	212
lpxK	341	320	62	40
kdsB	976	874	401	292
ycbJ	259	265	311	234
smtA	775	641	247	168
mukF	1457	1356	281	208
mukE	894	742	166	106
mukB	5726	5319	737	572
ycbB	513	432	876	650
ycbL	2414	1974	1197	871
aspC	7375	6954	1928	1612
ompF	85427	73426	16544	12561
asnS	3005	2842	1349	1197
pncB	952	889	156	132
pepN	7058	6535	4762	3546
ssuC	14	13	11	7
ssuA	24	28	9	11
ycbR	20	16	15	14
ycbT	85	52	36	28
ycbF	44	36	22	12
pyrD	319	287	30	20
ycbX	555	449	230	135
ycbY	1081	902	136	116
uup	1369	1161	140	133
pqiA	270	216	123	80
pqiB	635	575	254	213
ycbZ	973	812	303	252
yccR	413	377	250	245
yccS	355	341	215	150
helD	770	694	523	367
yccT	16	14	20	25
yccW	426	382	192	146
yccA	3579	2945	5348	4274
hyaA	5	4	7	5
hyaB	10	15	7	7
hyaC	14	13	10	5
hyaF	17	11	12	9
