"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_starvation1","IAI1_starvation2"
"1","phoH",6584.87228436794,3.98044465588755,0.0891746397611446,44.6365095115519,0,0,797.015120687905,765.764902109125,11817.2111564349,12959.4979582398
"2","ptsG",10095.7806222754,-4.96738687645591,0.0951580965333388,-52.2014106778142,0,0,19324.7551333534,19810.1566888977,586.122844299692,662.087822550568
"3","yniA",6333.74303205635,3.7853518753157,0.0832209056323396,45.4855885856248,0,0,847.016825160389,861.311160386857,11926.8553836596,11699.7887590186
"4","yeaG",2282.84407061477,4.45319713344679,0.106952902036561,41.6369920652036,0,0,196.994667018099,199.461531879062,4481.87699186208,4253.04309169983
"5","manX",14562.0427777716,-4.14890752511748,0.0823161156722079,-50.4021295372938,0,0,27103.9359749581,28045.9651852608,1545.84824062413,1552.42171024357
"6","manY",10854.6027367049,-4.17148935050466,0.0875729263569876,-47.6344633442961,0,0,19907.907542141,21237.073801571,1147.88030477168,1125.54929833597
"7","htpX",14875.1905715974,3.06653600143537,0.0770648148309226,39.7916482140811,0,0,3166.3729964744,3165.58004615056,26012.7545009404,27156.0547428241
"8","clpB",18324.043621812,3.25825265173158,0.0827568994667441,39.3713717252169,0,0,3337.4631659947,3581.24114055588,31873.9829439373,34503.4872367603
"9","rplB",8408.12598408848,-3.9122907888015,0.0993675606379233,-39.3719113530134,0,0,14585.4369516061,16960.5069712129,1021.99248832856,1064.56752520631
"10","rplD",6512.61187080681,-4.0606584831546,0.102053521818946,-39.7894987921988,0,0,11566.0569176773,13015.2136640806,690.352541784857,778.824359684484
"11","rplC",8327.46965638103,-4.0941573124097,0.101979251645516,-40.1469636847422,0,0,14566.1591860263,16907.5032074968,874.446552927486,961.769679073457
"12","malE",4056.27486539762,-5.86753839983639,0.138849638273172,-42.2582188388033,0,0,7799.06103735874,8152.81576107074,116.412389399015,156.810273761977
"13","fusA",20749.2964612403,-3.16461573551905,0.0847668414276367,-37.3331798403814,4.75361244735677e-305,8.6332915293918e-303,35293.3717653068,39398.5344717201,4188.1387534948,4117.14085443946
"14","ilvC",2850.95018693754,-4.76089138179045,0.129949540483737,-36.6364618456368,7.51777403677906e-294,1.26781889291681e-291,5150.17556066583,5852.73138296883,205.752130100585,195.141674014904
