	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
thrA	516	392	485	369
thrB	291	226	279	218
thrC	418	342	384	329
yaaA	132	141	132	141
yaaJ	56	37	55	36
talB	2119	2186	2074	2133
htpY	36	44	28	39
dnaK	38708	31936	38127	31379
dnaJ	3575	2924	3706	3031
nhaA	1313	1120	1278	1096
nhaR	83	56	83	56
ribF	424	345	411	333
ileS	1813	1351	1695	1266
ispH	170	96	145	85
rihC	80	83	68	69
dapB	199	177	176	157
carA	30	22	29	22
carB	105	81	96	69
caiD	15	15	9	10
caiB	20	22	19	21
caiA	32	38	32	38
caiT	12	6	12	6
fixA	5	8	5	8
fixB	6	8	6	8
fixC	7	3	7	3
yaaU	10	7	10	7
kefC	106	89	106	89
apaH	48	33	44	32
ksgA	151	116	146	115
surA	1267	971	1259	961
imp	1877	1379	1877	1379
djlA	153	84	150	82
rluA	51	33	51	33
hepA	126	100	126	98
polB	128	121	115	115
araD	25	20	25	20
araA	185	115	170	103
araC	915	795	879	777
yabI	345	240	311	211
thiQ	11	12	11	10
tbpA	30	26	28	21
setA	264	176	264	176
leuD	257	183	257	183
leuC	202	183	182	171
leuB	249	210	224	186
leuA	353	284	321	265
leuO	254	149	240	143
ilvI	499	420	481	402
fruR	2007	1479	1948	1434
mraW	1073	916	1064	908
ftsI	620	515	609	505
murE	533	329	509	311
murF	333	256	332	256
mraY	447	289	428	281
murD	540	380	378	263
ftsW	460	334	450	327
murG	310	217	294	206
murC	374	276	357	263
ddlB	727	505	714	495
ftsQ	768	507	741	494
ftsA	1343	952	1307	930
ftsZ	2924	2249	2924	2249
lpxC	20011	17616	19995	17602
secA	3531	2597	3434	2533
yacF	228	147	215	137
coaE	316	213	314	212
guaC	176	163	169	154
hofC	10	16	9	15
hofB	29	26	29	26
nadC	98	93	98	93
ampE	294	196	294	196
aroP	854	668	854	667
pdhR	431	362	454	400
aceE	6025	4554	6144	4678
aceF	5038	3665	4843	3515
lpd	18556	14522	18370	14370
acnB	20053	17003	19096	16125
speD	241	199	241	199
speE	419	325	419	325
cueO	117	69	116	66
gcd	96	75	88	70
can	633	515	632	512
yadG	137	102	123	94
yadH	306	253	290	231
yadD	175	188	166	176
panC	584	551	525	499
yadL	59	54	26	31
ecpD	6	3	6	2
pcnB	108	104	105	101
yadB	57	48	57	48
sfsA	5147	4692	5147	4692
mrcB	459	361	411	327
fhuA	5334	4166	5264	4116
fhuC	160	114	148	111
fhuD	24	19	23	15
hemL	706	583	614	510
clcA	345	244	338	239
yadS	54	66	52	64
btuF	31	20	31	20
pfs	1527	1175	1527	1175
dgt	237	195	236	195
degP	1649	1232	1495	1093
cdaR	820	730	782	696
dapD	1063	829	1006	786
glnD	286	250	265	234
map	1095	882	1011	812
rpsB	1747	1617	1747	1616
tsf	828	706	828	706
pyrH	322	264	303	253
dxr	284	236	284	236
ispU	383	296	383	295
cdsA	269	216	326	249
yaeL	881	616	879	613
yaeT	1754	1354	1752	1352
lpxD	1128	765	1128	764
lpxA	626	501	626	501
lpxB	163	104	161	103
dnaE	303	247	298	239
accA	673	537	628	508
ldcC	191	135	177	126
nlpE	164	106	139	89
proS	487	403	487	400
yaeB	20	18	20	18
metQ	1978	1296	1705	1087
metI	716	383	672	365
metN	801	494	789	483
dkgB	154	129	154	129
yafC	309	219	309	219
yafD	1021	812	1006	799
mltD	647	489	627	472
gloB	160	143	150	139
yafS	180	173	177	169
dnaQ	420	355	377	305
yafT	6	1	6	1
yafV	103	98	100	86
fadE	947	708	871	656
yafJ	385	286	365	272
yafK	244	209	237	202
dinB	116	81	110	83
pepD	958	755	898	732
frsA	423	322	403	312
phoE	135	108	92	79
proB	309	242	301	235
proA	511	394	506	390
yagR	25	16	24	16
yagS	4	4	4	4
yagT	5	10	5	10
yagU	185	138	185	138
yagV	31	9	29	9
yagW	67	38	67	37
yagX	141	46	138	45
yagY	90	29	90	29
insF	26	20	135	105
ykgC	41	15	41	15
ykgD	48	38	47	38
ykgE	637	615	635	613
ykgF	1122	890	1117	887
ykgG	726	545	631	480
betA	66	62	54	52
betT	206	169	193	157
yahB	103	69	96	65
yahD	20	13	20	13
yahG	5	7	3	5
