"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_starvation1","IAI1_starvation2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"1","yhhI",312.536267136665,-0.600356751162554,0.0512206183990971,-11.7209977139428,9.94932747002792e-32,2.34704635017959e-28,540.234543207152,503.358333786576,111.649971286732,94.9022202662002
"2","ybhI",127.153742359468,-0.297396183957469,0.0414304446110283,-7.17820401759109,7.06331063074448e-13,5.55411659264208e-10,192.447768586573,221.122093650174,52.2233736663746,42.8217335347489
"3","galF",620.529744503711,-0.400323031828754,0.0556556657374534,-7.19285317180848,6.34511676039491e-13,5.55411659264208e-10,865.583461400596,792.261571721477,424.99021328498,399.283731607793
"4","cpsG",49.3534157103223,-0.198274463637707,0.0291227361560612,-6.80823610031715,9.88026238903346e-12,5.82688474393248e-09,106.148320789904,84.4486387809709,4.50201497123919,2.31468829917561
"5","insF",71.9341805880761,0.215145098957061,0.0346532401330411,6.20851320485687,5.34882290298155e-10,2.52357464562669e-07,22.4378564271341,22.2233259949923,121.554404223458,121.52113570672
"6","cpsB",52.9183226306448,-0.182452208947541,0.0305731421469121,-5.96772840916414,2.40579377394472e-09,9.45877918789268e-07,99.24436496617,88.8933039799693,10.8048359309741,12.7307856454659
"7","rspA",102.133927743239,-0.178295309599612,0.0388621131650015,-4.5878953839335,4.47736897438198e-06,0.00150887334436673,138.942110952638,156.674448264696,50.422567677879,62.4965840777416
"8","gnd",946.257393498769,-0.198058447136541,0.0560956708046496,-3.5307260666562,0.000414420702879378,0.122202304761556,1172.80949555674,1024.49532836915,856.283247529694,731.441502539494
"9","tdh",340.14618774955,-0.166350997837799,0.0524683094444556,-3.17050424530835,0.00152174609141623,0.398866558850098,392.662487474847,413.353863506857,262.917674320369,291.650725696127
"10","yigP",184.046815485116,-0.142358870631221,0.0468510729598143,-3.03854024332222,0.00237727350739016,0.560798820393339,228.693536661174,222.233259949923,144.064479079654,141.195986249712
"11","cusC",12.3573805063296,0.0469561047189678,0.0159524021099213,2.94351310827127,0.00324510080473547,0.695926618033725,1.72598895593339,3.33349889924885,18.9084628792046,25.4615712909318
"12","bcsA",178.91591469372,-0.132910614694313,0.046531808544085,-2.85633889704483,0.00428557429907311,0.842472480959455,220.063591881507,214.455095851676,142.263673091158,138.881297950537
"13","murD",383.248513793537,-0.148506494335565,0.0530709347490924,-2.79826415414898,0.00513780754438954,0.932314461324225,466.017018102016,422.243193904854,340.352331825683,304.381511341593
"14","thrA",436.159445885192,-0.0101476320078807,0.0544351267923414,-0.186416981200242,0.852117776760649,0.999740963348521,445.305150630815,435.57718950185,436.695452210202,427.059991197901
"15","thrB",251.442109209253,0.000939461744734244,0.0502268049307668,0.0187043899373892,0.985076926204809,0.999740963348521,251.131393088308,251.123583743413,251.212435395147,252.301024610142
"16","thrC",366.817885327502,-0.00930958922837071,0.0530565538687486,-0.175465395875518,0.860713959017166,0.999740963348521,360.731691790079,380.018874514369,345.75474979117,380.766225214388
"17","yaaA",138.157109922224,0.0089433931837405,0.0405133755858104,0.220751617321981,0.825285837932014,0.999740963348521,113.915271091604,156.674448264696,118.853195240715,163.185525091881
"18","yaaJ",45.1568494814157,0.00196969320930508,0.0289111294282974,0.0681292377106927,0.945682756094858,0.999740963348521,48.327690766135,41.1131530907358,49.5221646836311,41.664389385161
"19","talB",2148.43642780122,0.00360392134051883,0.0390323198725068,0.0923317228463617,0.926434484826118,0.999740963348521,1828.68529881143,2429.00953125266,1867.43581007002,2468.61507107079
"20","htpY",37.576706017162,-0.00970319241613051,0.0251509195082633,-0.385798714553658,0.699645747380795,0.999740963348521,31.0678012068011,48.8913171889831,25.2112838389395,45.1364218339245
"21","dnaK",34884.2410583854,0.0234101405065781,0.0543168752727715,0.430992033120752,0.666474163326066,0.999740963348521,33404.7902531349,35486.2069488038,34329.6649616873,36316.3020699158
"22","dnaJ",3294.76478332049,0.0662311467223201,0.0557837197580981,1.18728451615501,0.235115413514745,0.999740963348521,3085.20525873094,3249.05026046788,3336.89349668249,3507.91011740064
"23","nhaA",1199.1955549717,0.0119955440516548,0.0567163839993955,0.211500508420682,0.832496735522612,0.999740963348521,1133.11174957027,1244.50625571957,1150.71502664874,1268.44918794824
"24","nhaR",68.3496438391755,0.006015468359746,0.0340480070782682,0.176676078159814,0.859762832122089,0.999740963348521,71.6285416712358,62.2253127859785,74.7334485225706,64.8112723769172
"25","ribF",376.180816130024,0.00397514171586059,0.0534452162442062,0.0743778769216135,0.940709711695404,0.999740963348521,365.909658657879,383.352373413618,370.065630635862,385.39560181274
"26","ileS",1514.2938570359,-0.0188835864537955,0.0566334989417706,-0.33343492467614,0.738806003924235,0.999740963348521,1564.60898855362,1501.18567096173,1526.18307525009,1465.19769337816
"27","ispH",120.5784282278,-0.0205229955754523,0.0393708284022133,-0.521274161818209,0.602175797764001,0.999740963348521,146.709061254338,106.671964775963,130.558434165937,98.3742527149636
"28","rihC",75.5876277617414,-0.0196073875155691,0.0343484882092898,-0.570836986946811,0.568110148306743,0.999740963348521,69.0395582373357,92.2268028792182,61.227403608853,79.8567463215587
"29","dapB",177.14657366099,-0.0235144053104148,0.0457619199561486,-0.513842193093025,0.607362325907921,0.999740963348521,171.735901115372,196.676435055682,158.47092698762,181.703031485286
"30","carA",25.4771877644029,0.00144293348942415,0.0228009253325729,0.0632839881880936,0.949540365779473,0.999740963348521,25.8898343390009,24.4456585944916,26.1116868331873,25.4615712909318
"31","carB",86.7285810588933,-0.0145447899759366,0.0374021256431729,-0.388876025782546,0.697367857711066,0.999740963348521,90.6144201865031,90.0044702797189,86.4386874477925,79.8567463215587
"32","caiD",12.3223700274633,-0.0121182835681079,0.0161809614658008,-0.748922342700115,0.453904012896169,0.999740963348521,12.9449171695004,16.6674944962442,8.10362694823054,11.5734414958781
"33","caiB",20.7793580464696,-0.000349312998609682,0.0203857154458155,-0.0171351846609526,0.986328769727822,0.999740963348521,17.2598895593339,24.4456585944916,17.1076568907089,24.3042271413439
"34","caiA",35.6580290464218,0.00309729074728963,0.0252071847750413,0.122873330557579,0.902207404699243,0.999740963348521,27.6158232949343,42.2243193904854,28.8128958159308,43.9790776843367
"35","caiT",8.69295809064974,0.000890577846431086,0.0136665044394604,0.0651650061927798,0.948042622897246,0.999740963348521,10.3559337356004,6.6669977984977,10.8048359309741,6.94406489752684
"36","fixA",6.74126773894301,0.000659432323952629,0.0119144871757985,0.0553471009051997,0.955861938551015,0.999740963348521,4.31497238983348,8.88933039799693,4.50201497123919,9.25875319670245
"37","fixB",7.18211710699665,0.000720511743267465,0.0124269357625018,0.0579798396835367,0.953764687109711,0.999740963348521,5.17796686780018,8.88933039799693,5.40241796548703,9.25875319670245
"38","fixC",4.7873284133785,0.000501730669287012,0.0102766532455421,0.0488223799420942,0.961060846825146,0.999740963348521,6.04096134576687,3.33349889924885,6.30282095973487,3.47203244876342
"39","yaaU",8.37838696687683,0.000877799590859694,0.0136123628435124,0.0644854681696977,0.9485836777483,0.999740963348521,8.62994477966696,7.77816409824732,9.00402994247838,8.10140904711465
"40","kefC",97.2043905114428,0.00810602050683744,0.0388193065377201,0.208814150220869,0.834593324558829,0.999740963348521,91.4774146644698,98.8938006777159,95.4427173902709,103.003629313315
"41","apaH",38.6862418419634,-0.00173113394133162,0.0272779209607745,-0.0634628256244669,0.949397960401036,0.999740963348521,41.4237349424014,36.6684878917373,39.6177317469049,37.0350127868098
"42","ksgA",130.940217826677,0.00496180649535527,0.0428009932235057,0.115927368074027,0.907710105339301,0.999740963348521,130.312166172971,128.895290770956,131.458837160184,133.094577202598
"43","surA",1104.54289453815,0.0240852125753038,0.0567561815395439,0.424362808102635,0.671301240141767,0.999740963348521,1093.4140035838,1078.94247705688,1133.60736975803,1112.20772775388
"44","imp",1609.54324124575,0.0319986365387309,0.0566328977815375,0.565018527961721,0.572061161973068,0.999740963348521,1619.84063514349,1532.29832735472,1690.05642020319,1595.97758228159
"45","djlA",113.834698427812,0.0037869661403959,0.0380623280348385,0.0994938128043478,0.920746200193516,0.999740963348521,132.038155128904,93.3379691789678,135.060449137176,94.9022202662002
"46","rluA",41.1985289777691,0.00386042522562103,0.0278016205827961,0.138856122222239,0.889563844376862,0.999740963348521,44.0127183763015,36.6684878917373,45.9205527066398,38.1923569363976
"47","hepA",111.6811095334,0.00697012870259918,0.0407606729786072,0.171001315563592,0.864222731162427,0.999740963348521,108.737304223804,111.116629974962,113.450777275228,113.419726659605
"48","polB",120.388834247635,-0.00754259901345539,0.0403416957187537,-0.186967822722163,0.851685861783188,0.999740963348521,110.463293179737,134.451122269704,103.546344338501,133.094577202598
"49","araD",22.363786448028,0.00223762749413606,0.0215101935146091,0.104026376732331,0.917148416519846,0.999740963348521,21.5748619491674,22.2233259949923,22.510074856196,23.1468829917561
"50","araA",139.92826483118,-0.0126203230944297,0.0419187766631984,-0.301066111633677,0.763364081833164,0.999740963348521,159.653978423839,127.784124471206,153.068509022133,119.206447407544
"51","araC",840.931947953512,0.00637521928040565,0.0561450894206971,0.113549009293331,0.909595310494564,0.999740963348521,789.639947339527,883.377208300945,791.45423194385,899.256404229726
"52","yabI",272.159488403131,-0.0282771842045526,0.0502165887392844,-0.56310444246547,0.573363766607089,0.999740963348521,297.73309489851,266.679911939908,280.025331211078,244.199615563027
"53","thiQ",11.0762023218083,-0.00157146975945492,0.0154393933564249,-0.101783128596887,0.918928817523445,0.999740963348521,9.49293925763365,13.3339955969954,9.90443293672622,11.5734414958781
