	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
thrA	23888	36739	25950	39824
thrB	7296	11378	7781	12128
thrC	12906	19668	13577	20772
yaaA	620	907	619	904
yaaJ	73	119	74	122
talB	7174	8351	7324	8561
htpY	24	40	29	48
dnaK	26198	43222	27578	45536
dnaJ	3588	5684	3830	6044
nhaA	521	723	531	738
nhaR	292	371	300	374
ribF	2342	3364	2406	3446
ileS	7737	12463	8183	13273
ispH	1122	1661	1291	1935
rihC	63	68	79	82
dapB	5364	7431	5836	8153
carA	6188	9296	6490	9733
carB	13288	21786	15231	24948
caiD	18	18	12	16
caiB	74	89	77	95
caiA	126	190	126	192
caiT	6	12	6	12
fixA	12	19	12	20
fixB	13	30	13	30
fixC	29	38	34	42
yaaU	11	27	11	28
kefC	231	385	231	387
apaH	250	448	290	497
ksgA	1060	1549	1092	1595
surA	4142	6313	4183	6376
imp	6567	8574	6577	8590
djlA	570	821	623	891
rluA	194	270	217	285
hepA	1009	1314	1015	1318
polB	142	244	151	261
araD	6	10	6	11
araA	31	43	36	46
araC	346	499	362	530
yabI	175	301	200	341
thiQ	135	236	237	350
tbpA	389	547	542	784
setA	375	527	376	528
leuD	3989	5395	4013	5416
leuC	5273	7501	5860	8271
leuB	3871	5572	4498	6431
leuA	6361	8387	6919	9120
leuO	65	114	68	117
ilvI	5253	7608	5505	8023
fruR	1291	1884	1318	1944
mraW	1521	2319	1538	2350
ftsI	1458	2017	1499	2070
murE	1634	2655	1677	2747
murF	1500	2169	1504	2176
mraY	861	1272	893	1317
murD	1049	1629	1555	2427
ftsW	1338	1946	1385	2004
murG	1115	1567	1141	1610
murC	1620	2362	1692	2468
ddlB	1594	2287	1666	2380
ftsQ	1709	2340	1752	2438
ftsA	4693	6407	4768	6535
ftsZ	10342	15339	10342	15339
lpxC	11024	16851	11045	16883
secA	6647	9318	6836	9599
yacF	604	853	561	798
coaE	488	624	490	629
guaC	1684	2230	1748	2307
hofC	63	95	67	101
hofB	89	81	89	81
nadC	357	426	357	426
ampE	334	544	334	544
aroP	6075	8716	6091	8732
pdhR	601	887	640	970
aceE	25260	37653	26955	40157
aceF	13236	21612	13847	22670
lpd	24100	34286	24384	34750
acnB	12049	17121	12501	17826
speD	3430	4384	3438	4389
speE	3764	4937	3764	4937
cueO	498	800	568	899
gcd	925	1254	982	1327
can	7850	10466	7860	10483
yadG	775	1088	854	1201
yadH	450	708	483	761
yadD	368	482	396	529
panC	2395	3785	2649	4100
yadL	10	24	19	40
ecpD	7	9	9	9
pcnB	1829	2508	1859	2560
yadB	234	321	236	323
sfsA	1660	2021	1660	2021
mrcB	1408	2102	1539	2297
fhuA	5448	8223	5491	8279
fhuC	400	687	420	725
fhuD	248	438	282	507
hemL	1817	2809	2194	3327
clcA	804	1045	821	1082
yadS	175	266	183	282
btuF	212	320	213	322
pfs	1858	2568	1858	2568
dgt	898	1250	899	1253
degP	3616	5883	3942	6474
cdaR	142	221	156	232
dapD	12589	18876	13366	19986
glnD	851	1108	922	1215
map	3842	5040	4040	5359
rpsB	35160	51786	35188	51824
tsf	22824	34954	22872	35019
pyrH	4097	5841	4249	6133
dxr	732	980	736	981
ispU	3155	4146	3156	4146
cdsA	1171	1668	1343	1995
yaeL	5180	6835	5186	6847
yaeT	14187	19860	14267	19987
lpxD	7131	10439	7145	10452
lpxA	2998	4840	2998	4840
lpxB	1348	2032	1385	2085
dnaE	3074	4185	3167	4313
accA	3017	4542	3240	4865
ldcC	382	569	399	587
nlpE	298	394	391	515
proS	6598	10064	6693	10197
yaeB	107	141	107	141
metQ	7857	11688	9594	13983
metI	2006	2951	2289	3293
metN	2262	3605	2318	3706
dkgB	418	554	418	554
yafC	340	496	340	498
yafD	797	1152	799	1166
mltD	11560	15731	11825	16086
gloB	616	757	638	798
yafS	373	495	380	508
dnaQ	908	1220	1056	1407
yafT	11	15	11	16
yafV	210	272	227	291
fadE	314	449	341	498
yafJ	594	827	639	891
yafK	1390	1916	1468	2013
dinB	126	209	138	224
pepD	4854	6600	5011	6867
frsA	378	550	425	608
phoE	43	33	49	40
proB	1510	2415	1535	2451
proA	2255	3508	2284	3574
yagR	22	37	22	38
yagS	3	8	3	8
yagT	7	8	7	8
yagU	633	938	633	938
yagV	45	38	47	44
yagW	78	112	79	112
yagX	72	99	74	101
yagY	13	16	14	16
insF	232	304	1303	1798
ykgC	92	148	93	150
ykgD	62	87	64	88
ykgE	62	59	62	59
ykgF	124	202	125	202
ykgG	96	150	115	169
betA	294	448	327	509
betT	410	633	430	668
yahB	153	199	168	221
yahD	71	83	71	83
yahG	18	26	31	38
yahI	11	19	12	27
yahJ	164	252	194	306
yahK	667	919	677	939
yahN	10	15	10	15
prpR	36	35	39	38
prpB	1	1	2	2
prpC	7	13	8	14
prpD	15	14	15	14
prpE	32	37	32	38
codB	3072	4907	3317	5340
codA	5187	8081	5522	8641
cynT	15	33	15	33
cynX	21	24	21	26
lacY	32	46	32	49
