	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_batch1	K12_batch2
thrA	17775	10338	25950	39824
thrB	5658	3157	7781	12128
thrC	9436	5351	13577	20772
yaaA	590	357	619	904
yaaJ	115	67	74	122
talB	7017	4062	7324	8561
htpY	37	18	29	48
dnaK	28624	18092	27578	45536
dnaJ	4342	2685	3830	6044
nhaA	824	424	531	738
nhaR	341	204	300	374
ribF	2591	1453	2406	3446
ileS	9070	5249	8183	13273
ispH	1268	740	1291	1935
rihC	249	119	79	82
dapB	2107	1071	5836	8153
carA	5279	2599	6490	9733
carB	11292	5856	15231	24948
caiD	13	11	12	16
caiB	56	33	77	95
caiA	175	99	126	192
caiT	17	11	6	12
fixA	13	10	12	20
fixB	18	13	13	30
fixC	58	26	34	42
yaaU	39	20	11	28
kefC	383	190	231	387
apaH	436	233	290	497
ksgA	1265	685	1092	1595
surA	5239	2929	4183	6376
imp	8029	4671	6577	8590
djlA	614	270	623	891
rluA	199	125	217	285
hepA	972	620	1015	1318
polB	278	130	151	261
araD	25	9	6	11
araA	106	61	36	46
araC	1388	589	362	530
yabI	456	203	200	341
thiQ	147	76	237	350
tbpA	343	216	542	784
setA	486	269	376	528
leuD	5825	3449	4013	5416
leuC	8045	4702	5860	8271
leuB	5740	3532	4498	6431
leuA	9611	5677	6919	9120
leuO	124	77	68	117
ilvI	4749	2695	5505	8023
fruR	2650	1314	1318	1944
mraW	1736	921	1538	2350
ftsI	1676	905	1499	2070
murE	1778	1001	1677	2747
murF	1492	785	1504	2176
mraY	852	462	893	1317
murD	1260	652	1555	2427
ftsW	1498	776	1385	2004
murG	1291	663	1141	1610
murC	1772	909	1692	2468
ddlB	1999	1048	1666	2380
ftsQ	2129	1101	1752	2438
ftsA	5612	2861	4768	6535
ftsZ	13743	7141	10342	15339
lpxC	15278	8214	11045	16883
secA	6515	3610	6836	9599
yacF	507	350	561	798
coaE	473	267	490	629
guaC	1243	891	1748	2307
hofC	101	52	67	101
hofB	97	59	89	81
nadC	316	236	357	426
ampE	470	270	334	544
aroP	6536	3775	6091	8732
pdhR	687	372	640	970
aceE	28498	14729	26955	40157
aceF	15785	8339	13847	22670
lpd	40622	22191	24384	34750
acnB	31498	17992	12501	17826
speD	2429	1546	3438	4389
speE	3044	1801	3764	4937
cueO	503	291	568	899
gcd	653	513	982	1327
can	6390	3880	7860	10483
yadG	1007	559	854	1201
yadH	614	349	483	761
yadD	632	316	396	529
panC	2659	1531	2649	4100
yadL	25	17	19	40
ecpD	8	4	9	9
pcnB	1796	1124	1859	2560
yadB	431	274	236	323
sfsA	3096	1506	1660	2021
mrcB	1752	891	1539	2297
fhuA	5835	2918	5491	8279
fhuC	398	217	420	725
fhuD	256	127	282	507
hemL	1988	1252	2194	3327
clcA	926	486	821	1082
yadS	254	112	183	282
btuF	238	138	213	322
pfs	1807	1049	1858	2568
dgt	1046	630	899	1253
degP	5285	2992	3942	6474
cdaR	822	348	156	232
dapD	7961	4364	13366	19986
glnD	858	539	922	1215
map	2896	1893	4040	5359
rpsB	36676	19303	35188	51824
tsf	21758	11708	22872	35019
pyrH	3752	1968	4249	6133
dxr	775	390	736	981
ispU	4412	2199	3156	4146
cdsA	1429	853	1343	1995
yaeL	6936	3499	5186	6847
yaeT	18813	9871	14267	19987
lpxD	7168	4247	7145	10452
lpxA	3355	1931	2998	4840
lpxB	1697	919	1385	2085
dnaE	3127	1783	3167	4313
accA	3174	1722	3240	4865
ldcC	605	410	399	587
nlpE	451	222	391	515
proS	5958	3542	6693	10197
yaeB	97	71	107	141
metQ	10197	5341	9594	13983
metI	2267	1182	2289	3293
metN	2311	1314	2318	3706
dkgB	586	304	418	554
yafC	432	263	340	498
yafD	1140	595	799	1166
mltD	16779	9376	11825	16086
gloB	998	462	638	798
yafS	487	264	380	508
dnaQ	958	520	1056	1407
yafT	6	6	11	16
yafV	316	193	227	291
fadE	2422	1046	341	498
yafJ	677	374	639	891
yafK	1633	914	1468	2013
dinB	167	108	138	224
pepD	5625	3268	5011	6867
frsA	448	279	425	608
phoE	30	22	49	40
proB	1955	1119	1535	2451
