"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_batch1","K12_batch2"
"1","aaeA","aaeA",2008,155.188192639915,-0.0895944220286667,0.229061849372752,-0.391136377681427,0.695696432709735,0.80187419020115,156.046472833012,143.558845246842,169.781672537355,151.365779942449
"2","aaeB","aaeB",1966,77.5162431908916,0.13704474477091,0.303079698266517,0.452173951454834,0.651143672073803,0.767032754004181,76.7579947448868,86.1353071481054,79.6506611903641,67.5210096802102
"3","aaeR","aaeR",1868,158.14004442328,-0.13776422879616,0.224827898799305,-0.612754153429759,0.540038909470446,0.669266635665998,150.985506146535,149.603428204604,168.733637521692,163.237605820288
"4","aas","aas",1127,857.527114840177,-0.272904422683436,0.13147953232598,-2.07564187258302,0.0379270856987793,0.0779070127707845,740.588125120995,812.99640781896,945.327584127742,931.196342293009
"5","aat","aat",2042,124.0709500382,0.0916507263924841,0.26219231740254,0.349555346626629,0.726672427378213,0.823823050627112,110.497772654727,146.581136725723,133.100446989161,106.104443783188
"6","abgA","abgA",1078,54.3623283498781,0.773477479030094,0.349725792161868,2.21166838810703,0.0269895862820721,0.05796001135714,70.0100391629187,69.5127040142605,35.6331905325313,42.293379689802
"7","abgB","abgB",1272,61.0692295464613,0.585996284762974,0.333348752299239,1.7579075389397,0.0787632428720739,0.143346625195638,72.5405225061567,75.5572869720223,52.4017507831343,43.7773579245319
"8","abgR","abgR",326,196.396305504019,1.38019406035244,0.231562731155605,5.96034626757351,2.51704000890867e-09,1.78740724559005e-08,335.710790202911,235.73873535271,100.611361503618,113.524334956837
"9","abgT","abgT",2026,45.5741825891847,-0.139329909689339,0.374492732831148,-0.372049702102392,0.70985584429084,0.810746435341751,48.0791835215225,37.7786434860112,48.2096107204835,48.2292926287216
"10","abrB","abrB",1027,55.8728519697371,-0.827054129644175,0.352273132756366,-2.3477638591762,0.01888649081057,0.0425539194160831,33.7397779098403,45.3343721832134,70.2183460493999,74.1989117364948
"11","accA","accA",629,3071.21371179746,-0.405452142705451,0.105681658832745,-3.83654218890652,0.000124778768578563,0.000459241413766889,2677.25137714583,2602.19296331645,3395.6334507471,3609.77705598047
"12","accC","accC",680,7614.36295653277,-0.363684634747821,0.100344028791947,-3.62437744553671,0.000289658330257282,0.000986116227272952,6704.09387068527,6605.21802709419,8224.97880292075,8923.16112543086
"13","accD","accD",1443,6132.91352647313,-0.138593635293961,0.100273674794127,-1.3821537465193,0.166924498661773,0.267796406376996,5885.0607619239,5789.19932779635,6210.65550281707,6646.7385133552
"14","aceA","aceA",23,35042.4088634838,1.76277512625842,0.0970266221766453,18.1679531525805,9.25883672744229e-74,9.31922044522996e-72,55205.0246160808,53219.5306516136,15262.5339330957,16482.5462531449
"15","aceE","aceE",769,26085.352800324,-0.324452138037596,0.0981579153602395,-3.30540982708177,0.000948376151901291,0.00285499452750519,24037.9047718657,22257.6655962183,28249.7838471877,29796.0569860242
"16","aceF","aceF",964,14312.2595828523,-0.272097772227203,0.107324952219489,-2.53527037841804,0.0112360564712401,0.026982853455312,13314.5598576707,12601.4443211939,14512.1408618812,16820.8932906634
