	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2
thrA	120	173	25950	39824
thrB	141	159	7781	12128
thrC	152	180	13577	20772
yaaA	16	15	619	904
yaaJ	25	21	74	122
talB	184	180	7324	8561
htpY	10	10	29	48
dnaK	2576	2710	27578	45536
dnaJ	383	451	3830	6044
nhaA	478	624	531	738
nhaR	27	33	300	374
ribF	55	61	2406	3446
ileS	143	182	8183	13273
ispH	14	20	1291	1935
rihC	7	9	79	82
dapB	29	40	5836	8153
carA	11	20	6490	9733
carB	52	57	15231	24948
caiD	1	1	12	16
caiB	6	3	77	95
caiA	17	22	126	192
caiT	0	1	6	12
fixA	1	0	12	20
fixB	1	0	13	30
fixC	1	1	34	42
yaaU	1	2	11	28
kefC	19	12	231	387
apaH	27	39	290	497
ksgA	187	181	1092	1595
surA	508	567	4183	6376
imp	1096	1145	6577	8590
djlA	11	13	623	891
rluA	27	34	217	285
hepA	45	45	1015	1318
polB	22	23	151	261
araD	10	8	6	11
araA	63	57	36	46
araC	248	316	362	530
yabI	89	93	200	341
thiQ	5	4	237	350
tbpA	4	7	542	784
setA	26	31	376	528
leuD	78	79	4013	5416
leuC	78	70	5860	8271
leuB	69	68	4498	6431
leuA	70	64	6919	9120
leuO	13	18	68	117
ilvI	28	34	5505	8023
fruR	207	231	1318	1944
mraW	71	99	1538	2350
ftsI	42	59	1499	2070
murE	40	39	1677	2747
murF	27	23	1504	2176
mraY	32	22	893	1317
murD	14	23	1555	2427
ftsW	25	34	1385	2004
murG	24	18	1141	1610
murC	25	29	1692	2468
ddlB	110	123	1666	2380
ftsQ	172	162	1752	2438
ftsA	187	223	4768	6535
ftsZ	380	406	10342	15339
lpxC	4486	5390	11045	16883
secA	199	215	6836	9599
yacF	28	21	561	798
coaE	32	39	490	629
guaC	13	17	1748	2307
hofC	5	5	67	101
hofB	3	3	89	81
nadC	11	14	357	426
ampE	53	37	334	544
aroP	151	146	6091	8732
pdhR	31	32	640	970
aceE	430	494	26955	40157
aceF	339	419	13847	22670
lpd	603	696	24384	34750
acnB	554	722	12501	17826
speD	49	61	3438	4389
speE	32	38	3764	4937
cueO	18	19	568	899
gcd	108	105	982	1327
can	42	41	7860	10483
yadG	26	29	854	1201
yadH	35	32	483	761
yadD	9	17	396	529
panC	44	56	2649	4100
yadL	0	3	19	40
ecpD	0	0	9	9
pcnB	16	20	1859	2560
yadB	13	7	236	323
sfsA	1564	1589	1660	2021
mrcB	34	48	1539	2297
fhuA	283	335	5491	8279
fhuC	16	16	420	725
fhuD	0	2	282	507
hemL	193	244	2194	3327
clcA	122	138	821	1082
yadS	6	7	183	282
btuF	2	3	213	322
pfs	121	104	1858	2568
dgt	11	21	899	1253
degP	202	205	3942	6474
cdaR	39	56	156	232
dapD	90	105	13366	19986
glnD	29	23	922	1215
map	120	125	4040	5359
rpsB	438	576	35188	51824
tsf	166	218	22872	35019
pyrH	58	75	4249	6133
dxr	40	63	736	981
ispU	44	45	3156	4146
cdsA	69	73	1343	1995
yaeL	141	150	5186	6847
yaeT	202	253	14267	19987
lpxD	144	177	7145	10452
lpxA	102	121	2998	4840
lpxB	12	27	1385	2085
dnaE	61	45	3167	4313
accA	63	73	3240	4865
ldcC	120	129	399	587
nlpE	43	41	391	515
proS	144	145	6693	10197
yaeB	9	13	107	141
metQ	75	59	9594	13983
metI	28	26	2289	3293
metN	14	25	2318	3706
dkgB	9	13	418	554
yafC	46	38	340	498
yafD	238	198	799	1166
mltD	111	146	11825	16086
gloB	68	51	638	798
yafS	25	29	380	508
dnaQ	92	85	1056	1407
yafT	0	0	11	16
yafV	48	53	227	291
fadE	1796	1959	341	498
yafJ	10	11	639	891
yafK	23	21	1468	2013
dinB	49	54	138	224
pepD	135	157	5011	6867
frsA	45	32	425	608
phoE	2	1	49	40
proB	41	49	1535	2451
proA	137	138	2284	3574
yagR	14	15	22	38
yagS	2	2	3	8
yagT	3	3	7	8
yagU	26	42	633	938
yagV	4	3	47	44
yagW	11	8	79	112
yagX	9	13	74	101
yagY	1	1	14	16
insF	9	15	1303	1798
ykgC	30	34	93	150
ykgD	8	6	64	88
ykgE	13	16	62	59
ykgF	28	18	125	202
ykgG	7	8	115	169
betA	1	4	327	509
betT	100	104	430	668
yahB	18	9	168	221
yahD	9	10	71	83
yahG	2	1	31	38
yahI	0	2	12	27
yahJ	10	9	194	306
yahK	58	57	677	939
yahN	29	21	10	15
prpR	80	121	39	38
prpB	100	250	2	2
prpC	10	49	8	14
prpD	26	47	15	14
prpE	22	65	32	38
codB	5	9	3317	5340
codA	19	27	5522	8641
cynT	4	1	15	33
cynX	1	0	21	26
lacY	13	9	32	49
lacI	117	137	299	412
mhpR	513	615	274	347
mhpB	0	1	9	26
mhpC	1	2	34	50
mhpD	1	1	29	51
mhpF	3	5	49	53
mhpE	6	5	41	62
mhpT	14	19	48	91
frmA	25	27	548	831
yaiO	38	36	28	31
yaiP	12	12	34	33
tauA	2	3	25	45
tauB	0	1	20	37
tauD	5	2	37	48
hemB	19	5	1667	2225
yaiV	1	1	12	22
ampH	9	16	347	465
sbmA	27	53	340	434
yaiW	31	40	453	647
ddlA	81	70	1017	1537
phoA	17	17	279	335
yaiC	7	19	35	43
proC	11	13	258	322
aroM	14	21	219	340
rdgC	19	24	1598	1972
mak	101	113	351	519
araJ	23	17	114	187
sbcD	7	9	211	329
phoB	18	16	194	254
phoR	5	9	177	215
brnQ	272	310	479	788
proY	14	26	402	570
malZ	16	15	394	561
queA	2	2	445	599
tgt	47	36	4179	5237
secD	115	121	7401	10960
secF	177	187	3362	5028
tsx	122	110	3753	5406
ribD	37	56	785	1175
thiL	5	9	430	629
yajO	929	924	782	1100
dxs	35	49	1757	2499
ispA	12	15	789	1030
thiI	33	44	1128	1691
panE	102	110	549	828
yajR	9	14	330	492
cyoE	142	156	6888	10920
cyoC	57	88	5256	7663
cyoB	251	258	24764	36234
cyoA	190	196	16037	24158
ampG	2	1	436	533
tig	189	208	28748	44907
clpP	241	282	3436	4697
clpX	1187	1319	6742	10769
lon	225	245	9078	14444
ppiD	141	173	7020	9927
queC	26	16	1058	1534
ybaE	66	82	94	142
cof	26	21	180	248
mdlA	17	19	268	347
mdlB	2	5	179	256
amtB	10	10	282	422
tesB	20	20	269	493
ylaB	57	81	268	325
acrB	173	237	7739	11652
acrA	73	80	5865	7728
acrR	17	25	578	706
kefA	30	35	1775	2629
dnaX	33	35	1618	2125
recR	30	36	1179	1771
htpG	305	348	6943	11246
adk	26	36	7421	9786
hemH	97	113	249	358
aes	23	20	55	84
gsk	12	6	1048	1342
ybaL	139	134	877	1311
fsr	8	8	176	228
