"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_batch1","K12_batch2"
"1","fadE",4195.00508335524,6.48178107824428,0.0943385756027917,68.7076419887398,0,0,8372.25008554041,8222.85947851115,90.7062089608116,94.2045604086107
"2","mhpR",1277.8447994496,5.1674323552534,0.119290035383112,43.3182230071244,0,0,2391.40550884311,2581.44899401958,72.8841679039952,65.6405270317027
"3","yajO",2156.29986923923,4.29845730920577,0.101248249503007,42.4546333423583,0,0,4330.63492732018,3878.46970808795,208.012479200453,208.082362348337
"4","ybbK",1796.87641274337,5.14542894864322,0.118455063814503,43.4378133188193,0,0,3733.94895240416,3257.24295830763,94.1642169270595,102.149523334638
"5","allR",4878.59426207647,4.64674320210918,0.0951437997404381,48.8391594069815,0,0,8894.35031359193,9872.46834786024,364.686840132764,382.87154672094
"6","cstA",22684.3126368531,6.5071442491351,0.0799775798990003,81.3621049468195,0,0,46145.2692632319,43607.5993477551,482.525111597983,501.856824827398
"7","ybhL",3856.94173946725,5.53494205455913,0.0956330329110031,57.876885068677,0,0,7840.82663913083,7261.63700756727,166.782384218266,158.520926952642
"8","ycbB",5653.24492220167,5.65218352134471,0.0979865037882918,57.6832859916784,0,0,11579.437200714,10594.4345705779,210.406484715548,228.701432799218
"9","agp",7400.47025096573,6.68743080308583,0.102248872557858,65.4034674005984,0,0,15383.3102908036,13935.6270896667,135.394311909247,147.549311483366
"10","putP",2920.52433695723,3.86064478059674,0.0948893784390912,40.6857421146968,0,0,5579.94618730059,5351.78449979669,358.036824813057,392.329835918592
"11","phoH",5272.08042228451,5.00518132361091,0.0962693225275917,51.9914464150964,0,0,9882.61145954658,10569.2497023436,334.362770274898,302.097756972995
"12","ycgB",12090.6089990757,7.88992898119311,0.0964513443433121,81.8021670398853,0,0,23708.9442845537,24450.3095775025,107.464247566475,95.717886680235
"13","dadA",3648.86786518177,5.98893252412251,0.116087640287401,51.5897515816116,0,0,7113.61560720193,7257.43952952821,101.080232859555,123.336091137378
"14","dadX",1028.01751006201,4.76496100214813,0.123689178551947,38.5236692322842,0,0,1901.93654504481,2065.15919521566,68.362157486594,76.6121425009786
