	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2
thrA	25950	39824	19203	11206
thrB	7781	12128	6026	3377
thrC	13577	20772	9930	5701
yaaA	619	904	593	357
yaaJ	74	122	116	67
talB	7324	8561	7185	4166
htpY	29	48	43	21
dnaK	27578	45536	30091	19089
dnaJ	3830	6044	4609	2820
nhaA	531	738	838	438
nhaR	300	374	343	205
ribF	2406	3446	2654	1478
ileS	8183	13273	9661	5544
ispH	1291	1935	1456	850
rihC	79	82	311	147
dapB	5836	8153	2292	1178
carA	6490	9733	5545	2739
carB	15231	24948	12812	6571
caiD	12	16	14	10
caiB	77	95	61	34
caiA	126	192	175	99
caiT	6	12	17	11
fixA	12	20	15	11
fixB	13	30	18	13
fixC	34	42	61	29
yaaU	11	28	40	21
kefC	231	387	384	191
apaH	290	497	475	257
ksgA	1092	1595	1310	708
surA	4183	6376	5295	2968
imp	6577	8590	8035	4679
djlA	623	891	669	302
rluA	217	285	214	141
hepA	1015	1318	976	622
polB	151	261	303	146
araD	6	11	26	11
araA	36	46	114	68
araC	362	530	1453	622
yabI	200	341	521	231
thiQ	237	350	222	126
tbpA	542	784	497	311
setA	376	528	487	270
leuD	4013	5416	5847	3469
leuC	5860	8271	8864	5137
leuB	4498	6431	6644	4128
leuA	6919	9120	10466	6214
leuO	68	117	127	79
ilvI	5505	8023	4993	2857
fruR	1318	1944	2730	1365
mraW	1538	2350	1753	934
ftsI	1499	2070	1720	930
murE	1677	2747	1855	1032
murF	1504	2176	1498	788
mraY	893	1317	895	483
murD	1555	2427	1820	971
ftsW	1385	2004	1527	805
murG	1141	1610	1333	687
murC	1692	2468	1865	946
ddlB	1666	2380	2058	1084
ftsQ	1752	2438	2203	1144
ftsA	4768	6535	5713	2915
ftsZ	10342	15339	13743	7141
lpxC	11045	16883	15302	8233
secA	6836	9599	6711	3733
yacF	561	798	476	324
coaE	490	629	474	269
guaC	1748	2307	1298	924
hofC	67	101	106	58
hofB	89	81	98	59
nadC	357	426	316	236
ampE	334	544	470	270
aroP	6091	8732	6551	3777
pdhR	640	970	712	390
aceE	26955	40157	30260	15805
aceF	13847	22670	16526	8721
lpd	24384	34750	41154	22474
acnB	12501	17826	32808	18695
speD	3438	4389	2432	1549
speE	3764	4937	3044	1801
cueO	568	899	553	319
gcd	982	1327	710	551
can	7860	10483	6403	3882
yadG	854	1201	1102	623
yadH	483	761	652	375
yadD	396	529	690	348
panC	2649	4100	2904	1665
yadL	19	40	49	30
ecpD	9	9	9	6
pcnB	1859	2560	1829	1148
yadB	236	323	436	277
sfsA	1660	2021	3096	1506
mrcB	1539	2297	1926	972
fhuA	5491	8279	5884	2938
fhuC	420	725	417	231
fhuD	282	507	283	148
hemL	2194	3327	2374	1479
clcA	821	1082	954	494
yadS	183	282	262	119
btuF	213	322	239	138
pfs	1858	2568	1807	1049
dgt	899	1253	1050	631
degP	3942	6474	5758	3284
cdaR	156	232	877	379
dapD	13366	19986	8433	4652
glnD	922	1215	942	570
map	4040	5359	2989	1936
rpsB	35188	51824	36719	19323
tsf	22872	35019	21794	11724
pyrH	4249	6133	3921	2072
dxr	736	981	776	391
ispU	3156	4146	4412	2201
cdsA	1343	1995	1712	992
yaeL	5186	6847	6949	3504
yaeT	14267	19987	18922	9932
lpxD	7145	10452	7188	4251
lpxA	2998	4840	3355	1931
lpxB	1385	2085	1747	946
dnaE	3167	4313	3223	1855
accA	3240	4865	3406	1851
ldcC	399	587	637	423
nlpE	391	515	592	275
proS	6693	10197	6045	3606
yaeB	107	141	98	72
metQ	9594	13983	12369	6376
metI	2289	3293	2535	1342
metN	2318	3706	2377	1359
dkgB	418	554	586	304
yafC	340	498	433	264
yafD	799	1166	1154	599
mltD	11825	16086	17179	9601
gloB	638	798	1052	490
yafS	380	508	493	269
dnaQ	1056	1407	1085	608
yafT	11	16	7	6
yafV	227	291	341	211
fadE	341	498	2657	1154
yafJ	639	891	730	405
yafK	1468	2013	1714	954
dinB	138	224	187	116
pepD	5011	6867	5823	3386
frsA	425	608	489	295
phoE	49	40	32	26
proB	1535	2451	1983	1133
proA	2284	3574	2781	1704
yagR	22	38	55	29
yagS	3	8	12	11
yagT	7	8	11	10
yagU	633	938	456	257
yagV	47	44	47	20
yagW	79	112	115	87
yagX	74	101	92	48
yagY	14	16	17	13
insF	1303	1798	2236	1502
ykgC	93	150	244	127
ykgD	64	88	116	54
ykgE	62	59	331	131
ykgF	125	202	624	197
ykgG	115	169	326	153
betA	327	509	321	177
betT	430	668	540	298
yahB	168	221	247	106
yahD	71	83	103	53
yahG	31	38	35	19
yahI	12	27	26	20
yahJ	194	306	269	181
yahK	677	939	1664	799
yahN	10	15	46	31
prpR	39	38	358	156
prpB	2	2	415	45
prpC	8	14	289	52
prpD	15	14	350	58
prpE	32	38	528	89
codB	3317	5340	3069	1856
codA	5522	8641	5053	2710
cynT	15	33	37	17
cynX	21	26	25	21
lacY	32	49	62	29
