"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_batch1","K12_batch2","K12_chemostat1","K12_chemostat2"
"1","actP",2938.61685068248,5.23687002648014,0.146736149538557,35.6890244356867,5.85086918735657e-279,1.35447621687305e-275,143.689964744683,146.923530592518,6350.56954175443,5113.2843656383
"2","malE",9451.22483855438,3.73538811427352,0.113379293858086,32.9459461879257,4.83551805472829e-238,5.59711214834799e-235,1366.12697824423,1230.96035734768,18836.435081475,16371.3769371506
"3","mglB",13804.0857858728,4.20607516438869,0.131006936778854,32.1057439232301,3.66577759611044e-226,2.82875837833189e-223,1369.34391775344,1393.10912427102,29970.2171711714,22483.6729302951
"4","acs",10960.6856057149,4.41836066110967,0.140895394649195,31.3591560044287,7.29898637388803e-216,4.2242883638877e-213,964.009539593061,931.784463446849,24471.6340777176,17475.314342102
"5","malK",2191.88304501001,4.10951349843898,0.149310009299169,27.5233624170825,9.22418535885358e-167,4.27079782114921e-164,260.572100245955,206.301952282758,4613.47763841665,3687.18048909467
"6","glpF",16307.4443494949,3.69502969763209,0.140963918191316,26.2125921657285,1.90956147081221e-151,7.36772467488379e-149,2516.71900937143,2037.89788288171,34711.2029855242,25963.9575202021
"7","pck",7841.62897038653,3.13231187586098,0.124674293627212,25.1239592760549,2.72228541360549e-139,9.00298676070958e-137,1526.97395370469,1629.1002873989,15767.1311321551,12443.3105082874
"8","glpK",49906.5081325008,3.02390092628001,0.121473810796386,24.8934392232797,8.7626349561637e-137,2.53568749043987e-134,10794.9766797368,10723.1339478042,100226.394136815,77881.527765647
"9","malF",846.181402477145,3.66797951306967,0.166134000287806,22.078439733681,5.09370546313198e-108,1.31021423857228e-105,130.822206707846,108.860439765441,1726.32822614837,1418.71473728693
"10","mglC",1859.91774551158,3.68004920620663,0.168296979614072,21.8664007794167,5.42737243029016e-106,1.25643671761217e-103,271.29523194332,248.171352192543,4144.84369309292,2775.36070481755
"11","glpA",3140.14139100717,3.21258793216051,0.153863593725822,20.8794546803918,8.23260362018138e-97,1.73258885279272e-94,552.241282414267,637.176140445272,6690.8673359736,4680.28080519552
"12","glpB",2019.0596532909,3.3407259070513,0.160180653260363,20.8559887792515,1.34489578248613e-96,2.59452811371283e-94,351.718719673553,352.464221058735,4375.0207899127,2997.03488251863
"13","malM",795.789472599149,3.16884797898341,0.15449607239526,20.5108643207207,1.72206979828286e-93,3.0666089100191e-91,170.497793988094,141.594697876727,1501.11898033908,1369.94641819269
"14","glcD",448.48731222226,3.93167581808768,0.196621392162821,19.9961752627196,5.94614331871757e-89,9.83237270202227e-87,57.9049111657678,47.1982326255757,842.050746279564,846.795358818135
"15","glpC",1246.02570554839,3.23015205832493,0.163420371314767,19.7659082055521,5.8535370673865e-87,9.03395887399983e-85,224.113452474916,241.319995843669,2632.96103556442,1885.70833831054
"16","gatD",3971.50014820388,2.67367735074467,0.137189605658581,19.488920737906,1.3632599135459e-84,1.97246668741173e-82,1051.93921951145,1065.00528134162,7907.99083354583,5861.06525841662
"17","agp",2413.3479273886,2.86536559060359,0.148633229063707,19.278095541983,8.20419100591179e-83,1.11721777521681e-80,545.807403395849,593.784216902404,4946.32365612007,3567.47643313609
"18","rbsB",8385.52940499431,2.17274497223394,0.114871916538422,18.9145009303228,8.66367136655744e-80,1.11424440075447e-77,3067.88797861596,2967.39856087894,15044.3088101275,12462.5222703549
"19","dctA",1269.37458868501,2.72425679629044,0.147010143672516,18.5310804291102,1.15935554717903e-76,1.41258320616814e-74,339.923274806452,315.923653864741,2479.78562940737,1941.86579666148
"20","mqo",819.171312166373,-2.68817271398487,0.146272425358809,-18.3778501477003,1.9764795264983e-75,2.28777505192178e-73,1384.35630212975,1458.5776404936,206.165816935704,227.585489106445
"21","aceA",36332.0389055666,1.78437142030119,0.0978145093399237,18.2424001545636,2.3778401383959e-74,2.62128567637452e-72,15616.0966908718,16910.6699926538,57561.6616834823,55239.7272552584
"22","aspA",3775.34724366224,2.60585450550569,0.143554572060707,18.152361628745,1.22997184447132e-73,1.2942658272505e-71,1047.6499668325,1045.97373592808,7590.0483688739,5417.71690301445
