	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
thrA	25950	39824	121	179
thrB	7781	12128	150	162
thrC	13577	20772	160	193
yaaA	619	904	16	15
yaaJ	74	122	26	21
talB	7324	8561	189	186
htpY	29	48	10	11
dnaK	27578	45536	2666	2810
dnaJ	3830	6044	395	466
nhaA	531	738	490	634
nhaR	300	374	28	34
ribF	2406	3446	55	62
ileS	8183	13273	153	193
ispH	1291	1935	15	24
rihC	79	82	7	12
dapB	5836	8153	32	43
carA	6490	9733	11	21
carB	15231	24948	60	65
caiD	12	16	1	1
caiB	77	95	6	3
caiA	126	192	17	22
caiT	6	12	0	1
fixA	12	20	1	0
fixB	13	30	1	0
fixC	34	42	1	1
yaaU	11	28	1	2
kefC	231	387	19	12
apaH	290	497	29	47
ksgA	1092	1595	194	189
surA	4183	6376	511	568
imp	6577	8590	1097	1146
djlA	623	891	13	13
rluA	217	285	28	34
hepA	1015	1318	45	45
polB	151	261	24	31
araD	6	11	12	10
araA	36	46	69	62
araC	362	530	255	324
yabI	200	341	97	101
thiQ	237	350	5	5
tbpA	542	784	6	9
setA	376	528	26	31
leuD	4013	5416	78	80
leuC	5860	8271	85	72
leuB	4498	6431	75	71
leuA	6919	9120	79	65
leuO	68	117	14	18
ilvI	5505	8023	28	35
fruR	1318	1944	219	234
mraW	1538	2350	72	100
ftsI	1499	2070	42	60
murE	1677	2747	41	39
murF	1504	2176	27	23
mraY	893	1317	32	22
murD	1555	2427	24	38
ftsW	1385	2004	25	34
murG	1141	1610	24	20
murC	1692	2468	25	30
ddlB	1666	2380	111	124
ftsQ	1752	2438	175	166
ftsA	4768	6535	193	229
ftsZ	10342	15339	380	406
lpxC	11045	16883	4494	5402
secA	6836	9599	201	219
yacF	561	798	25	21
coaE	490	629	32	39
guaC	1748	2307	15	19
hofC	67	101	5	5
hofB	89	81	3	3
nadC	357	426	11	14
ampE	334	544	53	37
aroP	6091	8732	151	146
pdhR	640	970	35	34
aceE	26955	40157	452	517
aceF	13847	22670	357	434
lpd	24384	34750	613	703
acnB	12501	17826	576	752
speD	3438	4389	49	61
speE	3764	4937	32	38
cueO	568	899	21	20
gcd	982	1327	114	108
