	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_chemostat1	K12_chemostat2
thrA	17775	10338	19203	11206
thrB	5658	3157	6026	3377
thrC	9436	5351	9930	5701
yaaA	590	357	593	357
yaaJ	115	67	116	67
talB	7017	4062	7185	4166
htpY	37	18	43	21
dnaK	28624	18092	30091	19089
dnaJ	4342	2685	4609	2820
nhaA	824	424	838	438
nhaR	341	204	343	205
ribF	2591	1453	2654	1478
ileS	9070	5249	9661	5544
ispH	1268	740	1456	850
rihC	249	119	311	147
dapB	2107	1071	2292	1178
carA	5279	2599	5545	2739
carB	11292	5856	12812	6571
caiD	13	11	14	10
caiB	56	33	61	34
caiA	175	99	175	99
caiT	17	11	17	11
fixA	13	10	15	11
fixB	18	13	18	13
fixC	58	26	61	29
yaaU	39	20	40	21
kefC	383	190	384	191
apaH	436	233	475	257
ksgA	1265	685	1310	708
surA	5239	2929	5295	2968
imp	8029	4671	8035	4679
djlA	614	270	669	302
rluA	199	125	214	141
hepA	972	620	976	622
polB	278	130	303	146
araD	25	9	26	11
araA	106	61	114	68
araC	1388	589	1453	622
yabI	456	203	521	231
thiQ	147	76	222	126
tbpA	343	216	497	311
setA	486	269	487	270
leuD	5825	3449	5847	3469
leuC	8045	4702	8864	5137
leuB	5740	3532	6644	4128
leuA	9611	5677	10466	6214
leuO	124	77	127	79
ilvI	4749	2695	4993	2857
fruR	2650	1314	2730	1365
mraW	1736	921	1753	934
ftsI	1676	905	1720	930
murE	1778	1001	1855	1032
murF	1492	785	1498	788
mraY	852	462	895	483
murD	1260	652	1820	971
ftsW	1498	776	1527	805
murG	1291	663	1333	687
murC	1772	909	1865	946
ddlB	1999	1048	2058	1084
ftsQ	2129	1101	2203	1144
ftsA	5612	2861	5713	2915
ftsZ	13743	7141	13743	7141
lpxC	15278	8214	15302	8233
secA	6515	3610	6711	3733
yacF	507	350	476	324
coaE	473	267	474	269
guaC	1243	891	1298	924
hofC	101	52	106	58
hofB	97	59	98	59
nadC	316	236	316	236
ampE	470	270	470	270
aroP	6536	3775	6551	3777
pdhR	687	372	712	390
aceE	28498	14729	30260	15805
aceF	15785	8339	16526	8721
lpd	40622	22191	41154	22474
acnB	31498	17992	32808	18695
speD	2429	1546	2432	1549
speE	3044	1801	3044	1801
cueO	503	291	553	319
gcd	653	513	710	551
can	6390	3880	6403	3882
yadG	1007	559	1102	623
yadH	614	349	652	375
yadD	632	316	690	348
panC	2659	1531	2904	1665
yadL	25	17	49	30
ecpD	8	4	9	6
pcnB	1796	1124	1829	1148
yadB	431	274	436	277
sfsA	3096	1506	3096	1506
