"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_chemostat1","K12_chemostat2"
"1","cusC",329.060808563031,0.970333989014799,0.0626731103493831,15.4824610364076,4.55701057379978e-54,1.07591019647413e-50,17.4302961799225,28.953513291097,663.344208430406,606.515216350697
"2","insF",1057.43883088408,0.836658680409465,0.0662162792747145,12.6352415081853,1.34979079021164e-36,1.59342802784484e-33,278.126899914416,350.199636949458,1621.02475415343,1980.40403251901
"3","ybhI",1088.03376932926,-0.714512744076833,0.0690272513034769,-10.3511690033186,4.13406836521496e-25,2.87492946921809e-22,1638.44784091272,1570.38341135997,590.847573629269,552.456251415091
"4","yhhI",226.657508744515,-0.646135799222988,0.0625164048883382,-10.3354599545042,4.87069795716745e-25,2.87492946921809e-22,379.677321136573,391.561798793883,68.1468367130691,67.2440783345338
"5","galF",3326.08948780702,0.581767931724747,0.0684386777355951,8.50057235138791,1.88658175425959e-17,8.90843904361377e-15,2153.02049770261,2217.01187486114,4357.77271789636,4576.55286076798
"6","ECIAI1_3132",79.5854370265557,0.369346343088628,0.0485652728104322,7.60515326518026,2.84566452810236e-14,1.11976899180828e-11,12.8832623938558,15.1661260096222,147.89313499432,142.399224708424
"7","yigP",464.960981769561,-0.355372405310956,0.0669536121633941,-5.30774059573818,1.10992447803327e-07,3.74361670376651e-05,638.858246942378,587.342698190824,335.659419129266,297.983562815777
"8","gnd",12085.1400187307,0.306630095995663,0.068380255997403,4.48419052434241,7.31912454259794e-06,0.00216005663063422,9512.39468045164,10194.3941559224,13822.9333575329,14810.837881016
"9","bcsA",101.071210759098,-0.203609345208482,0.0531652499286687,-3.82974490821849,0.000128276162818374,0.0336511133793535,145.505081154136,133.737656630305,63.0720722769895,61.9700329749625
"10","yiiX",126.333184371078,0.2132343312864,0.0564317295743064,3.77862477182494,0.000157696833819067,0.0372322224646816,85.6358029709238,79.9668462325535,169.642125434661,170.087962846174
"11","murD",1113.3820025607,0.242065295701952,0.0690474469117995,3.50578198801708,0.000455267958809032,0.0977170591589204,954.877095074017,898.937650752153,1319.4387533807,1280.27451103593
"12","ycjX",338.259140413519,0.222825300717537,0.0659644606315927,3.37795986784462,0.000730257372964825,0.143678138130829,259.180925805805,270.232790716905,395.106659666198,428.516185465166
"13","livF",2340.97288500825,0.228106293064595,0.0689138834940536,3.31001942568333,0.000932894965831291,0.169428078025206,2065.86901680299,1923.34052576573,2775.89614653555,2598.78585092875
"14","tdh",379.943246202963,0.202687707257909,0.0668988669525309,3.02976293158641,0.00244745765868502,0.41274625229681,305.409102630817,314.352430017624,459.628664639211,440.382787524202
"15","surE",562.970086131272,0.20379874111154,0.0682707884465059,2.98515288528164,0.00283436621852515,0.446129242795859,475.92286960832,464.634951385699,677.118569042623,634.203954488446
"16","flgF",6280.57576691224,0.182980227755146,0.0676223983428068,2.70591153581305,0.00681171891204427,0.946027550078619,5609.52401407768,5630.76896575428,6903.12956576429,6978.88052205269
"17","frmC",1380.51372214446,0.18635945612051,0.0688485572756235,2.70680263312493,0.00679346319743547,0.946027550078619,1109.47624380029,1268.43962989568,1499.95537403553,1644.18364084635
"18","thrA",14105.1888546282,0.0289852400592957,0.0681002059347029,0.425626320235916,0.670380158264447,0.99990598088106,13470.5875912227,14253.4009715886,13921.5287808624,14775.2380748389
"19","thrB",4365.44775823928,0.0175757313506213,0.0679456104033618,0.258673536763924,0.795887139375677,0.99990598088106,4287.85286026094,4352.67816476158,4368.64721311653,4452.61279481805
"20","thrC",7311.08709658833,0.0108903638928478,0.067887109848596,0.160418729227623,0.87255123688625,0.99990598088106,7150.96846755431,7377.63093431713,7198.91583575293,7516.83314872896
"21","yaaA",459.98707690609,-0.0231120714199628,0.0671019508922379,-0.344432182859773,0.730521289379249,0.99990598088106,447.12498896323,492.209725948648,429.905044370744,470.708548341737
"22","yaaJ",87.9908329569079,-0.00959511220488985,0.0514670897763781,-0.186431994631523,0.852106004136819,0.99990598088106,87.1514808996127,92.3754947858808,84.0960963693193,88.3402597728189
"23","talB",5404.99854474883,-0.0165596493721658,0.068299273886679,-0.242457180432713,0.808425932164273,0.99990598088106,5317.75601280506,5600.43671373504,5208.88321046172,5492.91824199349
"24","htpY",27.9299074724094,0.0100353806747867,0.0340230276087886,0.294958484887878,0.768025593756393,0.99990598088106,28.0400416807449,24.8172971066545,31.173552964489,27.6887381377492
"25","dnaK",23405.137232566,0.00518991292244484,0.0690146003331343,0.075200217017748,0.940055411689887,0.99990598088106,21692.3825153958,24944.1410696441,21814.9623780102,25169.062967214
"26","dnaJ",3513.00553618544,0.00694195549646732,0.0690480619614703,0.10053802089827,0.91991719942446,0.99990598088106,3290.53678318364,3701.91348507597,3341.36989798442,3718.20197849775
"27","nhaA",598.518573465237,-0.0126615002720074,0.0683646186795254,-0.185205454467039,0.853067891057837,0.99990598088106,624.459306619833,584.585220734529,607.521799633531,577.507966873055
"28","nhaR",264.661017357368,-0.0176775184447774,0.0640747829962057,-0.275888853900984,0.782633435104187,0.99990598088106,258.42308684146,281.262700542085,248.663457367901,270.294824678028
"29","ribF",1959.92214414964,-0.0190763399891935,0.068659658620923,-0.27783913250306,0.781135849969075,0.99990598088106,1963.56075661649,2003.30737199828,1924.06068762218,1948.75976036159
"30","ileS",7106.0814367885,0.0120604090762898,0.068080983095039,0.177147986530304,0.859392150126166,0.99990598088106,6873.59940660423,7236.99958404609,7003.89988813788,7309.82686836579
"31","ispH",1039.37302680784,0.0657930163279565,0.0690182170385777,0.953270298060315,0.340453136488957,0.99990598088106,960.939806788773,1020.26665882913,1055.55100270456,1120.7346389089
"32","rihC",193.014377991775,0.0628438148010259,0.0599961226447822,1.04746460322285,0.294885349379139,0.99990598088106,188.70190212177,164.069908649549,225.464534231537,193.821166964244
