	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_chemostat1	K12_chemostat2
thrA	120	173	19203	11206
thrB	141	159	6026	3377
thrC	152	180	9930	5701
yaaA	16	15	593	357
yaaJ	25	21	116	67
talB	184	180	7185	4166
htpY	10	10	43	21
dnaK	2576	2710	30091	19089
dnaJ	383	451	4609	2820
nhaA	478	624	838	438
nhaR	27	33	343	205
ribF	55	61	2654	1478
ileS	143	182	9661	5544
ispH	14	20	1456	850
rihC	7	9	311	147
dapB	29	40	2292	1178
carA	11	20	5545	2739
carB	52	57	12812	6571
caiD	1	1	14	10
caiB	6	3	61	34
caiA	17	22	175	99
caiT	0	1	17	11
fixA	1	0	15	11
fixB	1	0	18	13
fixC	1	1	61	29
yaaU	1	2	40	21
kefC	19	12	384	191
apaH	27	39	475	257
ksgA	187	181	1310	708
surA	508	567	5295	2968
imp	1096	1145	8035	4679
djlA	11	13	669	302
rluA	27	34	214	141
hepA	45	45	976	622
polB	22	23	303	146
araD	10	8	26	11
araA	63	57	114	68
araC	248	316	1453	622
yabI	89	93	521	231
thiQ	5	4	222	126
tbpA	4	7	497	311
setA	26	31	487	270
leuD	78	79	5847	3469
leuC	78	70	8864	5137
leuB	69	68	6644	4128
leuA	70	64	10466	6214
leuO	13	18	127	79
ilvI	28	34	4993	2857
fruR	207	231	2730	1365
mraW	71	99	1753	934
ftsI	42	59	1720	930
murE	40	39	1855	1032
murF	27	23	1498	788
mraY	32	22	895	483
murD	14	23	1820	971
ftsW	25	34	1527	805
murG	24	18	1333	687
murC	25	29	1865	946
ddlB	110	123	2058	1084
ftsQ	172	162	2203	1144
ftsA	187	223	5713	2915
ftsZ	380	406	13743	7141
lpxC	4486	5390	15302	8233
secA	199	215	6711	3733
yacF	28	21	476	324
coaE	32	39	474	269
guaC	13	17	1298	924
hofC	5	5	106	58
hofB	3	3	98	59
nadC	11	14	316	236
ampE	53	37	470	270
aroP	151	146	6551	3777
pdhR	31	32	712	390
aceE	430	494	30260	15805
aceF	339	419	16526	8721
lpd	603	696	41154	22474
acnB	554	722	32808	18695
speD	49	61	2432	1549
speE	32	38	3044	1801
cueO	18	19	553	319
gcd	108	105	710	551
can	42	41	6403	3882
yadG	26	29	1102	623
yadH	35	32	652	375
yadD	9	17	690	348
panC	44	56	2904	1665
yadL	0	3	49	30
ecpD	0	0	9	6
pcnB	16	20	1829	1148
yadB	13	7	436	277
sfsA	1564	1589	3096	1506
mrcB	34	48	1926	972
fhuA	283	335	5884	2938
fhuC	16	16	417	231
fhuD	0	2	283	148
hemL	193	244	2374	1479
clcA	122	138	954	494
yadS	6	7	262	119
btuF	2	3	239	138
pfs	121	104	1807	1049
dgt	11	21	1050	631
degP	202	205	5758	3284
cdaR	39	56	877	379
dapD	90	105	8433	4652
glnD	29	23	942	570
map	120	125	2989	1936
rpsB	438	576	36719	19323
tsf	166	218	21794	11724
pyrH	58	75	3921	2072
dxr	40	63	776	391
ispU	44	45	4412	2201
cdsA	69	73	1712	992
yaeL	141	150	6949	3504
yaeT	202	253	18922	9932
lpxD	144	177	7188	4251
lpxA	102	121	3355	1931
lpxB	12	27	1747	946
dnaE	61	45	3223	1855
accA	63	73	3406	1851
ldcC	120	129	637	423
nlpE	43	41	592	275
proS	144	145	6045	3606
yaeB	9	13	98	72
metQ	75	59	12369	6376
metI	28	26	2535	1342
metN	14	25	2377	1359
dkgB	9	13	586	304
yafC	46	38	433	264
yafD	238	198	1154	599
mltD	111	146	17179	9601
gloB	68	51	1052	490
yafS	25	29	493	269
dnaQ	92	85	1085	608
yafT	0	0	7	6
yafV	48	53	341	211
fadE	1796	1959	2657	1154
yafJ	10	11	730	405
yafK	23	21	1714	954
dinB	49	54	187	116
pepD	135	157	5823	3386
frsA	45	32	489	295
phoE	2	1	32	26
proB	41	49	1983	1133
proA	137	138	2781	1704
yagR	14	15	55	29
yagS	2	2	12	11
yagT	3	3	11	10
yagU	26	42	456	257
yagV	4	3	47	20
yagW	11	8	115	87
yagX	9	13	92	48
yagY	1	1	17	13
insF	9	15	2236	1502
ykgC	30	34	244	127
ykgD	8	6	116	54
ykgE	13	16	331	131
ykgF	28	18	624	197
ykgG	7	8	326	153
betA	1	4	321	177
betT	100	104	540	298
yahB	18	9	247	106
yahD	9	10	103	53
yahG	2	1	35	19
yahI	0	2	26	20
yahJ	10	9	269	181
yahK	58	57	1664	799
yahN	29	21	46	31
prpR	80	121	358	156
prpB	100	250	415	45
prpC	10	49	289	52
prpD	26	47	350	58
prpE	22	65	528	89
codB	5	9	3069	1856
codA	19	27	5053	2710
cynT	4	1	37	17
cynX	1	0	25	21
lacY	13	9	62	29
lacI	117	137	894	324
mhpR	513	615	2401	695
mhpB	0	1	30	17
mhpC	1	2	55	41
mhpD	1	1	47	42
mhpF	3	5	69	35
mhpE	6	5	101	46
mhpT	14	19	101	54
frmA	25	27	867	559
yaiO	38	36	44	24
yaiP	12	12	45	24
tauA	2	3	71	35
tauB	0	1	50	25
tauD	5	2	53	31
hemB	19	5	1393	881
