"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_chemostat1","K12_chemostat2"
"1","aaeA","aaeA",2183,30.5014048239003,-0.176147237814216,0.489916937987245,-0.35954510684585,0.719187340157198,0.777829276276292,17.2297302661554,39.6252606410202,34.1145722154814,31.0360561729442
"2","aaeB","aaeB",1323,30.2296481714547,1.2809090296009,0.444557906601607,2.88130974745838,0.00396026239576814,0.007067407041881,34.4594605323108,51.5128388333262,16.5186349674963,18.4276583526856
"3","aaeR","aaeR",1509,45.3978339542503,0.79144322092763,0.372505360160648,2.12464921467522,0.0336158940270209,0.0525610104621168,55.9966233650051,59.4378909615303,32.857719554911,33.2991019355547
"4","aas","aas",1767,152.481228557667,-0.344488905285485,0.250683964466671,-1.37419601616076,0.169380837211978,0.226320405578653,133.530409562704,134.725886179469,163.211295494066,178.457322994429
"5","aat","aat",2296,27.9338597806488,0.073094713825927,0.514794867739582,0.141988039132712,0.887089453352722,0.912203048504258,17.2297302661554,39.6252606410202,23.521099790674,31.3593484247457
"6","abgA","abgA",2171,13.9890517595982,-0.270882363224981,0.699627591853975,-0.387180789292712,0.69862237112101,0.759763896000324,21.5371628326943,3.96252606410202,15.2617823069259,15.1947358346706
"7","abgB","abgB",1065,39.2771785667596,1.63814978388351,0.388220160757898,4.2196411971121,2.44691435223655e-05,5.42456787383146e-05,55.9966233650051,63.4004170256323,18.3141387683111,19.3975351080901
"8","abgR","abgR",1663,51.610631914685,-0.702536419320378,0.434913736527096,-1.61534658557883,0.106235660519388,0.150825252246708,34.4594605323108,43.5877867051222,75.0520588740591,53.3432215472478
"9","abgT","abgT",1935,9.11173808955246,-0.819717122555604,0.881945207834534,-0.929442232095437,0.352659949909962,0.4302521625842,12.9222976996166,0,12.2094258455407,11.3152288130526
"10","abrB","abrB",1726,14.114742688505,0.929867910419036,0.635059893163361,1.46422080882352,0.143133626382603,0.195688948187621,21.5371628326943,15.8501042564081,8.07976710366665,10.9919365612511
"11","accA","accA",780,442.648801753375,-1.10426993733079,0.185623018912094,-5.94899244610249,2.69798089184227e-09,8.16658062261486e-09,271.368251691948,289.264402679447,611.548594557524,598.41395808458
"12","accC","accC",332,967.426251985521,-1.89772200188574,0.166688446819613,-11.3848442294229,4.97570773200195e-30,3.53844757688452e-29,379.054065855419,435.877867051222,1534.97619931658,1519.79687571886
"13","accD","accD",582,898.389582607585,-1.18183290628942,0.153820162028798,-7.68321194505151,1.55148587079303e-14,6.29391433151606e-14,542.736503383895,554.753648974283,1255.5958079098,1240.47237016236
"14","aceA","aceA",381,8543.27842873529,-1.35238709539074,0.127623218361256,-10.5967167475954,3.08625545707056e-26,1.91250633442089e-25,5061.23326568315,4545.01739552501,12482.5219736446,12084.3410800883
"15","aceE","aceE",342,3588.12810506661,-1.46523380166334,0.130362490489066,-11.2396886264323,2.60298823835757e-29,1.79697521367316e-28,1852.19600361171,1957.4878756664,5433.19450126562,5109.63403972274
"16","aceF","aceF",733,2226.79984252572,-0.888003869541059,0.141209962617309,-6.28853554722356,3.20474691958928e-10,1.03225204326743e-09,1460.21964005667,1660.29842085875,2967.24958122656,2819.4317279609
"17","aceK","aceK",1397,1943.01778776835,0.321934170450548,0.125797661750324,2.55914272150388,0.010493065248494,0.0177380611755889,2119.25682273712,2199.20196557662,1749.53890351395,1704.07345924572
"18","ackA","ackA",144,1311.16080236287,2.2913016761332,0.140548558924175,16.3025625710566,9.46395979375985e-60,1.55169507451854e-58,2317.3987207979,2040.70092301254,443.309888421177,443.233677219859
"19","acnA","acnA",79,4334.02843603004,2.28264884831615,0.114467888203213,19.9413904121635,1.78046479950018e-88,5.3211106223037e-87,7107.26373478911,7279.16037975541,1463.51514804415,1486.1744815315
"20","acnB","acnB",550,4295.47474432162,-1.18168325499188,0.146624091584328,-8.05927076664791,7.67509238529728e-16,3.29470784030671e-15,2386.31764186252,2860.94381828166,5890.68886971323,6043.94864742908
"21","acrA","acrA",435,679.897659914343,-1.71870127294065,0.176425945000622,-9.74177167045692,2.00035972454361e-22,1.08471131435763e-21,314.442577357336,317.002085128161,1024.51446874493,1063.63150842694
"22","acrB","acrB",833,1212.56167369402,-0.905247950931753,0.165198557540342,-5.47975699310018,4.25910396316379e-08,1.20717220372505e-07,745.185834011221,939.118677192178,1558.85639986742,1607.08578370527
"23","acrD","acrD",1965,43.4767949717912,0.357624747254219,0.412161723508217,0.867680638100519,0.385569188188934,0.463271681075864,30.152027965772,67.3629430897343,39.8601843780888,36.5320244535697
"24","acrE","acrE",1858,1.72401374366044,-1.51854532134245,1.33162195256373,-1.14037269993848,0.254131061509398,0.322929728860974,0,0,2.69325570122222,4.20279927341953
"25","acrF","acrF",1128,74.3014820761464,1.15360194634371,0.300912112287486,3.83368398690972,0.000126238299574669,0.000264227504694853,90.4560838973159,114.913255858959,45.6057965406962,46.2307920076148
"26","acrR","acrR",1588,107.011801388715,-0.555643008414006,0.297391126352731,-1.8683913512435,0.0617075417144045,0.0917452808486833,73.2263536311605,99.0631516025504,121.914708075326,133.842992245822
"27","acs","acs",603,8488.23889690614,1.4364155742057,0.193581494921427,7.42021118696664,1.16933729856838e-13,4.57845001976773e-13,11901.4361813468,12921.7974950367,5306.79103368825,3822.93087755276
"28","actP","actP",1820,1155.23445628497,-0.230225187923351,0.188045876083919,-1.22430330681971,0.220837829952354,0.286482481603027,956.250029771625,1168.9451889101,1377.15141522496,1118.5911912332
"29","ada","ada",502,101.481804541027,2.41100192845448,0.276421478417989,8.72219460749972,2.72860835454277e-18,1.28331560260468e-17,163.682437528476,178.313672884591,28.368960052874,35.5621476981652
"30","add","add",2150,81.4187740402418,0.143581289220194,0.334792774917206,0.428866152370525,0.668020633719409,0.733579868005361,116.300679296549,55.4753648974282,76.3089115346294,77.5901404323605
"31","adhE","adhE",183,5086.30341931729,2.22288148438676,0.147378447476416,15.0828124630806,2.10124108101541e-51,2.71094546026086e-50,8830.23676140465,7936.93970639634,1656.71135701183,1921.32585245633
