	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2
thrA	19203	11206	121	179
thrB	6026	3377	150	162
thrC	9930	5701	160	193
yaaA	593	357	16	15
yaaJ	116	67	26	21
talB	7185	4166	189	186
htpY	43	21	10	11
dnaK	30091	19089	2666	2810
dnaJ	4609	2820	395	466
nhaA	838	438	490	634
nhaR	343	205	28	34
ribF	2654	1478	55	62
ileS	9661	5544	153	193
ispH	1456	850	15	24
rihC	311	147	7	12
dapB	2292	1178	32	43
carA	5545	2739	11	21
carB	12812	6571	60	65
caiD	14	10	1	1
caiB	61	34	6	3
caiA	175	99	17	22
caiT	17	11	0	1
fixA	15	11	1	0
fixB	18	13	1	0
fixC	61	29	1	1
yaaU	40	21	1	2
kefC	384	191	19	12
apaH	475	257	29	47
ksgA	1310	708	194	189
surA	5295	2968	511	568
imp	8035	4679	1097	1146
djlA	669	302	13	13
rluA	214	141	28	34
hepA	976	622	45	45
polB	303	146	24	31
araD	26	11	12	10
araA	114	68	69	62
araC	1453	622	255	324
yabI	521	231	97	101
thiQ	222	126	5	5
tbpA	497	311	6	9
setA	487	270	26	31
leuD	5847	3469	78	80
leuC	8864	5137	85	72
leuB	6644	4128	75	71
leuA	10466	6214	79	65
leuO	127	79	14	18
ilvI	4993	2857	28	35
fruR	2730	1365	219	234
mraW	1753	934	72	100
ftsI	1720	930	42	60
murE	1855	1032	41	39
murF	1498	788	27	23
mraY	895	483	32	22
murD	1820	971	24	38
ftsW	1527	805	25	34
murG	1333	687	24	20
murC	1865	946	25	30
ddlB	2058	1084	111	124
ftsQ	2203	1144	175	166
ftsA	5713	2915	193	229
ftsZ	13743	7141	380	406
lpxC	15302	8233	4494	5402
secA	6711	3733	201	219
yacF	476	324	25	21
coaE	474	269	32	39
guaC	1298	924	15	19
hofC	106	58	5	5
hofB	98	59	3	3
nadC	316	236	11	14
ampE	470	270	53	37
aroP	6551	3777	151	146
pdhR	712	390	35	34
aceE	30260	15805	452	517
aceF	16526	8721	357	434
lpd	41154	22474	613	703
acnB	32808	18695	576	752
speD	2432	1549	49	61
speE	3044	1801	32	38
cueO	553	319	21	20
gcd	710	551	114	108
can	6403	3882	42	42
yadG	1102	623	27	33
yadH	652	375	36	36
yadD	690	348	12	18
panC	2904	1665	46	59
yadL	49	30	4	4
ecpD	9	6	0	0
pcnB	1829	1148	16	20
yadB	436	277	13	7
sfsA	3096	1506	1564	1589
mrcB	1926	972	36	52
fhuA	5884	2938	286	339
fhuC	417	231	16	17
fhuD	283	148	1	2
hemL	2374	1479	223	296
clcA	954	494	128	141
yadS	262	119	6	7
btuF	239	138	2	3
pfs	1807	1049	121	104
dgt	1050	631	11	21
degP	5758	3284	228	214
cdaR	877	379	42	57
dapD	8433	4652	96	108
glnD	942	570	30	25
map	2989	1936	125	126
rpsB	36719	19323	438	577
tsf	21794	11724	166	218
pyrH	3921	2072	58	77
dxr	776	391	40	63
ispU	4412	2201	44	45
cdsA	1712	992	83	86
yaeL	6949	3504	142	150
yaeT	18922	9932	202	253
lpxD	7188	4251	144	177
lpxA	3355	1931	102	121
lpxB	1747	946	12	27
dnaE	3223	1855	62	47
accA	3406	1851	69	76
ldcC	637	423	124	136
nlpE	592	275	46	42
proS	6045	3606	145	146
yaeB	98	72	9	13
metQ	12369	6376	85	69
metI	2535	1342	29	27
metN	2377	1359	14	26
dkgB	586	304	9	13
yafC	433	264	47	40
yafD	1154	599	239	197
mltD	17179	9601	115	148
gloB	1052	490	73	55
yafS	493	269	25	29
dnaQ	1085	608	105	101
yafT	7	6	0	0
yafV	341	211	57	60
fadE	2657	1154	1954	2153
yafJ	730	405	11	11
yafK	1714	954	24	22
dinB	187	116	54	60
pepD	5823	3386	142	163
frsA	489	295	52	33
phoE	32	26	1	1
proB	1983	1133	41	49
proA	2781	1704	139	139
yagR	55	29	14	15
yagS	12	11	2	2
yagT	11	10	3	3
yagU	456	257	26	42
yagV	47	20	4	4
yagW	115	87	11	8
yagX	92	48	8	13
yagY	17	13	1	1
insF	2236	1502	45	90
ykgC	244	127	31	35
ykgD	116	54	8	6
ykgE	331	131	13	17
ykgF	624	197	28	18
ykgG	326	153	8	7
betA	321	177	1	4
betT	540	298	105	111
yahB	247	106	18	9
yahD	103	53	9	10
yahG	35	19	2	1
yahI	26	20	0	2
yahJ	269	181	13	9
yahK	1664	799	58	57
yahN	46	31	29	21
prpR	358	156	85	133
prpB	415	45	112	282
prpC	289	52	12	59
prpD	350	58	28	52
prpE	528	89	24	67
codB	3069	1856	6	10
codA	5053	2710	22	29
cynT	37	17	4	1
cynX	25	21	1	0
lacY	62	29	13	9
lacI	894	324	119	139
mhpR	2401	695	528	602
mhpB	30	17	0	1
mhpC	55	41	1	2
mhpD	47	42	1	1
mhpF	69	35	3	5
mhpE	101	46	6	5
mhpT	101	54	16	22
frmA	867	559	28	27
yaiO	44	24	42	39
yaiP	45	24	12	12
tauA	71	35	2	3
tauB	50	25	0	1
tauD	53	31	7	2
hemB	1393	881	19	5
yaiV	33	15	0	1
ampH	583	312	9	17
sbmA	435	265	33	60
yaiW	611	331	33	42
ddlA	1366	754	87	73
phoA	496	267	17	17
yaiC	35	22	7	19
proC	428	204	11	13
aroM	419	208	14	22
rdgC	1278	726	19	26
mak	723	362	107	117
araJ	158	88	24	18
sbcD	291	163	7	9
phoB	250	196	18	16
phoR	198	129	6	9
brnQ	364	211	275	315
proY	368	222	14	26
malZ	497	289	17	15
queA	344	221	2	2
tgt	6108	2824	47	36
secD	9276	4972	118	127
secF	4193	2338	181	193
tsx	5219	2515	125	110
ribD	965	594	37	58
thiL	516	291	6	9
yajO	1877	885	1109	1111
dxs	2718	1379	38	52
ispA	1205	600	12	16
thiI	802	513	34	45
panE	474	274	118	127
yajR	382	219	10	14
cyoE	7546	3825	147	162
cyoC	5686	2861	61	89
cyoB	24833	12601	252	262
cyoA	16821	9026	193	201
ampG	389	232	2	1
tig	29156	15467	190	208
clpP	3201	1839	243	282
clpX	7784	4553	1280	1398
lon	8660	5513	231	259
ppiD	9069	4773	148	184
queC	1167	624	28	16
ybaE	355	148	70	82
cof	174	117	36	36
mdlA	297	162	18	19
mdlB	246	157	2	5
amtB	213	104	11	10
tesB	412	184	20	20
ylaB	361	186	57	82
acrB	8682	4971	176	241
acrA	5706	3290	73	80
acrR	679	414	17	25
kefA	1799	980	30	36
dnaX	1801	903	33	35
recR	1192	691	31	38
htpG	7078	4813	309	354
adk	6181	3307	27	36
hemH	303	160	101	117
aes	198	59	24	20
gsk	752	482	12	6
ybaL	1319	752	149	144
fsr	308	189	8	8
ushA	2317	1209	193	190
ybaP	196	106	8	5
copA	1015	539	89	114
ybaS	75	45	22	34
ybaT	58	64	20	28
ybbK	547	326	839	801
ybbL	369	208	11	9
ybbM	272	169	10	13
ybbN	1825	1090	53	62
ybbO	288	174	11	13
tesA	486	259	34	40
ybbA	220	114	34	27
ybbP	432	254	27	23
