"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_chemostat1","K12_chemostat2","K12_starvation1","K12_starvation2"
"1","ycbB",5201.24097316147,5.77158810736345,0.126591747730546,45.5921354340443,0,0,184.927915347588,186.268464518396,10629.4671617695,9804.30035101035
"2","ycgB",11384.8514300193,6.85085599796781,0.132754799345483,51.6053357900759,0,0,182.192295298068,206.049186414155,22109.1208047256,23042.0434336393
"3","ynhG",8339.45273315219,6.27753555860236,0.155814231347603,40.2885892020859,0,0,193.317150166118,226.818944404702,17618.9399417755,15318.7348962624
"4","yeaG",23454.2598118407,6.38908368980922,0.123887543727383,51.5716390654133,0,0,559.160738121998,537.705956866379,48593.070537768,44127.1020146067
"5","yeaH",7288.9544213422,6.96186901746078,0.130950905016984,53.1639626053585,0,0,115.260791419799,114.398508297139,15068.3804982159,13857.777887436
"6","sdaA",2198.4720557153,5.926457220222,0.145452485422205,40.7449704487295,0,0,67.4786278881733,73.8480284108331,4494.45315682538,4158.1084097368
"7","mntH",2553.7680166127,4.82484577411364,0.128944360314997,37.418044203927,1.98846914307757e-306,6.57615152317798e-304,167.419947030657,179.015533156618,5028.48989123904,4840.14669502448
"8","allR",4476.94115182229,4.85901968806999,0.131150737392721,37.0491221373771,1.85528646108187e-300,5.36873519675567e-298,292.164221288794,300.666972815535,8177.170477342,9137.76293584285
"9","uspE",10288.4157989909,4.45156722245099,0.122161513150658,36.440013778816,9.90212605777459e-291,2.54704686930535e-288,921.721582018454,866.725297732501,20438.6538994797,18926.562416733
"10","phoH",4880.10688681613,4.73452070637275,0.13003489018309,36.409618216361,2.99861460849939e-290,6.94179281867609e-288,366.208337295816,335.283236133113,9057.26301565571,9761.67295817987
"11","nrdD",2311.8592349488,5.42305717828032,0.154716386728132,35.0516017919274,3.68610735909925e-269,7.75758048755889e-267,107.236305941205,100.88168166837,4152.66964680064,4886.649305385
"12","astA",1859.61176780324,6.63746831247231,0.191715267611149,34.6214904800118,1.20008734420781e-262,2.31516850153424e-260,41.9461740926483,29.3414041453757,3631.4497940129,3735.70969896205
"13","ybhL",3589.34398272925,5.19990125087063,0.152946581114411,33.9981529039925,2.37231732996297e-253,4.22454970681867e-251,171.249815099986,206.378865112418,7232.99353089864,6746.75371980594
"14","ybbK",1723.93450076389,5.00086411277275,0.15290418608063,32.7058679095656,1.28883067122252e-234,2.13117357420009e-232,99.7589444725157,107.475255633623,3584.4545613845,3104.04924156494
"15","yniA",4437.5614997316,5.1943288309716,0.159003959013754,32.6679213724628,4.4604450948097e-234,6.88395359632297e-232,258.607282014675,207.038222508943,8476.23104861365,8808.36944578914
"16","yedP",1104.89234399467,4.54805571925739,0.141492582931231,32.1434214079466,1.09143835189252e-226,1.57917486539448e-224,89.5459629543057,90.3319633239655,2170.32528865712,2069.36616104329
"17","ydgD",1449.88604328822,4.63699518538388,0.14522695739229,31.9293006522085,1.04713903140647e-223,1.42595697512116e-221,107.053931271237,115.717223090189,2922.24901071156,2654.52400807988
"18","cysQ",2911.98979134996,4.74311331747235,0.15016227202173,31.5865846568036,5.64317349846551e-219,7.25774813830425e-217,218.120105281771,196.818182862801,6032.47895193673,5200.54192531853
"19","ygjG",2428.69388589749,3.99481668124483,0.127335031207322,31.372487550112,4.80259513640863e-216,5.85158302146631e-214,295.811714688154,273.96299825626,4622.62197308466,4522.3788575609
"20","erfK",1342.8938966276,4.43140378622102,0.141904480510081,31.2280751833357,4.43150103813517e-214,5.12946245164146e-212,112.889920710214,123.959190546756,2627.46073331522,2507.26574193822
"21","gmr",1394.21466022436,4.26817167301938,0.137585776489901,31.0218961720412,2.73166824884331e-211,3.01133904574869e-209,140.063746535452,132.860515399847,2738.54037407326,2565.39400488887
"22","fic",1451.2261920393,5.37189448831747,0.174615581276946,30.7641188090625,7.91691871858296e-208,8.3307576515998e-206,72.0379946373742,62.3092739716404,3097.41305959924,2573.14443994896
"23","astE",719.48757369603,6.43355306513758,0.211268961466414,30.4519557462791,1.12857123129509e-203,1.13593147845571e-201,18.4198416667716,12.8574692322433,1358.58945234836,1488.08353153675
"24","astB",1208.58666875625,6.56347682197722,0.223902080174602,29.3140502172151,6.86745695187253e-189,6.62423451816038e-187,29.3623218648538,18.7916858009709,2213.04822741022,2573.14443994896
"25","ypfJ",1558.98216724841,3.88865524393073,0.13903824761778,27.9682411894369,3.95603814309691e-172,3.66329132050774e-170,186.386912707333,206.378865112418,2994.87800659182,2848.28488458206
"26","ybdK",711.657940009704,5.32306869036776,0.193860896260173,27.4581867362456,5.54744977950595e-166,4.93936393829088e-164,30.456569884662,38.5724076967298,1491.03056248295,1286.57221997448
"27","aidB",615.489535145911,4.42458238015888,0.162520846925283,27.2247066383615,3.31276593047102e-163,2.84039004779274e-161,51.9767809408902,57.0344147994381,1174.88081571006,1178.06612913326
"28","fadD",16192.9714185952,5.80052299303013,0.213532220281536,27.164626422103,1.70107967625091e-162,1.40642837518602e-160,670.956410812404,444.736563956312,31333.0032815184,32323.1894180938
"29","ychM",699.238246882084,4.81623175633004,0.178326851940762,27.0078886264977,1.19399428365391e-160,9.21365588886269e-159,47.5997888616574,47.1440538515586,1221.87604833846,1480.33309647666
"30","hchA",910.466989957001,4.21709824836982,0.156139212277924,27.0085789908013,1.17190802982368e-160,9.21365588886269e-159,85.8984695549449,99.233288177057,1751.64048887681,1705.09571321919
"31","ydgA",4810.22208407135,3.06249319338442,0.114832071975547,26.6693192998952,1.06851765351337e-156,7.97941408994664e-155,1004.70205685391,1046.40018828564,8706.93491788035,8482.85117326548
"32","arcA",9706.8580822584,3.7128111434354,0.140593107750839,26.4082016738352,1.10303626018097e-153,7.97977794474671e-152,1388.23598779669,1347.06716110118,19537.1998917894,16554.9292883463
"33","brnQ",632.880230718895,4.13049339607306,0.156420592197278,26.4063275688387,1.15908090483196e-153,8.13112816571513e-152,66.3843798683651,69.5622053334187,1174.88081571006,1220.69352196374
"34","sstT",2156.33961943183,3.55887194834632,0.136099066077414,26.1491283586179,1.00827668863988e-150,6.86517804176862e-149,355.448231767702,314.843156840829,3994.59477341419,3960.47231570458
"35","astC",3853.02219322403,6.77005288779317,0.259247055211801,26.1142904102117,2.50915755021841e-150,1.65962849393018e-148,85.7160948849769,47.8034112480839,8031.91248558148,7246.65678118156
"36","fadE",4389.10607260961,4.25414902403056,0.164172650782556,25.9126535616771,4.79598892455778e-148,3.0840873223198e-146,484.569498105071,380.449217795096,8348.06223235437,8343.34334218391
"37","sfsA",3475.17909350691,3.58694074837396,0.139627689687803,25.6893224860634,1.5385142967342e-145,9.62610972145856e-144,564.631978221039,496.496119583548,6681.86762098374,6157.72065523931
"38","rob",1439.28651025135,3.27269924853621,0.128123245318255,25.5433683435579,6.50599669766983e-144,3.96352167239623e-142,270.096886222661,267.369424291007,2665.911378193,2553.76835229874
"39","nhaA",1211.88528905537,3.92415579874426,0.154387177584949,25.4176276820986,1.61028070307908e-142,9.55846109648225e-141,152.829973433214,144.39926983904,2093.42399890156,2456.88791404765
"40","yjcC",404.83662577112,4.61063907635565,0.181882644131668,25.3495274294447,9.09487568267374e-142,5.26365930134743e-140,31.5508179044702,31.3194763349515,777.557485306292,778.918723538767
"41","yddV",961.218032622338,4.14864212125557,0.164031959965571,25.291669514443,3.94481092705171e-141,2.22737495027432e-139,99.0294457926435,104.508147349259,1986.61665201882,1654.71788532862
"42","yajO",2419.35587177223,3.82089962937127,0.151138027015912,25.2808621682551,5.18673563880243e-141,2.85887928662563e-139,342.317255530003,291.765647962443,4737.97390771801,4305.36667587846
"43","ygcF",1057.28320418454,3.92382176452727,0.155250478652427,25.2741363413886,6.14956818019332e-141,3.31075589235989e-139,126.750395627785,132.860515399847,2140.41923152996,1829.10267418059
"44","ydcL",1888.58186795899,3.03871088177795,0.122760824273885,24.7530993682353,2.87098694809509e-135,1.51053063291821e-133,401.953772609551,415.065481112674,3400.7459247462,3336.56229336755
"45","yeeY",432.618228611965,4.3161016284387,0.176032380025415,24.5187938026831,9.31200819114959e-133,4.79051088055807e-131,40.1224273929679,41.8691946793563,850.18648118655,798.294811188985
"46","mtlA",3232.31191751252,3.42757847747941,0.140202016408646,24.4474264014083,5.35976934591117e-132,2.69736218169225e-130,584.328442577587,508.364552721003,6105.10794781699,5731.44672693451
"47","obgE",1788.2585694055,3.04694569113296,0.124729138214257,24.4284995050554,8.51839249607421e-132,4.19576141030038e-130,388.275672361949,380.778896493358,3268.30481461161,3115.67489415507
"48","yraR",429.116856961612,4.47106566653977,0.185001178030147,24.1677686279986,4.8570959618724e-129,2.34253690661137e-127,37.0220580035113,35.9349781106286,880.092538313716,763.417853418592
"49","glpD",46870.074166651,3.44960553634636,0.143469927747273,24.0441017188142,9.62221773002862e-128,4.5460069479625e-126,8315.3730771926,7319.52645882731,91508.2625152499,80337.1346153342
"50","lpxC",11409.6389238957,2.86113962230019,0.119108319550868,24.0213247327218,1.66500303928051e-127,7.70896407186878e-126,2790.69719985089,2714.24472279638,19199.68867564,20933.9250972956
"51","dadA",3794.74207773313,4.40260703180693,0.18415807561813,23.9066737477002,2.61040600007463e-126,1.18491958630839e-124,389.369920381757,286.490788790241,7151.81994726777,7351.28765449274
"52","kdpD",630.20991141787,3.88158787471783,0.162545224444087,23.8800486940976,4.93710065343576e-126,2.19795923321227e-124,84.0747228552646,74.1777071090958,1153.51934633351,1209.06786937361
"53","ydcK",491.52417490144,4.13131980252125,0.1736023576237,23.7976019396943,3.53627309554586e-125,1.54461739928088e-123,50.517783581146,55.0563426098622,880.092538313716,980.430035101035
"54","yfcH",1070.19657459374,3.33850644722275,0.142427418399454,23.4400544834671,1.66974292414361e-121,7.15824975813419e-120,183.104168647908,200.774327241953,1901.17077451264,1995.73702797246
"55","ygjR",1485.83938761046,3.96952058480873,0.169772240899221,23.3814466003609,6.60098325668914e-121,2.77841386167916e-119,196.417519555575,155.938024278232,2700.08972919548,2890.91227741254
"56","ompF",53255.138115368,-3.74477669588203,0.160255237900726,-23.3675775278049,9.13389856392291e-121,3.77588842419313e-119,110470.720713088,87872.5602349262,7399.61299203571,7277.65852142191
"57","yeeZ",1025.28961242157,3.17749471693529,0.136496566060465,23.2789352043312,7.24724870206989e-120,2.94340013075295e-118,199.517888945031,207.038222508943,1892.62618676202,1801.97615147028
"58","cmr",477.952014079065,4.35270054790835,0.187849489920437,23.1712130267264,8.88632453267939e-119,3.54686918847462e-117,40.8519260728401,47.8034112480839,978.355297445829,844.797421549508
"59","fdoG",3129.88806307702,2.87904962804187,0.124424545802709,23.1389201340302,1.87960565146459e-118,7.37506285278057e-117,742.629656109842,751.008074642312,5263.46605438106,5762.44846717486
"60","araH",476.935959089269,3.88053342401144,0.168021316473789,23.0954827961772,5.14015751309434e-118,1.98324410713557e-116,61.2778891092601,58.6828082907513,931.360064817427,856.423074139639
"61","ydhS",596.179464606553,3.7171656479164,0.161809711830056,22.9724508243388,8.79105194312391e-117,3.33627627021834e-115,84.2570975252326,82.7493532639246,1179.15310958537,1038.55829805169
"62","yhjD",548.187955099529,4.33718302891443,0.188953760768216,22.9536740167597,1.35409984804013e-116,5.0560341100208e-115,47.2350395217213,55.3860213081248,1140.70246470758,949.428294860686
"63","ybjR",712.757491357663,3.69142736479957,0.162106686306438,22.7715922699295,8.77015096930985e-115,3.22268245935751e-113,99.2118204626116,104.178468650997,1426.94615435331,1220.69352196374
"64","rssB",870.425196366835,3.4665591371606,0.15241709025914,22.743900511857,1.64902315724677e-114,5.96482595160356e-113,137.145751815963,150.333486407767,1679.01149299655,1515.21005424705
"65","garR",371.59995322323,4.08973722231039,0.18120075022866,22.5702002731748,8.5059847803878e-113,3.02943919486119e-111,40.669551402872,40.8801585845683,730.56225267789,674.287850227589
"66","yqjG",579.888865291615,3.43778914098461,0.154542702167988,22.2449141419031,1.26333749867228e-109,4.4312519839793e-108,97.3880737629312,97.2552159874811,1097.97952595449,1026.93264546156
"67","lexA",1244.9239476047,2.82537596266519,0.128152776623537,22.0469352058211,1.02215910650799e-107,3.53178855457613e-106,306.024696206364,307.59022547905,2195.95905190898,2170.12181682442
"68","yhiP",334.319549484687,4.233433703412,0.192392377548781,22.0041654318587,2.62709552169826e-107,8.94371490107569e-106,31.5508179044702,35.605299412366,615.210318044539,654.911762577371
"69","araG",602.572735307919,3.62682621812087,0.165632853500326,21.8967803879182,2.78798284152678e-106,9.3538844610645e-105,95.3819523932828,83.0790319621873,1080.89035045325,1150.93960642295
"70","ilvC",4125.47840548542,-3.07997628786161,0.141001745344212,-21.8435330735999,8.95551976338638e-106,2.9617183217485e-104,7590.43376406966,7175.45686768653,833.097305685313,902.925684500163
"71","htpX",4490.39444760148,3.04560070879337,0.139659747104089,21.8072907329802,1.97850726203994e-105,6.4510483262288e-104,937.223428965737,994.640632658409,8608.67215874824,7421.04157003353
"72","sufB",1485.01691562609,3.4613055482806,0.162075681142041,21.3561067514327,3.42169769434338e-101,1.10017085588957e-99,263.166648763876,226.818944404702,2935.06589233749,2515.01617699831
"73","livJ",5319.88910763908,-3.11633046752908,0.146249118321586,-21.3083709720328,9.49415057575946e-101,3.01081624423057e-99,9614.79260071485,9472.98771587892,1191.96999121129,999.806122751253
"74","ydcJ",765.625243485364,4.12647386817145,0.196165663561024,21.0356582964774,3.09448501901316e-98,9.68072002569657e-97,92.4639576737942,70.221562729944,1555.11497061258,1344.70048292513
"75","mtlD",1328.54112784503,3.00157660398331,0.142941224675829,20.9986769792303,6.74374726152147e-98,2.0815699880563e-96,306.571820216268,280.226893523251,2247.22657841269,2480.13921922791
