"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_chemostat1","K12_chemostat2","K12_starvation1","K12_starvation2"
"1","aaeA","aaeA",2121,30.5354232822036,-0.223114859479457,0.490299212618754,-0.455058571862212,0.649067101371479,0.708101008329394,34.6511872939268,31.6491550332142,17.0891755012372,38.7521753004362
"2","aaeB","aaeB",1343,30.0315835827679,1.23341369160342,0.445779236768428,2.76687110989011,0.00565971266436408,0.00975594550856504,16.7784696370593,18.7916858009709,34.1783510024744,50.377827890567
"3","aaeR","aaeR",1553,45.2498884637196,0.74451607612615,0.373066054361121,1.99566824004167,0.0459700462902846,0.0685258577991042,33.3745646041506,33.9569059210527,55.5398203790209,58.1282629506542
"4","aas","aas",1703,152.989930649499,-0.391818751766596,0.250686106736559,-1.56298550752296,0.118056003638935,0.160481296784578,165.778575000945,181.982641440982,132.441110134588,131.757396021483
"5","aat","aat",2300,27.9278165747407,0.0254372266930091,0.516277279368279,0.0492704748195279,0.960703748611224,0.966969207841297,23.8910817658127,31.9788337314768,17.0891755012372,38.7521753004362
"6","abgA","abgA",2128,14.0583581680544,-0.313568017165489,0.700958587431581,-0.447341715741653,0.654628351516346,0.712047152644965,15.5018469472831,15.4948988183444,21.3614693765465,3.87521753004362
"7","abgB","abgB",828,48.296413733551,1.98299509121081,0.354346287373243,5.59620676686268,2.19092389793919e-08,6.12559036682274e-08,18.6022163367397,19.7807218957589,81.1735836308767,73.6291330708287
"8","abgR","abgR",1699,52.9269087420598,-0.676080321270697,0.427729274839169,-1.58062672124771,0.113963412339595,0.155282695448006,76.232612046639,54.3969852133369,38.4506448777837,42.6273928304798
"9","abgT","abgT",1920,15.200642873435,0.582289310095532,0.613120627711115,0.94971410808558,0.342257539203875,0.412669897529672,12.4014775578264,11.5387544391927,21.3614693765465,15.5008701201745
"10","abrB","abrB",1662,15.1376423153805,1.03406996886892,0.617880893312121,1.67357492368123,0.0942141702341679,0.131230929056618,8.20686014856162,11.20907574093,25.6337632518558,15.5008701201745
