	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_starvation1	K12_starvation2
thrA	120	173	121	179
thrB	141	159	150	162
thrC	152	180	160	193
yaaA	16	15	16	15
yaaJ	25	21	26	21
talB	184	180	189	186
htpY	10	10	10	11
dnaK	2576	2710	2666	2810
dnaJ	383	451	395	466
nhaA	478	624	490	634
nhaR	27	33	28	34
ribF	55	61	55	62
ileS	143	182	153	193
ispH	14	20	15	24
rihC	7	9	7	12
dapB	29	40	32	43
carA	11	20	11	21
carB	52	57	60	65
caiD	1	1	1	1
caiB	6	3	6	3
caiA	17	22	17	22
caiT	0	1	0	1
fixA	1	0	1	0
fixB	1	0	1	0
fixC	1	1	1	1
yaaU	1	2	1	2
kefC	19	12	19	12
apaH	27	39	29	47
ksgA	187	181	194	189
surA	508	567	511	568
imp	1096	1145	1097	1146
djlA	11	13	13	13
rluA	27	34	28	34
hepA	45	45	45	45
polB	22	23	24	31
araD	10	8	12	10
araA	63	57	69	62
araC	248	316	255	324
yabI	89	93	97	101
thiQ	5	4	5	5
tbpA	4	7	6	9
setA	26	31	26	31
leuD	78	79	78	80
leuC	78	70	85	72
leuB	69	68	75	71
leuA	70	64	79	65
leuO	13	18	14	18
ilvI	28	34	28	35
fruR	207	231	219	234
mraW	71	99	72	100
ftsI	42	59	42	60
murE	40	39	41	39
murF	27	23	27	23
mraY	32	22	32	22
murD	14	23	24	38
ftsW	25	34	25	34
murG	24	18	24	20
murC	25	29	25	30
ddlB	110	123	111	124
ftsQ	172	162	175	166
ftsA	187	223	193	229
ftsZ	380	406	380	406
lpxC	4486	5390	4494	5402
secA	199	215	201	219
yacF	28	21	25	21
coaE	32	39	32	39
guaC	13	17	15	19
hofC	5	5	5	5
hofB	3	3	3	3
nadC	11	14	11	14
ampE	53	37	53	37
aroP	151	146	151	146
pdhR	31	32	35	34
aceE	430	494	452	517
aceF	339	419	357	434
lpd	603	696	613	703
acnB	554	722	576	752
speD	49	61	49	61
speE	32	38	32	38
cueO	18	19	21	20
gcd	108	105	114	108
can	42	41	42	42
yadG	26	29	27	33
yadH	35	32	36	36
yadD	9	17	12	18
panC	44	56	46	59
yadL	0	3	4	4
ecpD	0	0	0	0
pcnB	16	20	16	20
yadB	13	7	13	7
sfsA	1564	1589	1564	1589
mrcB	34	48	36	52
fhuA	283	335	286	339
fhuC	16	16	16	17
fhuD	0	2	1	2
hemL	193	244	223	296
clcA	122	138	128	141
yadS	6	7	6	7
btuF	2	3	2	3
pfs	121	104	121	104
dgt	11	21	11	21
degP	202	205	228	214
cdaR	39	56	42	57
dapD	90	105	96	108
glnD	29	23	30	25
map	120	125	125	126
rpsB	438	576	438	577
tsf	166	218	166	218
pyrH	58	75	58	77
dxr	40	63	40	63
ispU	44	45	44	45
cdsA	69	73	83	86
yaeL	141	150	142	150
yaeT	202	253	202	253
lpxD	144	177	144	177
lpxA	102	121	102	121
lpxB	12	27	12	27
dnaE	61	45	62	47
accA	63	73	69	76
ldcC	120	129	124	136
nlpE	43	41	46	42
proS	144	145	145	146
yaeB	9	13	9	13
metQ	75	59	85	69
metI	28	26	29	27
metN	14	25	14	26
dkgB	9	13	9	13
yafC	46	38	47	40
yafD	238	198	239	197
mltD	111	146	115	148
