	YJ016_ASW1	YJ016_ASW2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS00065	4266	1507	4981	2184
VV1_RS00070	942	283	939	282
VV1_RS00085	1889	664	1863	628
VV1_RS00095	3332	1052	3317	1053
VV1_RS00120	474	318	414	277
VV1_RS00130	829	124	803	120
VV1_RS00135	564	56	564	56
VV1_RS00140	3800	687	3604	294
VV1_RS00145	402	124	710	565
VV1_RS00150	135	59	132	59
VV1_RS00155	110	32	109	32
VV1_RS00160	1037	655	1031	653
VV1_RS00165	1435	954	1416	937
VV1_RS00170	1270	743	1261	733
VV1_RS00180	16970	4381	17043	4454
VV1_RS00190	1019	437	1000	434
VV1_RS00195	1079	564	1078	564
VV1_RS00205	522	288	521	288
VV1_RS00210	2179	2037	2156	2014
VV1_RS00230	167	108	168	106
VV1_RS00240	304	153	305	151
VV1_RS00245	252	89	257	91
VV1_RS00255	252	141	250	139
VV1_RS00265	474	422	473	418
VV1_RS00270	494	338	495	332
VV1_RS00285	799	637	795	616
VV1_RS00575	615	282	612	278
VV1_RS00580	282	107	282	105
VV1_RS00590	146	26	155	26
VV1_RS00595	323	78	323	77
VV1_RS00600	1341	760	1331	756
VV1_RS00625	1600	343	1579	336
VV1_RS00630	1447	501	1282	464
VV1_RS00635	462	170	463	170
VV1_RS00650	1038	450	1035	450
VV1_RS00690	2802	1714	2789	1695
VV1_RS00705	322	220	352	255
ZNUC	846	2101	848	2100
VV1_RS00715	589	356	588	353
VV1_RS00720	14331	5153	14250	5127
VV1_RS00730	19452	6446	19438	6441
VV1_RS00765	688	322	681	301
VV1_RS00770	652	211	655	215
VV1_RS00775	1005	261	1001	256
VV1_RS00780	797	235	795	233
VV1_RS00790	984	628	984	628
VV1_RS00795	1006	516	998	514
VV1_RS00805	532	165	532	165
VV1_RS00830	1530	765	1529	767
VV1_RS00835	38891	9789	38858	9767
VV1_RS00845	3034	1840	3032	1834
VV1_RS00850	1220	1015	1214	1014
VV1_RS00865	218	66	210	64
