"","Gene","YJ016","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","YJ016_ASW1","YJ016_ASW2","YJ016_CMCP6ref_ASW1","YJ016_CMCP6ref_ASW2"
"1","CYSJ","VV2967",404,2703.56627936245,-0.00271001493461699,0.0685629512932552,-0.0395259376018661,0.968471074455271,0.999932744822066,3260.12616769964,2179.72117584477,3224.12373556951,2150.2940383359
"2","FADH","VV1153",929,3002.42839538984,-0.00469705051443213,0.062332140583858,-0.075355193491438,0.939932108213704,0.999932744822066,2163.14966121374,3920.64673707545,2078.6947390315,3847.2224442387
"3","FOLP","VV2714",502,365.641482464757,-0.00522165232080019,0.0738181340509309,-0.0707367151437004,0.943607299553253,0.999932744822066,337.57958967503,400.777222012157,331.505084444573,392.704033727269
"4","GAPA","VV2859",452,458.819886391546,0.00252627431089185,0.074228475195155,0.0340337627069665,0.972850227541251,0.999932744822066,413.016369490679,500.575502592259,430.009452393818,491.678221089427
"5","GLNG","VV0196",249,4038.19291839487,0.138807513306961,0.070276344345069,1.97516695839204,0.0482492042244814,0.999932744822066,2187.66661465382,3564.22430643223,5450.57502652487,4950.30572596855
"6","HFLB","VV2715",501,20860.1027693354,0.00130892395677062,0.0740656369410434,0.017672486335499,0.985900129943379,0.999932744822066,23154.0622847499,18465.8501067024,23232.5077561318,18587.9909297574
"7","MURF","VV0610",156,526.467075594136,0.000339424061090244,0.0725177733009896,0.0046805637520259,0.996265464082244,0.999932744822066,592.807361384642,459.38891060682,589.131892927213,464.540137457868
"8","NUDF","VV0584",165,568.705192272247,-0.00100569217947352,0.0728370977050493,-0.013807416977898,0.988983625205575,0.999932744822066,637.440789442235,502.159602284007,633.964009109241,501.256368253507
"9","PHEA","VV0709",976,232.524740672785,0.00215717497819919,0.0741365770642914,0.0290973101756301,0.976786981059982,NA,241.397695410077,221.773956844672,241.840852080517,225.086458355874
"10","POTD","VV1689",3,429.340476811968,0.236948967577558,0.0657880806366537,3.60170057074963,0.000316142373788401,0.0993740861608206,216.880741969991,159.994068866513,863.17609606806,477.311000343307
"12","RELA","VV2821",465,2515.63322279498,-0.00414127363066956,0.0764485286291526,-0.0541707434391398,0.956799129800855,0.999932744822066,2408.3191956146,2658.11928275257,2371.68208985489,2624.41232295785
"13","THRS","VV1945",728,2223.54468312391,0.000590204356985422,0.0744467072358417,0.00792787725474142,0.993674535399118,0.999932744822066,2444.78030585883,1997.54971129379,2446.82324232899,2005.02547301403
"14","TLDD","VV2927",425,10040.0439146889,0.000471234158540046,0.066779505732357,0.00705656852910363,0.994369719645204,0.999932744822066,7768.10240151647,12289.4454085783,7745.2216491374,12357.4061995235
"15","UBIF","VV0918",957,155.609357597367,-0.0125386267226597,0.0694245079406906,-0.180608074793579,0.856675217350801,NA,180.419631725761,139.400772873794,174.908396935518,127.708628854397
"16","VV1_RS00065","VV1112",6,2925.16381979849,0.0789284204429681,0.0763373381320594,1.03394252896828,0.301163031378409,0.999932744822066,2681.77752244633,2387.23823546372,3145.19395355889,3486.44556772503
"17","VV1_RS00070","VV1110",7,520.893093373226,0.00062825247511181,0.0717036323302384,0.00876179427310362,0.99300918907098,0.999932744822066,592.178721552845,448.300212764587,592.920522463722,450.172916711748
"18","VV1_RS00085","VV1108",8,1104.55626129458,-0.00778093824041904,0.0754263075738964,-0.103159474335873,0.917836403052793,0.999932744822066,1187.50064226468,1051.84219532044,1176.36947108617,1002.51273650701
"19","VV1_RS00095","VV1106",9,1884.136579499,0.00102408955926461,0.0738099739501719,0.0138746771534693,0.9889299644902,0.999932744822066,2094.62791954786,1666.47287571853,2094.48069543362,1680.964827296
"20","VV1_RS00120","VV1100",10,376.331386918766,-0.0249320104332028,0.0641613736841442,-0.388582865384694,0.697584744009432,0.999932744822066,297.975280271814,503.743701975755,261.415438019149,442.191127408348
"21","VV1_RS00130","VV1098",11,354.044661313564,-0.00324616695809284,0.0525406655749051,-0.0617838948664422,0.950734929017812,0.999932744822066,521.142420559776,196.428361776709,507.044919636176,191.562943281595
"22","VV1_RS00135","VV1097",944,222.197416125345,0.000444445748439526,0.0449613298652076,0.0098850667845448,0.992112986276309,NA,354.552865133551,88.7095827378687,356.131176431884,89.3960401980776
"23","VV1_RS00140","VV1096",12,1555.53513375735,-0.0229943341491266,0.0475829050382168,-0.483247799407338,0.628919799591604,0.999932744822066,2388.83136082889,1088.27648823064,2275.70347492999,469.329211039907
"24","VV1_RS00145","VV1095",5,449.851231815897,0.196582207506514,0.0641802769526316,3.06296913694532,0.00219152661041172,0.41332191872365,252.713212382424,196.428361776709,448.32116182028,901.942191284176
"25","VV1_RS00150","VV1094",945,88.9658056722604,-0.00125229278211605,0.0701371852446722,-0.0178549050371418,0.985754603840049,NA,84.8663772926052,93.4618818131117,83.349849803207,94.1851137801175
"26","VV1_RS00155","VV1093",946,59.9379482721541,4.57228095154566e-05,0.0651068817622644,0.000702273066653874,0.999439667208707,NA,69.1503814976783,50.691190135925,68.8267699132543,51.0834515417586
"27","VV1_RS00160","VV1092",13,845.729832178957,0.000476756609007745,0.0663078957596925,0.00719004280780627,0.994263225280917,0.999932744822066,651.899505573568,1037.58529809471,651.012842023533,1042.42168302401
"28","VV1_RS00165","VV1091",14,1200.80828765735,-0.00191924848814519,0.064942228203441,-0.0295531665795768,0.976423416637267,0.999932744822066,902.098158628804,1511.23110592726,894.116570616221,1495.78731545712
"29","VV1_RS00170","VV1090",15,985.433152538066,-0.00103373734168876,0.0688803023113715,-0.015007735259578,0.988026009233336,0.999932744822066,798.372586382286,1176.98607096851,796.243640923061,1170.13031187841
"30","VV1_RS00180","VV1088",16,8869.93470126659,0.00327280473927541,0.0680644816047912,0.0480838854878612,0.961649388867552,0.999932744822066,10668.0179455964,6939.94074954648,10761.602198455,7110.17791146853
"31","VV1_RS00190","VV1085",17,664.273280378737,-0.00189757233718839,0.0758662432121771,-0.0250120772671107,0.980045330356876,0.999932744822066,640.58398860122,692.251565293726,631.438256084901,692.819311535101
"32","VV1_RS00195","VV1084",18,788.192719534436,0.00148817764270563,0.0720128353743032,0.0206654499155669,0.983512530104079,0.999932744822066,678.302378509045,893.432226145678,680.690440059524,900.345833423496
"33","VV1_RS00205","VV1082",19,393.275274679365,0.0012908610413738,0.0699253648220238,0.0184605549739975,0.985271444769666,0.999932744822066,328.149992198074,456.220711223325,328.979331420234,459.751063875828
"34","VV1_RS00210","VV1081",20,2293.26571927607,-0.000602015298782778,0.0554341066618144,-0.0108600162433478,0.991335131032072,0.999932744822066,1369.80619348583,3226.81107208997,1361.38088011905,3215.06473140943
"35","VV1_RS00230","VV1077",947,137.840294718299,-0.000488569015498507,0.0642764423539417,-0.00760105876439419,0.993935290965391,NA,104.982851910112,171.082766708747,106.081627022263,169.213933232075
"36","VV1_RS00240","VV1075",948,216.778116693068,0.000131549262718952,0.0715909603745462,0.00183751219470613,0.998533878214605,NA,191.106508866311,242.367252837391,192.588668105895,241.050036962674
"37","VV1_RS00245","VV1074",949,151.737576828525,0.00686710096722797,0.0724079623858294,0.0948390306943907,0.924442684565507,NA,158.417237612863,140.984872565541,162.27963181382,145.268565321876
"38","VV1_RS00255","VV1072",950,190.382150201255,-0.0011929102337088,0.0685973409914276,-0.0173900360636117,0.98612545802436,NA,158.417237612863,223.358056536419,157.859564021225,221.893742634514
"39","VV1_RS00265","VV1070",21,483.103307770426,-7.82047715917145e-05,0.0565051650831746,-0.00138402872510148,0.998895705201087,0.999932744822066,297.975280271814,668.490069917511,298.670295128158,667.277585764222
"40","VV1_RS00270","VV1069",22,422.131629806559,-0.000757187536906525,0.0639031932382821,-0.0118489780954001,0.990546104535353,0.999932744822066,310.548076907755,535.425695810708,312.561936762026,529.990809745746
"41","VV1_RS00285","VV1066",23,749.176146253868,-0.0028133296631235,0.0598317281742844,-0.047020698699,0.962496730596759,0.999932744822066,502.283225605864,1009.07150364326,501.993413587497,983.356442178854
"42","VV1_RS00575","VV1065",24,415.889326905257,-0.00102170509914032,0.0745279440539811,-0.0137090203159272,0.98906212695287,0.999932744822066,386.613496555202,446.716113072839,386.44021272396,443.787485269028
"43","VV1_RS00580","VV1064",951,173.114565792778,-0.000762780075603692,0.073474352446524,-0.010381582827271,0.991716844135001,NA,177.276432566775,169.498667016999,178.065588215942,167.617575371396
"44","VV1_RS00590","VV1061",952,68.0865603746627,0.00631515681078752,0.0544396411898698,0.116002910246268,0.907650235326221,NA,91.7814154423731,41.186591985439,97.8729296931597,41.5053043776789
"45","VV1_RS00595","VV1060",953,163.371138403638,0.000186065017735315,0.0639683850072464,0.00290870275549769,0.997679194251974,NA,203.050665670455,123.559775956317,203.954556715423,122.919555272357
"46","VV1_RS00600","VV1059",25,1023.55316042279,3.67269289693537e-05,0.0697382564941145,0.000526639621001325,0.99957980239672,0.999932744822066,843.006014439879,1203.91576572822,840.444318849004,1206.84654267405
"47","VV1_RS00625","VV1054",26,770.646793172823,-0.00178220365922495,0.0617711256843158,-0.0288517270728233,0.976982845791908,0.999932744822066,1005.82373087532,543.346194269446,997.041006358059,536.376241188466
"48","VV1_RS00630","VV1053",27,813.372418458072,-0.0271658174291822,0.0756668945982849,-0.359018532125646,0.719581225620442,0.999932744822066,909.641836610369,793.633945565575,809.503844300844,740.7100473555
"49","VV1_RS00635","VV1052",954,280.866324692563,0.00197974026920718,0.0746261051312253,0.0265287899686836,0.978835570601689,NA,290.431602290249,269.296947597101,292.355912567309,271.380836315593
"50","VV1_RS00650","VV1049",28,684.318159761416,0.00137144360286923,0.0758357391469276,0.0180843968595352,0.985571525419695,0.999932744822066,652.528145405365,712.844861286445,653.538595047873,718.361037305981
"51","VV1_RS00690","VV1041",29,2235.87588760605,-0.000470579889298137,0.0676766960795262,-0.00695335198906819,0.994452072508351,0.999932744822066,1761.44880869541,2715.14687165548,1761.08129622079,2705.82657385253
"52","VV1_RS00705","VV1038",30,295.065369659604,0.0238414487977904,0.0625265979649108,0.381300911512408,0.70297997736495,0.999932744822066,202.422025838658,348.501932184484,222.266266141885,407.071254473389
"53","VV1_RS00715","VV1036",32,467.252092647147,0.000135883567727741,0.067502730420293,0.00201300846471968,0.998393852709974,0.999932744822066,370.268860928478,563.939490262165,371.285694577922,563.514324820025
"54","VV1_RS00720","VV1035",33,8588.60626049389,0.000184174728728356,0.0766814146339113,0.00240181704533796,0.998083629104155,0.999932744822066,9009.03742948389,8162.86571157567,8997.99514920985,8184.52675170614
"55","VV1_RS00730","VV1033",34,11248.861605885,0.00146719237454112,0.0751703943073592,0.0195182210770641,0.984427701494166,0.999932744822066,12228.3020081167,10211.1066130054,12273.8968217783,10282.1409806396
"56","VV1_RS00765","VV1026",35,463.274368369405,-0.00953153779642226,0.0746939851427941,-0.127607835867917,0.898459329708984,0.999932744822066,432.504204276388,510.080100742745,430.009452393818,480.503716064667
"57","VV1_RS00770","VV1025",36,375.231800768062,0.00444880851188428,0.073316164732555,0.0606797768011021,0.95161423777205,0.999932744822066,409.873170331693,334.245034958755,413.592057735611,343.216940046191
"58","VV1_RS00775","VV1024",37,521.492589294314,-0.000905177364559943,0.0672339743928974,-0.0134630947037331,0.989258329093026,0.999932744822066,631.783030956061,413.450019546138,632.069694340986,408.667612334069
"59","VV1_RS00780","VV1023",38,436.808542157224,0.000191713281151711,0.0709482389685427,0.00270215700824814,0.997843993265989,0.999932744822066,501.025945942269,372.263427560699,501.993413587497,371.95138153843
"60","VV1_RS00790","VV1021",39,809.311045350102,0.00131584409987316,0.0660139681839697,0.0199328132525851,0.984096969150237,0.999932744822066,618.581594488323,994.814606417528,621.335243987543,1002.51273650701
"61","VV1_RS00795","VV1020",40,725.12760792297,0.000148385632335419,0.0724317233197219,0.00204862766664308,0.998365432757298,0.999932744822066,632.411670787858,817.39544094179,630.175379572732,820.527940389498
"62","VV1_RS00805","VV1018",41,298.784259725942,0.00147615411136898,0.0718364548789435,0.0205488162501413,0.983605570547847,0.999932744822066,334.436390516044,261.376449138363,335.925152237168,263.399047012193
"63","VV1_RS00830","VV1013",42,1090.88269488296,0.0019673765689375,0.0733511441384158,0.0268213480791111,0.978602226037091,0.999932744822066,961.818942649526,1211.83626418696,965.469093553814,1224.40647914153
"64","VV1_RS00835","VV1012",43,20020.8096402865,0.000916958546831128,0.0670683435173065,0.0136720023000794,0.989091660288338,0.999932744822066,24448.4316984201,15506.7518825178,24536.4277549471,15591.6272252611
"65","VV1_RS00845","VV1010",44,2416.06944785612,0.000913883578805674,0.0678979675944585,0.0134596602988785,0.989261069103367,0.999932744822066,1907.29324967233,2914.74343281569,1914.52079244942,2927.72031648704
"66","VV1_RS00850","VV1009",45,1190.01867388321,0.000671135285255076,0.0583125050001385,0.0115092857913321,0.990817121294629,0.999932744822066,766.940594792432,1607.86118712387,766.56604288707,1618.70687072948
"67","VV1_RS00865","VV1005",955,119.090749962114,-0.00656421713389281,0.0690486825154207,-0.095066508074601,0.9242620002425,NA,137.043483331763,104.550579655345,132.602033777829,102.166903083517
"68","VV1_RS00885","VV1000",46,559.882291841383,-0.00754588864709743,0.0760713739940743,-0.099194851504657,0.920983562603222,0.999932744822066,554.460331645021,579.780487179642,541.774023720846,563.514324820025
"69","VV1_RS00890","VV0999",47,547.426094450738,-0.00125486791430385,0.0752285949809567,-0.0166807304406191,0.986691319904248,0.999932744822066,580.863204580498,516.416499509736,578.39744257377,514.027231138946
"70","VV1_RS00925","VV0992",48,6182.9764094782,0.00415800315939022,0.069392658670757,0.0599199286932994,0.952219407609938,0.999932744822066,4985.11386615081,7269.43348542999,5059.08330775223,7418.27497857976
"71","VV1_RS00930","VV0991",49,3906.45812406592,-0.00270199103130979,0.0689161400219436,-0.0392069409350183,0.968725399827133,0.999932744822066,4686.5099460472,3172.95168257055,4645.49125001662,3120.87961762932
"72","VV1_RS00935","VV0990",50,10401.9706735015,0.000373923114240736,0.0536041748689984,0.00697563417690049,0.994434294325862,0.999932744822066,14932.7105645077,5840.57556347361,14963.1923544439,5871.40421158088
"73","VV1_RS00945","VV0988",51,655.682111979034,0.0112955037545769,0.071761507407952,0.157403379089627,0.874926950525295,0.999932744822066,546.916653663456,735.022256970912,580.923195598109,759.86634168366
"74","VV1_RS00950","VV0986",52,1583.88406290634,-0.00792395691680811,0.0729895779636121,-0.108562854285286,0.913549224546452,0.999932744822066,1405.01002406646,1810.62594766757,1363.90663314339,1755.99364674795
"75","VV1_RS00975","VV0981",53,1794.42926420911,0.00170687986313786,0.0720020508630464,0.0237059895194441,0.981087128403962,0.999932744822066,1533.25254975307,2043.48860235448,1540.07790659107,2060.89799813782
"76","VV1_RS00985","VV0979",54,821.552470559175,-0.00226624618764521,0.0725620302386747,-0.031231846465582,0.975084642489441,0.999932744822066,720.421247239449,929.866519055874,711.630914607684,924.291201333695
"77","VV1_RS00995","VV0977",55,7945.31129917706,0.000995177837190799,0.0745235067190845,0.0133538782728262,0.989345463363811,0.999932744822066,8746.26597979272,7115.77581533047,8767.52018573886,7151.68321584621
"78","VV1_RS01005","VV0975",56,25162.3584759006,0.000314103251636604,0.0757945365569692,0.00414414106748334,0.996693463288827,0.999932744822066,23261.5596959872,27035.8294390572,23263.4482306799,27088.5965378782
"79","VV1_RS01020","VV0971",57,24030.9955303383,0.00149745718651704,0.072829509059913,0.0205611325113445,0.983595745668945,0.999932744822066,27184.9008862327,20739.0331643603,27302.127316599,20897.9207541613
"80","VV1_RS01080","VV0959",58,8513.72953048018,-0.00665015401444829,0.0594618288655648,-0.111839042648409,0.910951030143751,0.999932744822066,11678.2421552943,5702.75889029156,11126.573510472,5547.34356586285
"81","VV1_RS01085","VV0958",59,34762.4830603649,0.0015296952692678,0.0714323506294553,0.0214146007486562,0.982914926523629,0.999932744822066,40117.2795059622,29193.3732192175,40307.2296389236,29432.0498773564
"82","VV1_RS01110","VV0953",60,3864.43265348578,0.0350660800737391,0.074536537977932,0.470454907418977,0.638030043416966,0.999932744822066,4086.78754651279,3152.35838657783,4350.60958442497,3867.97509642754
"83","VV1_RS01115","VV0952",61,5823.40217533825,-0.0167045933706745,0.0616215450894801,-0.271083650148952,0.786326696216014,0.999932744822066,4106.9040211303,8099.50172390576,3985.00683415181,7102.19612216513
"84","VV1_RS01155","VV0942",62,2033.16223810039,-0.00486317699592991,0.0596912370292039,-0.0814722099585674,0.935066424632208,0.999932744822066,2741.49830646705,1386.0872302792,2684.875464873,1320.18795078232
"85","VV1_RS01180","VV0938",63,1162.66600315113,-0.000129084835038928,0.0472401898856275,-0.00273252151084601,0.997819765987617,0.999932744822066,1810.48271557558,516.416499509736,1806.5448506589,517.219946860306
"86","VV1_RS01195","VV0935",64,2377.54938589559,0.000591407804597531,0.0600268399988009,0.00985238944127902,0.992139057754383,0.999932744822066,3157.65787511671,1588.8519908229,3164.13710124144,1599.55057640132
