	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_HS1	YJ016_CMCP6ref_HS2
VV1_RS00065	2147	3236	2431	3538
VV1_RS00070	711	995	711	994
VV1_RS00085	9895	7934	9815	7898
VV1_RS00095	67967	14761	68120	14701
VV1_RS00120	567	294	523	268
VV1_RS00130	122	187	114	180
VV1_RS00135	55	66	55	66
VV1_RS00140	967	154	45	74
VV1_RS00145	85	103	319	176
VV1_RS00150	40	31	39	31
VV1_RS00155	22	36	22	36
VV1_RS00160	201	67	201	67
VV1_RS00165	937	203	927	202
VV1_RS00170	1259	101	1246	101
VV1_RS00180	471	418	471	413
VV1_RS00190	6312	974	6253	964
VV1_RS00195	2265	999	2262	1001
VV1_RS00205	1516	798	1517	797
VV1_RS00210	3678	4040	3671	4016
VV1_RS00230	552	739	548	735
VV1_RS00240	784	806	781	805
VV1_RS00245	567	710	565	723
VV1_RS00255	802	701	796	699
VV1_RS00265	512	305	512	304
VV1_RS00270	728	524	721	520
VV1_RS00285	774	842	771	841
VV1_RS00575	545	553	542	551
VV1_RS00580	229	314	229	314
VV1_RS00590	108	73	109	90
VV1_RS00595	335	499	335	500
VV1_RS00600	2322	3466	2317	3461
VV1_RS00625	3290	1889	3212	1859
VV1_RS00630	6229	1980	5665	1802
VV1_RS00635	479	159	478	158
VV1_RS00650	855	836	853	837
VV1_RS00690	91855	126149	91407	125631
VV1_RS00705	1168	1350	1243	1456
ZNUC	1723	825	1731	808
VV1_RS00715	1097	425	1092	425
VV1_RS00720	9093	5722	9069	5698
VV1_RS00730	16625	5643	16606	5646
VV1_RS00765	1600	1351	1597	1343
VV1_RS00770	251	196	252	198
VV1_RS00775	1662	1156	1658	1149
VV1_RS00780	1459	827	1457	826
VV1_RS00790	2084	494	2084	494
VV1_RS00795	3111	2979	3086	2969
VV1_RS00805	399	437	399	437
VV1_RS00830	4380	20019	4379	20019
VV1_RS00835	35383	8499	35362	8497
VV1_RS00845	6176	1727	6172	1727
VV1_RS00850	3788	3392	3739	3362
VV1_RS00865	185	135	175	129
VV1_RS00885	103608	3548	100947	3504
VV1_RS00890	4824	3760	4716	3705
VV1_RS00925	1764	152	1768	151
