	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2
VV1_RS00065	2147	3236	4266	1507
VV1_RS00070	711	995	942	283
VV1_RS00085	9895	7934	1889	664
VV1_RS00095	67967	14761	3332	1052
VV1_RS00120	567	294	474	318
VV1_RS00130	122	187	829	124
VV1_RS00135	55	66	564	56
VV1_RS00140	967	154	3800	687
VV1_RS00145	85	103	402	124
VV1_RS00150	40	31	135	59
VV1_RS00155	22	36	110	32
VV1_RS00160	201	67	1037	655
VV1_RS00165	937	203	1435	954
VV1_RS00170	1259	101	1270	743
VV1_RS00180	471	418	16970	4381
VV1_RS00190	6312	974	1019	437
VV1_RS00195	2265	999	1079	564
VV1_RS00205	1516	798	522	288
VV1_RS00210	3678	4040	2179	2037
VV1_RS00230	552	739	167	108
VV1_RS00240	784	806	304	153
VV1_RS00245	567	710	252	89
VV1_RS00255	802	701	252	141
VV1_RS00265	512	305	474	422
VV1_RS00270	728	524	494	338
VV1_RS00285	774	842	799	637
VV1_RS00575	545	553	615	282
VV1_RS00580	229	314	282	107
VV1_RS00590	108	73	146	26
VV1_RS00595	335	499	323	78
VV1_RS00600	2322	3466	1341	760
VV1_RS00625	3290	1889	1600	343
VV1_RS00630	6229	1980	1447	501
VV1_RS00635	479	159	462	170
VV1_RS00650	855	836	1038	450
VV1_RS00690	91855	126149	2802	1714
VV1_RS00705	1168	1350	322	220
ZNUC	1723	825	846	2101
VV1_RS00715	1097	425	589	356
VV1_RS00720	9093	5722	14331	5153
VV1_RS00730	16625	5643	19452	6446
VV1_RS00765	1600	1351	688	322
VV1_RS00770	251	196	652	211
VV1_RS00775	1662	1156	1005	261
VV1_RS00780	1459	827	797	235
VV1_RS00790	2084	494	984	628
VV1_RS00795	3111	2979	1006	516
VV1_RS00805	399	437	532	165
VV1_RS00830	4380	20019	1530	765
VV1_RS00835	35383	8499	38891	9789
VV1_RS00845	6176	1727	3034	1840
VV1_RS00850	3788	3392	1220	1015
VV1_RS00865	185	135	218	66
VV1_RS00885	103608	3548	882	366
VV1_RS00890	4824	3760	924	326
VV1_RS00925	1764	152	7930	4589
VV1_RS00930	3438	105	7455	2003
VV1_RS00935	2506	909	23754	3687
VV1_RS00945	17275	2046	870	464
VV1_RS00950	4666	5487	2235	1143
VV1_RS00975	2886	2603	2439	1290
VV1_RS00985	4052	4456	1146	587
VV1_RS00995	32107	40790	13913	4492
VV1_RS01005	11250	13471	37003	17067
VV1_RS01020	44482	33105	43244	13092
VV1_RS01080	4881	4611	18577	3600
VV1_RS01085	20416	18267	63816	18429
VV1_RS01110	6599	6102	6501	1990
VV1_RS01115	6337	4492	6533	5113
VV1_RS01155	2050	845	4361	875
VV1_RS01180	278	206	2880	326
VV1_RS01195	3974	5823	5023	1003
VV1_RS01200	4731	3029	5390	1532
VV1_RS01210	1409	530	1342	389
VV1_RS01235	1991	641	156	57
UBIF	419	318	287	88
VV1_RS01330	2598	1158	1856	576
VV1_RS01335	2555	1521	2228	674
VV1_RS01345	2949	2870	2187	546
VV1_RS01390	379	252	238	94
VV1_RS01395	585	461	701	173
VV1_RS01400	2668	1910	1154	634
VV1_RS01415	2699	2505	920	219
VV1_RS01435	2002	272	619	331
VV1_RS01440	4444	378	852	269
VV1_RS01460	333	353	221	56
VV1_RS01470	228	341	281	79
VV1_RS01485	776	908	399	164
VV1_RS01490	5300	5132	10709	2439
VV1_RS01495	9970	5696	117199	54166
VV1_RS01505	64	44	52	14
VV1_RS01510	5572	2280	348	132
VV1_RS01520	3748	1533	310	172
VV1_RS01525	3374	1332	209	109
VV1_RS01530	1268	598	768	305
VV1_RS01540	4455	3076	5934	2173
VV1_RS01550	3473	427	3380	1351
VV1_RS01555	4040	912	2641	1237
VV1_RS01565	318	256	142	64
VV1_RS01580	13162	5461	9313	2475
VV1_RS01585	785	950	1513	230
VV1_RS01625	162	274	59	26
VV1_RS01630	4787	1990	790	518
VV1_RS01640	4343	9910	18637	4608
VV1_RS01655	6014	6810	1346	366
VV1_RS01660	3020	1289	582	255
VV1_RS01670	1909	1203	599	165
VV1_RS01675	1272	890	1444	398
VV1_RS01685	3414	1077	1222	309
VV1_RS01715	63625	7785	464	209
VV1_RS01730	380	213	396	169
VV1_RS01745	177	76	349	70
VV1_RS01760	22561	3804	10481	4755
VV1_RS01955	2526	2474	3455	2015
VV1_RS01975	47	44	64	34
VV1_RS01985	98	49	92	53
VV1_RS01990	33	67	62	20
VV1_RS01995	1156	758	697	292
VV1_RS02000	150	106	63	23
VV1_RS02005	229	280	1216	276
VV1_RS02010	1314	882	38035	8463
VV1_RS02015	1223	535	1075	441
VV1_RS02020	382	10237	1631	449
VV1_RS02025	1329	2074	244937	119125
VV1_RS02035	261	386	2148	625
VV1_RS02045	2274	760	864	245
VV1_RS02060	3233	1214	6920	3986
VV1_RS02065	403	379	1105	487
VV1_RS02075	2282	1953	742	382
VV1_RS02080	3332	2646	938	422
VV1_RS02095	9927	6252	6226	2515
VV1_RS02100	455	281	186	60
VV1_RS02110	3682	5290	2520	928
VV1_RS02145	1301	1721	11570	4177
VV1_RS02155	1359	730	1335	217
VV1_RS02160	434	213	318	409
VV1_RS02190	517	285	1097	474
VV1_RS02200	4261	6500	3399	4082
VV1_RS02205	7318	17771	2562	4836
VV1_RS02210	3805	2527	1154	557
VV1_RS02215	23748	4458	13187	3933
VV1_RS02225	2864	1511	22948	7199
VV1_RS02240	148	214	444	146
VV1_RS02250	1446	1530	1314	588
VV1_RS02255	2699	2019	2080	853
VV1_RS02265	5986	2171	3869	1861
VV1_RS02270	4046	1706	22229	5622
VV1_RS02275	4535	2155	13434	3472
VV1_RS02280	781	371	736	238
VV1_RS02290	5113	2733	4366	1030
VV1_RS02300	1285	459	643	149
VV1_RS02345	402974	21907	4289	1357
VV1_RS02360	4438	3629	2505	1191
PHEA	767	1127	384	140
VV1_RS02385	13143	13810	4789	2050
VV1_RS02390	5157	5026	10400	1575
VV1_RS02400	553	325	837	344
VV1_RS02410	32918	25106	1430	1240
VV1_RS02415	1196	1387	159	124
VV1_RS02425	2544	2932	2352	848
VV1_RS02440	24449	2054	1213	260
VV1_RS02445	1000	492	489	151
VV1_RS02450	330	220	115	42
VV1_RS02480	975	1453	1274	728
VV1_RS02500	71	85	347	107
VV1_RS02505	1277	1753	2548	945
VV1_RS02515	1190	741	373	232
VV1_RS02520	1149	679	411	160
VV1_RS02525	8930	6173	3297	1715
VV1_RS02535	606	1023	2881	935
VV1_RS02545	1314	4279	2198	1526
VV1_RS02555	31815	29499	11728	4102
VV1_RS02565	2458	3869	974	325
VV1_RS02570	1976	1321	456	391
VV1_RS02575	2364	1350	1089	430
VV1_RS02590	70	109	158	42
VV1_RS02595	342	298	239	108
VV1_RS02600	686	490	294	149
VV1_RS02605	5944	3257	1217	990
VV1_RS02610	620	340	517	245
