"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","YJ016_HS1","YJ016_HS2","YJ016_ASW1","YJ016_ASW2"
"1","VV1_RS09870",422880.437033142,-6.45339077754305,0.0787082678309876,-81.9912692196528,0,0,9357.12113860165,9693.42734019716,807718.51608345,864752.683570319
"2","VV1_RS13930",131965.486395472,-7.62898079172331,0.210877893676521,-36.1772429471716,1.38804840059178e-286,8.73082443972228e-284,1320.26180393986,1291.12154503096,271698.763724346,253551.798508573
"3","VV1_RS09865",265095.06951189,-6.52204384619181,0.225596399837553,-28.9102301760497,8.87974575783114e-184,3.72357338778386e-181,4901.84524576935,6338.15026442912,613375.289793549,435764.992743811
"4","VV1_RS09860",227308.480294622,-7.23871232900772,0.275044274686502,-26.3183530624605,1.18244431193632e-152,3.71878736103973e-150,2177.28603648157,3653.01808086333,415015.720361582,488387.896699562
"5","VV1_RS13935",30469.2648251741,-7.88435374885181,0.384910401067984,-20.4836079434997,3.01479200544811e-93,7.58521668570746e-91,240.994658583446,244.93067391631,61752.9465010999,59638.1874670967
"6","VV1_RS02025",113484.10976314,-7.24150001698541,0.41239339438155,-17.5596896449934,5.01486586676994e-69,1.0514502100661e-66,923.002597283574,1888.42460112426,204607.121503414,246517.890350737
"7","VV1_RS06895",128533.227969821,-4.35876167417712,0.284977830901499,-15.2950903597961,8.24463161290167e-53,1.48167808129004e-50,9652.28750718368,13864.5329803853,249716.63606555,240899.455326164
"8","VV1_RS07260",21343.8349526443,-7.17857499109882,0.489889597445398,-14.653454632498,1.2803667092486e-48,2.01337665029343e-46,213.214294481608,325.967216587505,50701.3200931249,34134.8382063833
"9","VV1_RS10710",1660.14420295446,5.56321447657951,0.389711386133528,14.2752166719434,3.12315609603825e-46,4.36547818757346e-44,2895.40844851409,3612.95507100341,65.9923270015136,66.2209652988339
"10","VV1_RS11070",1890.83426282292,-5.79509751140592,0.406499950123755,-14.2560841880587,4.10871232558427e-46,5.16876010558502e-44,52.7826917934926,75.573404963025,4059.7811294602,3375.19982507494
"11","VV1_RS07510",98122.3702447934,-3.63006952359253,0.255927957377052,-14.18395067423,1.1517564403796e-45,1.31719054727049e-43,14284.6632211652,14744.0981514008,172177.322530595,191283.397076013
"12","VV1_RS12590",7890.02563379172,-5.26741542127127,0.374125652058491,-14.0792682679983,5.09344446595795e-45,5.33962761514592e-43,369.478842554448,402.451144501892,17001.7953349596,13786.377213151
"13","VV1_RS09465",54169.2001920243,-5.16637959606919,0.378857261680848,-13.636744279753,2.42131386130584e-42,2.34308679809442e-40,2422.44774968029,3249.65641341008,113819.221813471,97185.4747915355
"14","VV1_RS07095",9311.28873200446,-5.94385551538766,0.449010820249554,-13.2376665490692,5.3175403518593e-40,4.77818983045643e-38,308.362041530404,254.035903429927,22573.5525640747,14109.2044189828
"15","VV1_RS08670",3579.96196256365,-4.45163891516198,0.338751887134415,-13.1412962827144,1.90927682771559e-39,1.60124683284414e-37,309.05655063295,302.2936198521,6283.47194563779,7425.02573413175
"16","VV1_RS05845",1043.89704366777,-4.84828863502292,0.374270066050825,-12.9539845015672,2.23068458800993e-38,1.7538757573228e-36,63.8948374342279,71.931313157578,1672.36251464595,2367.39950943331
"17","VV1_RS11275",6005.01688823528,-5.64609354112377,0.442668883699549,-12.7546655051452,2.93632448713303e-37,2.17288012047844e-35,252.106804224182,193.941388640052,9137.8489249311,14436.1704351458
"18","VV1_RS12685",2360.77895885255,-5.37997766528644,0.430523344306056,-12.4963668902977,7.81415640201012e-36,5.46122708540485e-34,89.5916742284282,122.010075482474,3681.36943159076,5550.14465410852
"19","VV1_RS08145",17690.0281710582,-4.94162014810108,0.402320024380735,-12.2828093274935,1.12038986819186e-34,7.41816028518613e-33,1094.54634561243,1054.3855776769,38846.9262642834,29764.2544966603
"20","VV1_RS12720",911.668774447585,-5.06596962636492,0.417055521725145,-12.1469908980214,5.95160047760163e-34,3.74355670041143e-32,40.9760370502114,61.0050377412371,2120.94326907396,1423.75075392493
"21","VV1_RS08240",31777.9490722315,-6.34405464503747,0.531746314139066,-11.930603892025,8.19766288525117e-33,4.91079043316475e-31,492.406953705082,926.001841534897,51126.5111620334,74566.8763316526
"22","VV1_RS05875",12609.7146058112,-7.43021652168143,0.626382763925592,-11.8621024549201,1.86239046252491e-32,1.06494872811651e-30,109.037929099715,142.952103363794,12635.4422560113,37551.42613477
"23","VV1_RS09855",1616.47960900726,-4.09590395424231,0.345642437051362,-11.8501188372123,2.14885859432684e-32,1.17533222246224e-30,185.43393037977,163.894131245114,3219.42314258017,2897.16723182398
"24","VV1_RS10640",2627.61151310982,-3.83827461666195,0.327252364990975,-11.7287910715872,9.0745456604241e-32,4.75657435033897e-30,352.810624093345,321.414601830697,4915.17534274565,4921.04548376959
"25","VV1_RS00180",5987.39913201652,-4.97559113036934,0.425835149393706,-11.6843129024306,1.53314337640806e-31,7.71477747008538e-30,327.113787299145,380.59859366921,14175.8201166542,9066.06403044348
"26","VV1_RS08460",3689.06287630421,3.86037361463996,0.336033683723671,11.4880555183106,1.51483279740736e-30,7.32946022745563e-29,6426.98723496027,7397.08845686283,468.629056301888,463.546757091837
"27","VV1_RS12690",9816.79043044549,-4.95353993971212,0.437691139220258,-11.3174325359586,1.07576492469794e-29,5.0122676861852e-28,502.130081140726,672.876461056331,22542.6447653525,15549.5104142324
"28","VV1_RS08270",1187.60743213124,-5.56474036661433,0.49443404810446,-11.2547677247313,2.19403377937985e-29,9.85748033735662e-28,49.3101462807628,42.7945787140021,3155.93685331289,1502.38815021729
"29","VV1_RS08320",12211.9228664897,-4.74735674068726,0.423523308124413,-11.2091982887815,3.67506970206222e-29,1.5942198914463e-27,747.291794339448,938.749162853961,27570.5918061387,19591.0587026269
"30","VV1_RS09105",197840.376225805,-1.67537623813914,0.149792978377581,-11.1846112967728,4.85026078078512e-29,2.03387602074256e-27,92007.176887083,96428.0226410145,302994.99829538,299931.307079743
"31","VV1_RS10580",868.343648112899,-3.54266122109927,0.31713432484197,-11.1708539366232,5.66337719682876e-29,2.29823500439051e-27,140.985347816829,129.294259093368,1740.02553347029,1463.06945207111
"32","VV1_RS07515",132891.24663887,-4.7138058505227,0.422448229367935,-11.1583041964112,6.52238218003947e-29,2.56411149452802e-27,6649.92465687752,12119.9710055762,184473.614346573,328321.476546453
"33","VV1_RS07090",8326.38104809819,-5.42626032686179,0.49000545640059,-11.0738773537773,1.6797212238276e-28,6.40330090780339e-27,301.416950504945,410.645851064148,20961.3349550504,11632.1264357733
"34","VV1_RS11190",811.794283585869,4.03609494290561,0.366789223823431,11.0038536596935,3.66142823237422e-28,1.35472844597846e-26,1277.20223958201,1788.26707647447,92.7233961666837,88.9844221203081
"35","VV1_RS06720",13126.3185660358,-5.16295813210462,0.470723060571076,-10.9681436168455,5.43773453586105e-28,1.95447715603234e-26,531.299463447656,820.381179176934,30358.1411125191,20795.4525089994
"36","VV1_RS01495",55525.9250385334,-4.07708711552573,0.372406507301361,-10.9479481039961,6.79698668020496e-28,2.37516923436051e-26,6924.25575238317,5186.33873095651,97901.7054715239,112091.40019927
"37","VV1_RS08580",1808.86814763017,-4.05575236389817,0.373820175030259,-10.8494742520782,2.00575726825811e-27,6.81957471207757e-26,170.154730123759,230.362306694522,3478.38037511775,3356.57517858464
"38","VV1_RS03520",1406.55101994371,-4.73934846507028,0.43906651977634,-10.7941467900684,3.66854008711747e-27,1.2144798498931e-25,87.5081469207904,107.441708260686,3407.37597264777,2023.87825194561
"39","VV1_RS05225",6428.2875676028,-4.87273533455672,0.457190971019882,-10.6579868007604,1.60023843232376e-26,5.161794738111e-25,460.459534987968,348.730290371549,15535.7632604323,9368.19718461941
"40","VV1_RS12710",1825.19163557562,-4.55409609098701,0.427406536357669,-10.6551858794597,1.64914883201771e-26,5.18657307669568e-25,124.317129355726,162.983608293753,4221.83823627405,2791.62756837897
"41","VV1_RS08395",15447.1484316538,-4.87535731122326,0.466321351560453,-10.4549304785398,1.39100755020921e-25,4.2680182882029e-24,1222.33602048088,714.760516818971,28510.3559564767,31341.1412328387
"42","VV1_RS12430",1821.12128509638,-4.29997802849182,0.424238871705502,-10.1357473708274,3.83430145971128e-24,1.14846458007543e-22,196.546076020505,142.952103363794,4109.9018841449,2835.08507685633
