	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS00065	2147	3236	4981	2184
VV1_RS00070	711	995	939	282
VV1_RS00085	9895	7934	1863	628
VV1_RS00095	67967	14761	3317	1053
VV1_RS00120	567	294	414	277
VV1_RS00130	122	187	803	120
VV1_RS00135	55	66	564	56
VV1_RS00140	967	154	3604	294
VV1_RS00145	85	103	710	565
VV1_RS00150	40	31	132	59
VV1_RS00155	22	36	109	32
VV1_RS00160	201	67	1031	653
VV1_RS00165	937	203	1416	937
VV1_RS00170	1259	101	1261	733
VV1_RS00180	471	418	17043	4454
VV1_RS00190	6312	974	1000	434
VV1_RS00195	2265	999	1078	564
VV1_RS00205	1516	798	521	288
VV1_RS00210	3678	4040	2156	2014
VV1_RS00230	552	739	168	106
VV1_RS00240	784	806	305	151
VV1_RS00245	567	710	257	91
VV1_RS00255	802	701	250	139
VV1_RS00265	512	305	473	418
VV1_RS00270	728	524	495	332
VV1_RS00285	774	842	795	616
VV1_RS00575	545	553	612	278
VV1_RS00580	229	314	282	105
VV1_RS00590	108	73	155	26
VV1_RS00595	335	499	323	77
VV1_RS00600	2322	3466	1331	756
VV1_RS00625	3290	1889	1579	336
VV1_RS00630	6229	1980	1282	464
VV1_RS00635	479	159	463	170
VV1_RS00650	855	836	1035	450
VV1_RS00690	91855	126149	2789	1695
VV1_RS00705	1168	1350	352	255
ZNUC	1723	825	848	2100
VV1_RS00715	1097	425	588	353
VV1_RS00720	9093	5722	14250	5127
VV1_RS00730	16625	5643	19438	6441
VV1_RS00765	1600	1351	681	301
VV1_RS00770	251	196	655	215
VV1_RS00775	1662	1156	1001	256
VV1_RS00780	1459	827	795	233
VV1_RS00790	2084	494	984	628
VV1_RS00795	3111	2979	998	514
VV1_RS00805	399	437	532	165
VV1_RS00830	4380	20019	1529	767
VV1_RS00835	35383	8499	38858	9767
VV1_RS00845	6176	1727	3032	1834
VV1_RS00850	3788	3392	1214	1014
VV1_RS00865	185	135	210	64
VV1_RS00885	103608	3548	858	353
VV1_RS00890	4824	3760	916	322
VV1_RS00925	1764	152	8012	4647
VV1_RS00930	3438	105	7357	1955
VV1_RS00935	2506	909	23697	3678
VV1_RS00945	17275	2046	920	476
VV1_RS00950	4666	5487	2160	1100
VV1_RS00975	2886	2603	2439	1291
VV1_RS00985	4052	4456	1127	579
VV1_RS00995	32107	40790	13885	4480
VV1_RS01005	11250	13471	36842	16969
VV1_RS01020	44482	33105	43238	13091
VV1_RS01080	4881	4611	17621	3475
VV1_RS01085	20416	18267	63834	18437
VV1_RS01110	6599	6102	6890	2423
VV1_RS01115	6337	4492	6311	4449
VV1_RS01155	2050	845	4252	827
VV1_RS01180	278	206	2861	324
VV1_RS01195	3974	5823	5011	1002
VV1_RS01200	4731	3029	5393	1532
VV1_RS01210	1409	530	1342	389
VV1_RS01235	1991	641	167	62
UBIF	419	318	277	80
VV1_RS01330	2598	1158	1862	584
VV1_RS01335	2555	1521	2211	665
VV1_RS01345	2949	2870	2035	500
VV1_RS01390	379	252	237	93
VV1_RS01395	585	461	693	171
VV1_RS01400	2668	1910	1154	631
VV1_RS01415	2699	2505	917	219
VV1_RS01435	2002	272	611	330
VV1_RS01440	4444	378	840	258
VV1_RS01460	333	353	220	56
VV1_RS01470	228	341	243	70
VV1_RS01485	776	908	398	162
VV1_RS01490	5300	5132	10742	2438
VV1_RS01495	9970	5696	113877	52053
VV1_RS01505	64	44	52	14
VV1_RS01510	5572	2280	348	133
VV1_RS01520	3748	1533	307	171
VV1_RS01525	3374	1332	210	112
VV1_RS01530	1268	598	731	293
VV1_RS01540	4455	3076	5948	2175
VV1_RS01550	3473	427	3348	1332
VV1_RS01555	4040	912	2613	1212
VV1_RS01565	318	256	141	62
VV1_RS01580	13162	5461	8595	2320
VV1_RS01585	785	950	1517	233
VV1_RS01625	162	274	98	42
VV1_RS01630	4787	1990	790	518
VV1_RS01640	4343	9910	18627	4604
VV1_RS01655	6014	6810	1322	364
VV1_RS01660	3020	1289	589	263
VV1_RS01670	1909	1203	597	165
VV1_RS01675	1272	890	1198	310
VV1_RS01685	3414	1077	1280	338
VV1_RS01715	63625	7785	458	199
VV1_RS01730	380	213	389	165
VV1_RS01745	177	76	372	70
VV1_RS01760	22561	3804	14792	5758
VV1_RS01955	2526	2474	3450	2009
VV1_RS01975	47	44	62	34
VV1_RS01985	98	49	83	50
VV1_RS01990	33	67	75	24
VV1_RS01995	1156	758	704	289
VV1_RS02000	150	106	79	31
VV1_RS02005	229	280	1208	275
VV1_RS02010	1314	882	37960	8434
VV1_RS02015	1223	535	1031	432
VV1_RS02020	382	10237	1617	442
VV1_RS02025	1329	2074	244928	119114
VV1_RS02035	261	386	2147	625
VV1_RS02045	2274	760	857	246
VV1_RS02060	3233	1214	6840	3977
VV1_RS02065	403	379	1093	477
VV1_RS02075	2282	1953	730	376
VV1_RS02080	3332	2646	938	422
VV1_RS02095	9927	6252	6210	2513
VV1_RS02100	455	281	186	59
VV1_RS02110	3682	5290	2520	928
VV1_RS02145	1301	1721	10733	3598
VV1_RS02155	1359	730	1289	233
VV1_RS02160	434	213	324	425
VV1_RS02190	517	285	1093	471
VV1_RS02200	4261	6500	3206	3469
VV1_RS02205	7318	17771	2738	5113
VV1_RS02210	3805	2527	1038	513
VV1_RS02215	23748	4458	13178	3932
VV1_RS02225	2864	1511	21825	7004
VV1_RS02240	148	214	448	145
VV1_RS02250	1446	1530	1310	587
VV1_RS02255	2699	2019	2077	852
