"","Gene","YJ016","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","YJ016_HS1","YJ016_HS2","YJ016_CMCP6ref_ASW1","YJ016_CMCP6ref_ASW2"
"1","CYSJ","VV2967",104,2005.71723335593,-2.92487082889184,0.402945974720341,-7.25871707968246,3.90778857572033e-13,4.72692118101555e-12,435.010929415407,478.824212508765,4276.85187379905,2832.1819177005
"2","FADH","VV1153",868,3031.65100863797,-0.838632807087092,0.605622690454522,-1.38474469385831,0.166130547550743,0.240774457164557,3145.25252435367,1156.69986968114,2757.42192881834,5067.22971169875
"3","FOLP","VV2714",890,577.002886280388,0.495157162168379,0.378143718043055,1.30944172424941,0.190384765728251,0.269105657624876,825.422946509045,525.60588844353,439.746814286036,517.235895882942
"4","GAPA","VV2859",305,1046.30720053012,1.27759952256183,0.307164261295548,4.15933649693883,3.19173398629728e-05,0.00013164594605777,1454.61067880231,1512.60752189072,570.414439102458,647.596162324985
"5","GLNG","VV0196",1071,9225.93374703943,0.684735570501638,1.05237771340326,0.650655712089617,0.515268758129586,0.605236319072847,743.086492991933,22410.257348279,7230.27523984202,6520.11590704473
"6","HFLB","VV2715",1169,26612.0765133197,-0.111242430079155,0.415755141774339,-0.267567178133746,0.789032498060162,0.849104262240962,22971.1843941615,28176.3282291796,30818.294358145,24482.4990717926
"7","MURF","VV0610",1203,712.474290951416,0.0602353805426523,0.342054008904794,0.176099033996172,0.860216139825844,0.899544392270084,640.165926095543,816.386109449811,781.492909959755,611.852218300554
"8","NUDF","VV0584",424,1515.28497157498,1.57536087555289,0.467157705025212,3.37222496516003,0.000745635167230148,0.00221228547258379,1587.03514154233,2972.92964126611,840.963431510819,660.211671980666
"9","PHEA","VV0709",499,544.330180717812,1.31663645495277,0.437787647657394,3.00747739685692,0.00263425713772698,0.00664107310473053,526.267165396872,1033.78330938195,320.805771183908,296.464476908516
"10","POTD","VV1689",1067,986.315278755206,0.284905494478212,0.423885323912118,0.672128706530259,0.501501762794511,0.591273868411897,1158.88558325335,1012.68569082314,1145.01694310288,628.672897841463
"12","RELA","VV2821",558,5190.94766395149,1.08725832202396,0.408573621168475,2.66110748636811,0.00778840898092537,0.0175588145125522,5600.93725050152,8560.12940829846,3146.07435134924,3456.64964565674
