	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
thrA	18353	12023	7733	7707	516	392	23888	36739	17775	10338	120	173	25950	39824	19203	11206	121	179	17286	11327	7264	7226	485	369
thrB	5999	3822	2660	2674	291	226	7296	11378	5658	3157	141	159	7781	12128	6026	3377	150	162	5651	3624	2524	2509	279	218
thrC	10508	6982	4664	4889	418	342	12906	19668	9436	5351	152	180	13577	20772	9930	5701	160	193	9911	6572	4403	4614	384	329
yaaA	471	329	373	299	132	141	620	907	590	357	16	15	619	904	593	357	16	15	471	328	368	297	132	141
yaaJ	56	39	63	51	56	37	73	119	115	67	25	21	74	122	116	67	26	21	55	39	62	49	55	36
talB	4437	2099	3420	3203	2119	2186	7174	8351	7017	4062	184	180	7324	8561	7185	4166	189	186	4339	2030	3328	3126	2074	2133
htpY	20	14	23	22	36	44	24	40	37	18	10	10	29	48	43	21	10	11	19	13	20	19	28	39
dnaK	12813	8992	11029	10408	38708	31936	26198	43222	28624	18092	2576	2710	27578	45536	30091	19089	2666	2810	12521	8788	10842	10218	38127	31379
dnaJ	2247	1567	1931	1802	3575	2924	3588	5684	4342	2685	383	451	3830	6044	4609	2820	395	466	2305	1621	1998	1869	3706	3031
nhaA	722	584	509	446	1313	1120	521	723	824	424	478	624	531	738	838	438	490	634	696	568	497	433	1278	1096
nhaR	237	195	190	155	83	56	292	371	341	204	27	33	300	374	343	205	28	34	237	193	189	153	83	56
ribF	1870	1221	1544	1257	424	345	2342	3364	2591	1453	55	61	2406	3446	2654	1478	55	62	1816	1181	1487	1215	411	333
ileS	7749	5378	5972	5433	1813	1351	7737	12463	9070	5249	143	182	8183	13273	9661	5544	153	193	7253	5063	5603	5064	1695	1266
ispH	1065	728	917	796	170	96	1122	1661	1268	740	14	20	1291	1935	1456	850	15	24	901	610	778	668	145	85
rihC	87	49	325	285	80	83	63	68	249	119	7	9	79	82	311	147	7	12	74	41	265	222	68	69
dapB	4138	2461	912	940	199	177	5364	7431	2107	1071	29	40	5836	8153	2292	1178	32	43	3662	2173	822	822	176	157
carA	4552	3110	2259	1927	30	22	6188	9296	5279	2599	11	20	6490	9733	5545	2739	11	21	4367	2989	2165	1825	29	22
carB	10986	7394	5096	4789	105	81	13288	21786	11292	5856	52	57	15231	24948	12812	6571	60	65	9790	6566	4583	4272	96	69
caiD	38	28	39	37	15	15	18	18	13	11	1	1	12	16	14	10	1	1	33	25	33	29	9	10
caiB	29	27	29	21	20	22	74	89	56	33	6	3	77	95	61	34	6	3	26	27	28	19	19	21
caiA	63	77	90	45	32	38	126	190	175	99	17	22	126	192	175	99	17	22	63	77	90	45	32	38
caiT	11	4	9	6	12	6	6	12	17	11	0	1	6	12	17	11	0	1	11	4	9	6	12	6
fixA	14	10	34	31	5	8	12	19	13	10	1	0	12	20	15	11	1	0	13	9	33	31	5	8
fixB	12	10	26	27	6	8	13	30	18	13	1	0	13	30	18	13	1	0	12	10	26	27	6	8
fixC	18	10	25	18	7	3	29	38	58	26	1	1	34	42	61	29	1	1	17	10	23	17	7	3
yaaU	3	10	13	12	10	7	11	27	39	20	1	2	11	28	40	21	1	2	3	10	13	12	10	7
kefC	178	136	243	207	106	89	231	385	383	190	19	12	231	387	384	191	19	12	178	136	243	207	106	89
apaH	313	206	286	212	48	33	250	448	436	233	27	39	290	497	475	257	29	47	280	188	260	188	44	32
ksgA	727	455	692	611	151	116	1060	1549	1265	685	187	181	1092	1595	1310	708	194	189	704	448	672	593	146	115
surA	3526	2423	4656	4226	1267	971	4142	6313	5239	2929	508	567	4183	6376	5295	2968	511	568	3487	2400	4603	4184	1259	961
imp	4285	3011	5115	4536	1877	1379	6567	8574	8029	4671	1096	1145	6577	8590	8035	4679	1097	1146	4284	3008	5108	4530	1877	1379
djlA	320	195	282	200	153	84	570	821	614	270	11	13	623	891	669	302	13	13	308	189	263	188	150	82
rluA	140	94	72	73	51	33	194	270	199	125	27	34	217	285	214	141	28	34	135	89	71	70	51	33
hepA	669	469	285	279	126	100	1009	1314	972	620	45	45	1015	1318	976	622	45	45	668	468	285	278	126	98
polB	109	59	96	82	128	121	142	244	278	130	22	23	151	261	303	146	24	31	100	50	87	76	115	115
araD	3	7	29	29	25	20	6	10	25	9	10	8	6	11	26	11	12	10	3	6	28	29	25	20
araA	42	20	166	149	185	115	31	43	106	61	63	57	36	46	114	68	69	62	42	19	153	134	170	103
araC	377	280	1380	1103	915	795	346	499	1388	589	248	316	362	530	1453	622	255	324	366	274	1349	1073	879	777
yabI	180	165	473	392	345	240	175	301	456	203	89	93	200	341	521	231	97	101	168	141	425	341	311	211
thiQ	148	117	105	95	11	12	135	236	147	76	5	4	237	350	222	126	5	5	100	82	73	70	11	10
tbpA	638	373	406	338	30	26	389	547	343	216	4	7	542	784	497	311	6	9	458	285	286	258	28	21
setA	319	241	659	538	264	176	375	527	486	269	26	31	376	528	487	270	26	31	317	241	655	533	264	176
leuD	2902	1727	2258	2037	257	183	3989	5395	5825	3449	78	79	4013	5416	5847	3469	78	80	2889	1722	2249	2028	257	183
leuC	4807	2764	3221	2907	202	183	5273	7501	8045	4702	78	70	5860	8271	8864	5137	85	72	4483	2569	3021	2718	182	171
leuB	4326	2441	2973	2688	249	210	3871	5572	5740	3532	69	68	4498	6431	6644	4128	75	71	3825	2147	2640	2352	224	186
leuA	4087	2444	3664	4258	353	284	6361	8387	9611	5677	70	64	6919	9120	10466	6214	79	65	3785	2275	3420	4036	321	265
leuO	60	44	395	344	254	149	65	114	124	77	13	18	68	117	127	79	14	18	56	40	381	336	240	143
ilvI	4607	3074	4333	3966	499	420	5253	7608	4749	2695	28	34	5505	8023	4993	2857	28	35	4367	2900	4097	3774	481	402
fruR	1377	977	3405	3152	2007	1479	1291	1884	2650	1314	207	231	1318	1944	2730	1365	219	234	1319	938	3300	3050	1948	1434
mraW	1384	945	1224	1032	1073	916	1521	2319	1736	921	71	99	1538	2350	1753	934	72	100	1365	932	1215	1023	1064	908
ftsI	1107	803	1102	858	620	515	1458	2017	1676	905	42	59	1499	2070	1720	930	42	60	1079	790	1081	844	609	505
murE	1888	1208	1364	1164	533	329	1634	2655	1778	1001	40	39	1677	2747	1855	1032	41	39	1814	1158	1316	1109	509	311
murF	1392	953	1043	823	333	256	1500	2169	1492	785	27	23	1504	2176	1498	788	27	23	1382	949	1035	819	332	256
mraY	1063	734	948	818	447	289	861	1272	852	462	32	22	893	1317	895	483	32	22	1029	710	922	793	428	281
murD	1637	1142	1451	1295	540	380	1049	1629	1260	652	14	23	1555	2427	1820	971	24	38	1138	759	991	893	378	263
ftsW	1354	1051	1367	1084	460	334	1338	1946	1498	776	25	34	1385	2004	1527	805	25	34	1327	1031	1337	1063	450	327
murG	1078	726	957	890	310	217	1115	1567	1291	663	24	18	1141	1610	1333	687	24	20	1021	698	919	864	294	206
murC	1757	1199	1494	1327	374	276	1620	2362	1772	909	25	29	1692	2468	1865	946	25	30	1683	1137	1432	1264	357	263
ddlB	1198	863	1459	1257	727	505	1594	2287	1999	1048	110	123	1666	2380	2058	1084	111	124	1170	837	1425	1226	714	495
ftsQ	1193	905	1356	1156	768	507	1709	2340	2129	1101	172	162	1752	2438	2203	1144	175	166	1166	883	1324	1118	741	494
ftsA	2939	2166	3017	2681	1343	952	4693	6407	5612	2861	187	223	4768	6535	5713	2915	193	229	2869	2121	2947	2606	1307	930
