Gene	Identity	Score	Length	Mismatches	DE
yeaI	491	2574.0	491	0	1
yeaH	426	2304.0	426	0	1
abrB	344	1718.0	348	4	0
xseA	453	2416.0	456	3	1
speD	264	1421.0	264	0	1
speE	288	1560.0	288	0	1
speB	306	1641.0	306	0	1
speA	657	3537.0	658	1	1
ytfE	219	1169.0	220	1	1
ybcH	292	1551.0	296	4	1
mrcA	849	4543.0	850	1	1
frdA	602	3244.0	602	0	1
frdB	244	1328.0	244	0	1
ytfG	281	1457.0	286	5	0
hchA	280	1502.0	283	3	1
ytfF	317	1619.0	321	4	0
ybhC	425	2252.0	427	2	1
pgpB	254	1301.0	254	0	1
kbaY	286	1529.0	286	0	0
kbaZ	424	2275.0	426	2	1
ucpA	263	1373.0	263	0	1
yeaG	644	3468.0	644	0	1
cmk	227	1168.0	227	0	1
cmr	408	2093.0	410	2	0
upp	208	1076.0	208	0	1
yhbE	321	1642.0	321	0	1
ydgR	499	2594.0	500	1	1
tolQ	230	1203.0	230	0	1
ydgJ	345	1826.0	346	1	1
ydgH	313	1636.0	314	1	0
ycjQ	349	1864.0	350	1	0
tolC	493	2570.0	493	0	1
tolB	429	2248.0	430	1	1
tolA	421	1984.0	421	0	1
ydgA	499	2620.0	502	3	1
ydgG	344	1722.0	344	0	1
ydgD	271	1431.0	273	2	1
entA	245	1284.0	248	3	1
entC	390	2065.0	391	1	1
entB	284	1522.0	285	1	1
cheR	285	1525.0	286	1	0
nei	258	1377.0	263	5	1
cheZ	214	1108.0	214	0	0
cheB	348	1830.0	349	1	0
cmtA	461	2384.0	462	1	0
cheA	650	3404.0	654	4	1
rcsA	205	1078.0	207	2	0
rcsB	216	1113.0	216	0	1
rcsC	931	4988.0	933	2	1
uspE	316	1682.0	316	0	1
gltX	470	2552.0	471	1	1
glk	321	1691.0	321	0	1
gltP	435	2227.0	437	2	1
gltS	400	2035.0	401	1	0
gltI	301	1598.0	302	1	1
gpsA	339	1790.0	339	0	1
gltK	224	1139.0	224	0	1
gltJ	245	1280.0	246	1	1
gltL	241	1273.0	241	0	0
gltA	427	2320.0	427	0	1
gltB	1482	7952.0	1486	4	1
gltD	471	2512.0	472	1	1
ycjG	319	1675.0	321	2	1
yfcH	296	1558.0	297	1	1
maeB	756	3990.0	759	3	1
apaH	279	1491.0	280	1	1
yfeG	346	1871.0	350	4	0
kgtP	432	2253.0	432	0	1
glgA	477	2522.0	477	0	1
yhgF	772	4104.0	773	1	1
sgbE	231	1242.0	231	0	1
yfeH	331	1721.0	332	1	0
yfeO	416	2080.0	418	2	1
yhgA	289	1548.0	292	3	0
yfeR	308	1612.0	308	0	1
yfeT	283	1476.0	285	2	0
yfeU	296	1540.0	298	2	1
sgbU	281	1501.0	286	5	1
yfeX	297	1594.0	299	2	0
yhbX	537	2897.0	541	4	0
fbaB	349	1863.0	350	1	1
fbaA	359	1928.0	359	0	1
rssA	300	1587.0	301	1	1
rssB	336	1756.0	337	1	1
ddlA	364	1930.0	364	0	1
ddlB	305	1587.0	306	1	0
wcaL	403	2146.0	406	3	0
