Gene	Identity	Score	Length	Mismatches	DE
yeaI	1464	1440.0	1476	12	0
yeaH	1276	1260.0	1284	8	0
abrB	1021	969.0	1047	26	0
xseA	1350	1308.0	1371	21	0
speD	792	786.0	795	3	0
speE	867	867.0	867	0	0
speB	892	834.0	921	29	0
speA	1937	1857.0	1977	40	0
ybcH	874	840.0	891	17	0
mrcA	2527	2475.0	2553	26	0
frdA	1798	1776.0	1809	11	0
frdB	731	723.0	735	4	0
hchA	837	807.0	852	15	0
ytfF	940	888.0	966	26	0
pgpB	765	765.0	765	0	0
kbaY	855	843.0	861	6	0
kbaZ	1267	1239.0	1281	14	0
ucpA	779	753.0	792	13	0
yeaG	1911	1863.0	1935	24	0
cmk	677	663.0	684	7	0
upp	621	609.0	627	6	0
yhbE	963	957.0	966	3	0
tolQ	686	672.0	693	7	0
ydgJ	1040	1038.0	1041	1	0
ydgH	942	936.0	945	3	0
ycjQ	1016	942.0	1053	37	0
tolC	1459	1413.0	1482	23	0
tolB	1291	1287.0	1293	2	0
tolA	1266	1266.0	1266	0	0
ydgA	1482	1428.0	1509	27	0
ydgD	806	774.0	822	16	0
entA	735	711.0	747	12	0
entC	1153	1107.0	1176	23	0
entB	851	837.0	858	7	0
cheR	857	849.0	861	4	0
nei	772	732.0	792	20	0
cheZ	645	645.0	645	0	0
cheB	1038	1014.0	1050	12	0
cmtA	1367	1323.0	1389	22	0
cheA	1942	1896.0	1965	23	0
rcsA	618	606.0	624	6	0
rcsB	649	645.0	651	2	0
rcsC	2785	2751.0	2802	17	0
uspE	945	933.0	951	6	0
gltX	1405	1383.0	1416	11	0
glk	955	933.0	966	11	0
gltP	1295	1257.0	1314	19	0
gltS	1196	1176.0	1206	10	0
gltI	896	870.0	909	13	0
gpsA	1001	963.0	1020	19	0
gltK	661	633.0	675	14	0
gltJ	725	693.0	741	16	0
gltL	702	654.0	726	24	0
gltA	1271	1245.0	1284	13	0
gltB	4368	4182.0	4461	93	0
gltD	1400	1362.0	1419	19	0
ycjG	951	921.0	966	15	0
yfcH	868	816.0	894	26	0
maeB	2234	2142.0	2280	46	0
apaH	825	789.0	843	18	0
kgtP	1284	1254.0	1299	15	0
glgA	1432	1428.0	1434	2	0
yhgF	2309	2283.0	2322	13	0
sgbE	678	642.0	696	18	0
yfeH	995	987.0	999	4	0
yfeO	1243	1215.0	1257	14	0
yhgA	864	834.0	879	15	0
yfeR	922	912.0	927	5	0
sgbU	829	765.0	861	32	0
yfeX	897	891.0	900	3	0
yhbX	1617	1599.0	1626	9	0
fbaB	1048	1038.0	1053	5	0
fbaA	1071	1053.0	1080	9	0
rssA	905	903.0	906	1	0
rssB	1005	987.0	1014	9	0
ddlA	1082	1056.0	1095	13	0
ddlB	908	882.0	921	13	0
wcaL	1166	1056.0	1221	55	0
era	879	825.0	906	27	0
holB	997	981.0	1005	8	0
holA	1027	1017.0	1032	5	0
gatY	849	837.0	855	6	0
gatZ	1257	1245.0	1263	6	0
wcaJ	1360	1290.0	1395	35	0
wcaE	738	720.0	747	9	0
gatD	1032	1014.0	1041	9	0
ygiC	1136	1086.0	1161	25	0
ytjC	643	633.0	648	5	0
ytjB	634	612.0	645	11	0
yjiK	856	846.0	861	5	0
eno	1298	1296.0	1299	1	0
ygiQ	2181	2103.0	2220	39	0
smtA	779	765.0	786	7	0
yjiM	1134	1098.0	1152	18	0
amiA	858	834.0	870	12	0
amiC	1225	1167.0	1254	29	0
amiB	1325	1299.0	1338	13	0
glnH	747	747.0	747	0	0
kdpB	2001	1905.0	2049	48	0
kdpE	653	613.0	673	20	0
kdpD	2623	2499.0	2685	62	0
yhiD	647	645.0	648	1	0
carA	1134	1104.0	1149	15	0
adiY	761	759.0	762	1	0
yhiN	1189	1161.0	1203	14	0
hslO	875	867.0	879	4	0
yhiI	1042	990.0	1068	26	0
adiA	2257	2235.0	2268	11	0
adiC	1327	1305.0	1338	11	0
arcA	712	702.0	717	5	0
arcB	2329	2313.0	2337	8	0
yjeJ	865	855.0	870	5	0
yjeH	1245	1221.0	1257	12	0
fadR	718	714.0	720	2	0
fadB	2175	2145.0	2190	15	0
fadA	1150	1122.0	1164	14	0
fadE	2406	2328.0	2445	39	0
fadD	1667	1629.0	1686	19	0
ypdC	844	816.0	858	14	0
ypdB	735	735.0	735	0	0
creB	669	627.0	690	21	0
creC	1391	1323.0	1425	34	0
frsA	1228	1194.0	1245	17	0
ypdF	1062	1014.0	1086	24	0
ypdE	1008	948.0	1038	30	0
fadL	1325	1293.0	1341	16	0
ompW	632	618.0	639	7	0
ompR	716	708.0	720	4	0
fiu	2255	2199.0	2283	28	0
fic	593	573.0	603	10	0
ompF	1088	1086.0	1089	1	0
ompG	896	876.0	906	10	0
ompL	686	672.0	693	7	0
ompN	1127	1113.0	1134	7	0
srlE	959	957.0	960	1	0
srlD	780	780.0	780	0	0
gcvP	2838	2766.0	2874	36	0
gcvT	1091	1083.0	1095	4	0
srlR	767	753.0	774	7	0
gcvA	909	891.0	918	9	0
ftsE	659	639.0	669	10	0
yieK	714	696.0	723	9	0
ftsA	1256	1242.0	1263	7	0
yiiX	577	513.0	609	32	1
ftsN	948	924.0	960	12	0
ftsI	1754	1728.0	1767	13	0
ftsH	1925	1905.0	1935	10	0
ftsW	1233	1209.0	1245	12	0
yieE	745	735.0	750	5	0
ftsQ	827	819.0	831	4	0
hyi	775	771.0	777	2	0
ftsZ	1152	1152.0	1152	0	0
ftsY	1467	1404.0	1497	30	0
ftsX	1035	987.0	1059	24	0
mdh	930	912.0	939	9	0
ybdR	1220	1182.0	1239	19	0
yrfG	668	666.0	669	1	0
fepC	798	762.0	816	18	0
fepB	938	900.0	957	19	0
fepA	2182	2064.0	2241	59	0
fepG	966	912.0	993	27	0
yggW	1120	1086.0	1137	17	0
fepD	986	948.0	1005	19	0
ligA	2003	1977.0	2016	13	0
ligB	1667	1635.0	1683	16	0
aidB	1586	1506.0	1626	40	0
abgA	1301	1281.0	1311	10	0
abgB	1436	1416.0	1446	10	0
ybdK	1097	1053.0	1119	22	0
sfsA	704	702.0	705	1	0
yggS	697	681.0	705	8	0
smf	1106	1068.0	1125	19	0
abgR	901	885.0	909	8	0
abgT	1321	1287.0	1338	17	0
gor	1351	1347.0	1353	2	0
prfA	1072	1050.0	1083	11	0
prfB	1089	1068.0	1099	10	0
prfC	1557	1491.0	1590	33	0
dcuD	1349	1311.0	1368	19	0
dcuA	1295	1281.0	1302	7	0
dcuB	1336	1326.0	1341	5	0
dcuC	1373	1347.0	1386	13	0
nth	634	630.0	636	2	0
sodA	620	618.0	621	1	0
dcuR	712	696.0	720	8	0
dcuS	1612	1572.0	1632	20	0
ybbO	802	786.0	810	8	0
ybbN	847	831.0	855	8	0
oxyR	908	888.0	918	10	0
umuC	1259	1239.0	1269	10	0
ybbY	1281	1239.0	1302	21	0
yphF	963	921.0	984	21	0
ybbW	1420	1350.0	1455	35	0
fixC	1265	1221.0	1287	22	0
fixB	941	939.0	942	1	0
fixA	760	738.0	771	11	0
ybbP	2376	2298.0	2415	39	0
glyS	2033	1959.0	2070	37	0
glyQ	904	888.0	912	8	0
dgt	1511	1497.0	1518	7	0
yphC	1032	972.0	1062	30	0
aqpZ	694	690.0	696	2	0
glyA	1241	1215.0	1254	13	0
trkA	1362	1332.0	1377	15	0
trkH	1435	1401.0	1452	17	0
ynfM	1234	1194.0	1254	20	0
exbB	735	735.0	735	0	0
ynfK	696	696.0	696	0	0
ynfH	845	825.0	855	10	0
ynfG	614	606.0	618	4	0
ynfF	2418	2406.0	2424	6	0
ynfC	711	711.0	711	0	0
puuB	1248	1182.0	1281	33	0
qseB	656	648.0	660	4	0
treC	1639	1605.0	1656	17	0
puuA	1386	1320.0	1419	33	0
puuD	759	747.0	765	6	0
msrA	636	630.0	639	3	0
puuP	1374	1350.0	1386	12	0
treR	926	882.0	948	22	0
mlrA	726	714.0	732	6	0
zitB	942	942.0	942	0	0
ydfG	742	732.0	747	5	0
ydfU	1049	1047.0	1050	1	0
ydgI	1373	1353.0	1383	10	0
obgE	1156	1122.0	1173	17	0
pdhR	765	765.0	765	0	0
pqiB	1641	1641.0	1641	0	0
pqiA	1252	1248.0	1254	2	0
adhP	981	935.0	1004	23	0
ygcQ	859	855.0	861	2	0
yhhN	614	588.0	627	13	0
minC	692	684.0	696	4	0
minD	812	810.0	813	1	0
yhhJ	1105	1065.0	1125	20	0
yhhI	123	109.0	130	7	1
yhhW	686	666.0	696	10	0
yhhT	1033	999.0	1050	17	0
yhhS	1204	1176.0	1218	14	0
adhE	2670	2658.0	2676	6	0
yjdF	623	609.0	630	7	0
yhhZ	1174	1164.0	1179	5	0
chbR	836	822.0	843	7	0
yhfK	2090	2064.0	2103	13	0
yfdE	1142	1134.0	1146	4	0
yfdC	914	876.0	933	19	0
yafT	782	774.0	786	4	0
yhfZ	882	834.0	906	24	0
