"","Gene","Identity.x","Score.x","Length.x","Mismatches.x","DE.x","Identity.y","Score.y","Length.y","Mismatches.y","DE.y","mismatchRatio","X.1","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"1","aaeA",926,912,933,7,0,309,1627,310,1,0,0.007502679528403,1,"aaeA",1751,59.4706085879866,0.00389358457840282,0.0389348494805407,0.100002558899035,0.920342293923221,0.999807467026667,56.9590576212972,60.5673872696796,59.404525903754,60.9514635572158
"2","aaeB",1956,1932,1968,12,0,653,3462,655,2,0,0.00609756097560976,2,"aaeB",1750,51.8202142153942,0.00462745834254014,0.0368491494607801,0.125578430174225,0.900065637995455,0.999807467026667,48.6908073214315,53.2575301854079,49.8231507579872,55.5093685967501
"3","aaeR",919,897,930,11,0,309,1646,309,0,0,0.0118279569892473,3,"aaeR",1752,78.3570593692778,0.00069201153344589,0.0422588630019972,0.0163755360245538,0.986934796557277,0.999807467026667,85.4385864319458,71.0100402472106,86.232376311901,70.747234486054
"4","aapP",745,717,759,14,0,249,1337,252,3,0,0.0184453227931489,4,"yhdZ",1768,90.4397983926381,-0.0156147691112934,0.0448336484274608,-0.348282365120419,0.727628136379536,0.999807467026667,97.3816146428629,89.8068156067663,92.9393389139377,81.6314244069854
"5","aapQ",1174,1158,1182,8,0,392,2005,393,1,0,0.00676818950930626,5,"yhdX",1767,55.1639865440932,0.000951171088524755,0.0376533132464689,0.0252612853030657,0.979846553921713,0.999807467026667,58.7964465768229,51.1689995899017,58.4463883891773,52.2441116204706
"6","aas",2149,2127,2160,11,0,716,3803,719,3,0,0.00509259259259259,6,"aas",1533,990.621973171538,0.0177817733428785,0.061059431946485,0.291220746345351,0.770882496595404,0.999807467026667,978.409618817443,981.609379887911,1002.2118402472,1000.25705373359
"7","aat",705,705,705,0,0,234,1251,234,0,0,0,7,"aat",519,58.2448821209667,0.00596994549568101,0.036862528374332,0.161951601231943,0.871343967231712,0.999807467026667,67.0646968766886,46.9919383988894,69.9440385640975,48.9788546441912
"8","abgA",1301,1281,1311,10,0,432,2285,436,4,0,0.007627765064836,8,"abgA",774,90.2141163491798,0.00931612871856265,0.0446816755188768,0.208499985964646,0.834838593595154,0.999807467026667,82.6825029986572,93.9838767977787,86.232376311901,97.9577092883825
"9","abgB",1436,1416,1446,10,0,476,2573,481,5,0,0.00691562932226833,9,"abgB",773,49.6997460135145,0.00758702016244514,0.0363176434392179,0.208907281529512,0.834520619740013,0.999807467026667,49.6095017991943,46.9919383988894,48.8650132434106,53.3325306125638
"10","abgR",901,885,909,8,0,300,1593,302,2,0,0.0088008800880088,10,"abgR",775,261.550058595748,0.00555931856584453,0.0581042402946532,0.0956783625025058,0.923776026267779,0.999807467026667,259.990537206889,260.022059140521,260.613403964856,265.574234070726
"11","abgT",1321,1287,1338,17,0,444,2260,446,2,0,0.0127055306427504,11,"abgT",772,24.7163190185964,0.0139444200694178,0.0265001163200735,0.526202221190065,0.598747710898478,0.999807467026667,25.72344537736,18.7967753595557,32.576675495607,21.7683798418628
"12","abrB",1021,969,1047,26,0,344,1718,348,4,0,0.0248328557784145,12,"abrB",406,20.1447476176903,-0.00617721651143329,0.0243569493106414,-0.253612077302904,0.799795265292378,0.999807467026667,18.3738895552572,24.0181018483212,15.3302002332268,22.8567988339559
"13","accA",950,930,960,10,0,319,1672,319,0,0,0.0104166666666667,13,"accA",157,3264.1847287391,-0.0110644548904104,0.0583113815259496,-0.189747774805961,0.849506781938493,0.999807467026667,3150.20336424884,3415.79178895038,3110.1143723159,3380.62938944129
"14","accC",1324,1272,1350,26,0,447,2379,449,2,0,0.0192592592592593,14,"accC",1759,6988.44103794388,-0.0197192363160904,0.0590716302748528,-0.333819063810145,0.738516096985274,0.999807467026667,6608.16937854824,7516.62161322679,6471.26077345088,7357.71238654962
