Gene	Identity	Score	Length	Mismatches	DE
VV1_RS08435	307	1625.0	309	2	0
VV1_RS12215	203	1074.0	206	3	0
VV1_RS12865	235	1279.0	239	4	0
VV1_RS08430	365	1958.0	366	1	0
VV1_RS01470	254	1382.0	258	4	0
VV1_RS02915	366	1963.0	367	1	0
VV1_RS12900	249	1338.0	249	0	0
VV1_RS03455	207	1110.0	209	2	0
VV1_RS03450	571	3031.0	571	0	0
VV1_RS07035	329	1776.0	331	2	0
VV1_RS01670	292	1546.0	294	2	0
VV1_RS13830	402	2138.0	404	2	0
VV1_RS03515	302	1632.0	302	0	0
VV1_RS06290	640	3400.0	640	0	0
VV1_RS13840	206	1099.0	211	5	0
VV1_RS01675	375	1975.0	376	1	0
VV1_RS14405	760	4104.0	760	0	0
VV1_RS11285	235	1260.0	235	0	0
VV1_RS00270	393	2089.0	395	2	0
VV1_RS10780	233	1266.0	235	2	0
VV1_RS02570	576	3046.0	579	3	0
VV1_RS05400	197	1041.0	201	4	0
VV1_RS05560	213	1096.0	213	0	0
VV1_RS14030	253	1351.0	257	4	0
VV1_RS12330	272	1452.0	275	3	0
VV1_RS09110	376	1933.0	376	0	0
VV1_RS00835	523	2682.0	523	0	0
VV1_RS13245	288	1519.0	289	1	0
VV1_RS06560	593	3059.0	594	1	0
VV1_RS08320	344	1798.0	346	2	0
VV1_RS13125	255	1350.0	257	2	0
VV1_RS03990	553	2914.0	555	2	0
VV1_RS08325	379	1913.0	383	4	0
VV1_RS08705	526	2703.0	528	2	0
VV1_RS03995	399	2124.0	401	2	0
VV1_RS10610	539	2831.0	541	2	0
VV1_RS08240	560	3001.0	561	1	0
VV1_RS10785	301	1617.0	304	3	0
VV1_RS08980	346	1811.0	346	0	0
VV1_RS08245	242	1284.0	242	0	0
VV1_RS08110	290	1579.0	292	2	0
VV1_RS06720	477	2534.0	479	2	0
VV1_RS09055	230	1229.0	233	3	0
VV1_RS06725	440	2277.0	444	4	0
VV1_RS08115	336	1814.0	337	1	0
VV1_RS14390	895	4710.0	903	8	0
VV1_RS05845	608	3257.0	608	0	0
VV1_RS13340	255	1356.0	255	0	0
VV1_RS08505	445	2365.0	445	0	0
VV1_RS14245	413	2167.0	413	0	0
VV1_RS05840	211	1111.0	211	0	0
VV1_RS03290	240	1287.0	241	1	0
