YJ016	Gene
VV3261	VV1_RS04825
VV1507	VV1_RS13130
VV0936	USHA
VV3230	VV1_RS04975
VV1960	VV1_RS11225
VV1350	HISG
VV1227	VV1_RS14510
VV2965	VV1_RS06680
VV1110	VV1_RS00070
VV0780	VV1_RS02015
VV2716	RRMJ
VV1976	VV1_RS11145
VV2297	VV1_RS10110
VV1474	VV1_RS13300
VV2624	GLPK
VV2363	VV1_RS09810
VV0650	THRA
VV0667	VV1_RS02570
VV2608	VV1_RS08515
VV0067	VV1_RS05285
VV0887	QUEF
VV1646	VV1_RS12600
VV3246	VV1_RS04900
VV2693	VMRA
VV1038	VV1_RS00705
VV0748	SECD
VV2799	VV1_RS07600
VV3006	METF
VV1272	VV1_RS14270
VV1241	VV1_RS14420
VV1010	VV1_RS00845
VV1003	VV1_RS00875
VV3249	GLMU
VV0037	VV1_RS05120
VV1967	VV1_RS11190
VV0727	VV1_RS02270
VV2653	VV1_RS08305
VV1438	VV1_RS13465
VV1431	VV1_RS13500
VV1460	VV1_RS13365
VV2060	VV1_RS10760
VV1727	VV1_RS12225
VV0775	VV1_RS02045
VV2422	VV1_RS09440
VV0239	VV1_RS04120
VV0678	VV1_RS02515
VV3188	VV1_RS04535
VV2003	VV1_RS11015
VV1054	VV1_RS00625
VV3111	FIEF
VV2751	VV1_RS07830
VV2637	VV1_RS08385
VV0766	VV1_RS02090
VV0655	VV1_RS02625
VV3072	VV1_RS06155
VV2691	VV1_RS08115
VV1556	VV1_RS12890
VV2282	VV1_RS10185
VV2106	VV1_RS10535
VV0990	VV1_RS00935
VV1470	VV1_RS13320
VV1679	VV1_RS12455
VV3202	THIH
VV2765	VV1_RS07765
VV1149	VV1_RS14890
VV0035	VV1_RS05110
VV3008	VV1_RS06475
VV1250	NRFA
VV1604	VV1_RS12795
VV1648	VV1_RS12590
VV1395	VV1_RS13665
VV2824	VV1_RS07445
VV0196	GLNG
VV2102	VV1_RS10555
VV2445	VV1_RS09335
VV1433	VV1_RS13490
VV2405	VV1_RS09510
VV1517	VV1_RS13080
VV0395	SECY
VV2947	VV1_RS06790
VV0599	SSPA
VV2301	VV1_RS10090
VV1011	NAGA
VV2810	VV1_RS07510
VV0464	VV1_RS03280
VV2334	VV1_RS09940
VV0479	VV1_RS03210
VV1730	VV1_RS12210
VV3119	VV1_RS05900
VV2170	VV1_RS10380
VV2996	VV1_RS06530
VV2883	TRMB
VV0639	GLTB
VV0914	VV1_RS01345
VV0769	VV1_RS02075
VV0633	VV1_RS02730
VV0197	GLNL
VV1244	VV1_RS14405
VV2651	VV1_RS08315
VV1112	VV1_RS00065
VV0986	VV1_RS00950
VV1972	VV1_RS11165
VV3140	VV1_RS05800
VV1603	VV1_RS12800
VV2709	NUSA
