"","Gene","Identity.x","Score.x","Length.x","Mismatches.x","DE.x","Identity.y","Score.y","Length.y","Mismatches.y","DE.y","mismatchRatio","X.1","IAI1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_starvation1","K12_starvation2"
"1","aaeA",926,912,933,7,0,309,1627,310,1,0,0.007502679528403,1,"aaeA",1712,6.87686920398094,-0.000577905825280587,0.0111648494860284,-0.0517611837046054,0.958718984983555,0.999974208147515,4.26195276073259,9.77083451324117,4.09381613676837,9.38087340518162
"2","aaeB",1956,1932,1968,12,0,653,3462,655,2,0,0.00609756097560976,2,"aaeB",1711,10.4021895222379,-0.000902638906073637,0.0139303922593535,-0.0647963739475866,0.948336128555685,0.999974208147515,8.52390552146519,12.7020848672135,8.18763227353673,12.1951354267361
"3","aaeR",919,897,930,11,0,309,1646,309,0,0,0.0118279569892473,3,"aaeR",1713,13.9709526986281,-0.00122856971164236,0.0162223876421226,-0.0757329770897777,0.939631539399266,0.999974208147515,13.8513464723809,14.6562517698618,13.3049024444972,14.0713101077724
"4","aas",2149,2127,2160,11,0,716,3803,719,3,0,0.00509259259259259,4,"aas",1499,32.4682539695675,-0.00273158098450065,0.0238729876393985,-0.114421413262604,0.908903740141299,0.999974208147515,33.0301338956776,33.22083734502,31.7270750599548,31.8949695776175
"5","aat",705,705,705,0,0,234,1251,234,0,0,0,5,"aat",485,6.87686920398094,-0.000577905825280587,0.0111648494860284,-0.0517611837046054,0.958718984983555,0.999974208147515,4.26195276073259,9.77083451324117,4.09381613676837,9.38087340518162
"6","abgA",1301,1281,1311,10,0,432,2285,436,4,0,0.007627765064836,6,"abgA",739,3.08997047842962,-0.000248728950072954,0.00739422978240509,-0.0336382500128432,0.973165620416994,0.999974208147515,5.32744095091574,0.977083451324117,5.11727017096046,0.938087340518162
"7","abgB",1436,1416,1446,10,0,476,2573,481,5,0,0.00691562932226833,7,"abgB",738,16.6884919532654,0.00832267556189831,0.0176057408914018,0.472725096503204,0.63640931929144,0.999974208147515,13.8513464723809,15.6333352211859,19.4456266496497,17.8236594698451
"8","abgR",901,885,909,8,0,300,1593,302,2,0,0.0088008800880088,8,"abgR",740,9.70046763486477,0.000268913729292779,0.013625724973269,0.019735737351248,0.984254182042268,0.999974208147515,8.52390552146519,10.7479179645653,9.21108630772883,10.3189607456998
"9","abgT",1321,1287,1338,17,0,9,25,31,22,0,0.0127055306427504,9,"abgT",737,3.01652102589564,0.00569356030358152,0.00728960532186637,0.781051929725571,0.43477195281642,0.999974208147515,3.19646457054944,0,5.11727017096046,3.75234936207265
"10","abrB",1021,969,1047,26,0,344,1718,348,4,0,0.0248328557784145,10,"abrB",371,4.78221208085935,0.000722669610408784,0.00968354857294934,0.0746285935331121,0.940510223205059,0.999974208147515,5.32744095091574,3.90833380529647,6.14072420515255,3.75234936207265
"11","accA",950,930,960,10,0,319,1672,319,0,0,0.0104166666666667,11,"accA",123,70.0914535417084,0.00328838039299552,0.0328996069683795,0.0999519658747309,0.920382460074298,0.999974208147515,67.1257559815383,71.3270919466605,70.6183283592543,71.2946378793803
"12","accC",1324,1272,1350,26,0,447,2379,449,2,0,0.0192592592592593,12,"accC",1720,100.585467086628,-0.000137510317050485,0.0372370163877526,-0.00369283928708405,0.997053547244137,0.999974208147515,93.7629607361171,107.479179645653,94.1577711456724,106.94195681907
"13","accD",913,909,915,2,0,304,1603,304,0,0,0.00218579234972678,13,"accD",1238,132.8326577823,-0.00924960777501399,0.0412781747691121,-0.224079863674964,0.822695160567084,0.999974208147515,134.251511963077,136.791683185376,128.955208308204,131.332227672543
"14","aceA",1291,1263,1305,14,0,434,2333,434,0,0,0.010727969348659,14,"aceA",2146,1188.83510953275,0.00285241205730117,0.0564304524380103,0.0505473894690918,0.959686186309177,0.999974208147515,1251.9486234652,1120.71471866876,1258.84846205627,1123.82863394076
"15","aceE",2645,2607,2664,19,0,887,4780,887,0,0,0.00713213213213213,15,"aceE",79,472.107881308896,0.00364345032387239,0.0540871767198205,0.0673625532858925,0.946293079595529,0.999974208147515,458.159921778754,482.679224954114,462.601223454825,484.991155047889
"16","aceF",1864,1806,1893,29,0,630,3204,630,0,0,0.0153195985208664,16,"aceF",80,385.775364642088,0.00105361096249669,0.0521081836771674,0.0202196831312382,0.983868126226759,0.999974208147515,361.200496472087,409.397966104805,365.373090206577,407.129905784882
"17","aceK",1706,1644,1737,31,0,577,3100,578,1,0,0.0178468624064479,17,"aceK",2147,561.964693480731,0.0571699907796602,0.0551008115822376,1.03755260835559,0.299478391301255,0.999974208147515,524.220189570109,542.281315484885,588.486069660453,592.871199207478
"18","ackA",1201,1197,1203,2,0,400,2128,400,0,0,0.00166251039068994,18,"ackA",1226,558.946972296946,0.0383735032502929,0.0542212868573072,0.707720260333908,0.479118993160927,0.999974208147515,573.232646318534,503.19797743192,617.142782617831,542.214482819497
"19","acnA",2644,2580,2676,32,0,889,4748,891,2,0,0.0119581464872945,19,"acnA",700,1783.29704832506,0.00620314665167611,0.0561272035074969,0.110519432004973,0.911997439758705,0.999974208147515,1758.05551380219,1794.9023000824,1760.3409388104,1819.88944060523
"20","acnB",2563,2493,2598,35,0,864,4596,865,1,0,0.0134719014626636,20,"acnB",82,647.671478245445,-0.000315539711141934,0.0540975600299297,-0.00583279007347763,0.995346133242524,0.999974208147515,590.280457361464,705.454251856012,589.509523694645,705.441680069657
"21","acrA",1192,1188,1194,2,0,397,2060,397,0,0,0.0016750418760469,21,"acrA",245,76.4266114316937,-0.00588781415766012,0.0340412458172498,-0.172961183303009,0.862681938949641,0.999974208147515,77.7806378833698,78.1666761059294,74.7121444960227,75.0469872414529
"22","acrB",3126,3078,3150,24,0,1048,5529,1049,1,0,0.00761904761904762,22,"acrB",244,205.526298487046,-0.00657185766041288,0.0446247365141787,-0.147269388544732,0.882919393401235,0.999974208147515,184.329456901685,231.568777963816,180.127910017808,226.079049064877
"23","acrD",3084,3024,3114,30,0,1036,5505,1037,1,0,0.00963391136801541,23,"acrD",1316,12.2855101016639,0.000972780269483032,0.0144757991896577,0.0672004534421864,0.946422124147709,0.999974208147515,7.45841733128204,16.61041867251,8.18763227353673,16.8855721293269
"24","acrF",3075,3015,3105,30,0,1030,5423,1034,4,0,0.00966183574879227,25,"acrF",1725,26.8134762935368,0.00599954837050862,0.0217112012811544,0.27633424299356,0.782291357333254,0.999974208147515,22.3752519938461,28.3354200883994,25.5863508548023,30.9568822370993
"25","acrR",645,639,648,3,0,215,1146,215,0,0,0.00462962962962963,26,"acrR",246,20.847821902609,-0.00175049663913266,0.0192619170504859,-0.0908786303328256,0.9275890304406,0.999974208147515,18.1132992331135,24.4270862831029,17.3987185812656,23.452183512954
"26","acs",1948,1926,1959,11,0,652,3501,652,0,0,0.00561510974987238,27,"acs",2178,3023.98037340492,-0.0227608631853008,0.0558090724791853,-0.407834464437476,0.683395209194283,0.999974208147515,2943.94386947604,3186.26913476795,2861.57747960109,3104.1310097746
