Gene	K12
hyuA	hyuA
ybhG	ybhG
pyrC	pyrC
yidJ	yidJ
ydhV	ydhV
ackA	ackA
dsbA	dsbA
dmsD	dmsD
menC	menC
gpp	gpp
ppsR	ydiA
fabG	fabG
ycfQ	ycfQ
recN	recN
yjiK	yjiK
nrfA	nrfA
alx	alx
ycgR	ycgR
nanT	nanT
glnD	glnD
yihP	yihP
ftsP	sufI
ugd	ugd
yeaX	yeaX
trpB	trpB
nfi	nfi
fabF	fabF
yafJ	yafJ
menD	menD
ypdF	ypdF
proS	proS
malF	malF
ybhH	ybhH
eutH	eutH
ampE	ampE
ydjI	ydjI
yejH	yejH
fucI	fucI
fadE	fadE
nikE	nikE
polB	polB
murD	murD
yfhH	yfhH
frlB	frlB
clpB	clpB
ydaM	ydaM
yncG	yncG
insF1	insF
cysQ	cysQ
wcaC	wcaC
dgcZ	ydeH
pitB	pitB
typA	bipA
fadR	fadR
dtpD	ybgH
insF1	insF
tas	tas
glrK	yfhK
ilvC	ilvC
fabH	fabH
araG	araG
hcp	hcp
ybiR	ybiR
lgoR	yjjM
yfcJ	yfcJ
galR	galR
kdsB	kdsB
glpK	glpK
ydcF	ydcF
yhhT	yhhT
frsA	frsA
emrK	emrK
dacA	dacA
nlpD	nlpD
proC	proC
yegS	yegS
gshA	gshA
ttdR	ygiP
ybbN	ybbN
nrfD	nrfD
dnaB	dnaB
sohB	sohB
yihU	yihU
ribC	ribC
ydjZ	ydjZ
gyrA	gyrA
rcsB	rcsB
glnH	glnH
oppF	oppF
rsmC	rsmC
treB	treB
katG	katG
amn	amn
recD	recD
yhaO	yhaO
truA	truA
deoR	deoR
nirB	nirB
yiaO	yiaO
yphH	yphH
gmk	gmk
prc	prc
thiE	thiE
ydhF	ydhF
spoT	spoT
srlR	srlR
fdoH	fdoH
potH	potH
rsuA	rsuA
citT	citT
minC	minC
sapC	sapC
ydeE	ydeE
cheA	cheA
ygcS	ygcS
yjeJ	yjeJ
gatD	gatD
aceE	aceE
ampH	ampH
gltB	gltB
eutT	eutT
wzzE	wzzE
ybiX	ybiX
sdiA	sdiA
ygjR	ygjR
ychE	ychE
ligA	ligA
yiaN	yiaN
cusB	cusB
dcuR	dcuR
glpT	glpT
treF	treF
hypE	hypE
rlmJ	yhiR
cheB	cheB
oppD	oppD
hscA	hscA
gltL	gltL
ypdA	ypdA
yihG	yihG
agaR	agaR
trmN	yfiC
purM	purM
trpS	trpS
ydiY	ydiY
prpE	prpE
tdk	tdk
cysM	cysM
ybiU	ybiU
mukF	mukF
add	add
mreB	mreB
phnL	phnL
nanR	nanR
serS	serS
purN	purN
csrD	csrD
ydcL	ydcL
bluF	ycgF
ugpE	ugpE
lolE	lolE
tesB	tesB
plaP	yeeF
