"","Gene","Identity.x","Score.x","Length.x","Mismatches.x","DE.x","Identity.y","Score.y","Length.y","Mismatches.y","DE.y","mismatchRatio","X.1","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_starvation1","IAI1_starvation2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"1","aaeA",926,912,933,7,0,309,1627,310,1,0,0.007502679528403,1,"aaeA",1742,43.9375935090174,0.00280749392655645,0.0275757478462381,0.101810255236267,0.91890728544999,0.999740963348521,35.3827735966345,51.1136497884824,36.0161197699135,53.2378308810391
"2","aaeB",1956,1932,1968,12,0,653,3462,655,2,0,0.00609756097560976,2,"aaeB",1741,30.7926435876567,0.000448067482386809,0.0244702101562366,0.0183107329085448,0.985390965279866,0.999740963348521,33.6567846407011,27.7791574937404,35.1157167756657,26.6189154405196
"3","aaeR",919,897,930,11,0,309,1646,309,0,0,0.0118279569892473,3,"aaeR",1743,76.4430615837358,-1.15768545336173e-05,0.0356590207603081,-0.000324654303084607,0.999740963348521,0.999740963348521,78.5324974949693,74.4481420832243,81.0362694823055,71.755337274444
"4","aapP",745,717,759,14,0,249,1337,252,3,0,0.0184453227931489,4,"yhdZ",1759,93.5384404332156,-0.0125873442451779,0.0383510755766868,-0.328213591298328,0.742750172178111,0.999740963348521,100.970353922103,92.2268028792182,91.8411054132795,89.1154995182611
"5","aapQ",1174,1158,1182,8,0,392,2005,393,1,0,0.00676818950930626,5,"yhdX",1758,100.260059046984,0.0027080736622195,0.0392537485661509,0.0689889185399919,0.944998440207423,0.999740963348521,103.559337356003,95.560301778467,103.546344338501,98.3742527149636
"6","aas",2149,2127,2160,11,0,716,3803,719,3,0,0.00509259259259259,6,"aas",1523,114.477662431909,0.00614176541596112,0.0401491562643462,0.152973710718181,0.878419007063985,0.999740963348521,123.408210349238,102.227299576965,126.956822188945,105.31831761249
"7","aat",705,705,705,0,0,234,1251,234,0,0,0,7,"aat",496,30.4918659002011,0.00275940190513323,0.0238563295878272,0.115667495914427,0.90791606780322,0.999740963348521,24.1638453830675,35.5573215919877,25.2112838389395,37.0350127868098
"8","abgA",1301,1281,1311,10,0,432,2285,436,4,0,0.007627765064836,8,"abgA",755,13.8223416880349,5.76124013090336e-05,0.0171466849820091,0.00335997315921314,0.997319134335789,0.999740963348521,12.0819226915337,15.5563281964946,12.6056419194697,15.0454739446415
"9","abgB",1436,1416,1446,10,0,476,2573,481,5,0,0.00691562932226833,9,"abgB",754,20.621257247109,0.00704508933858004,0.0206007130964221,0.3419827898969,0.732363843947512,0.999740963348521,21.5748619491674,16.6674944962442,23.4104778504438,20.8321946925805
"10","abgR",901,885,909,8,0,300,1593,302,2,0,0.0088008800880088,10,"abgR",756,118.545919176491,0.000406120974117333,0.0399897549790124,0.0101556254678348,0.991897122518204,0.999740963348521,103.559337356003,133.339955969954,105.347150326997,131.93723305301
"11","abgT",1321,1287,1338,17,0,9,26,31,22,0,0.0127055306427504,11,"abgT",753,14.5179681982735,0.000258794455503546,0.0157176285006359,0.0164652355470214,0.98686323634122,0.999740963348521,7.76695030170026,21.1121596952427,7.20322395398271,21.9895388421683
"12","abrB",1021,969,1047,26,0,344,1718,348,4,0,0.0248328557784145,12,"abrB",381,18.1479241418299,-0.00437933450307494,0.0195458086050016,-0.224054915894055,0.822714572547573,0.999740963348521,18.1228840373006,20.0009933954931,17.1076568907089,17.3601622438171
"13","accA",950,930,960,10,0,319,1672,319,0,0,0.0104166666666667,13,"accA",131,582.718873753845,-0.0121786993040469,0.0557232882693536,-0.218556723450667,0.826995367411034,0.999740963348521,580.795283671586,596.696302965544,565.453080387642,587.930827990606
"14","accC",1324,1272,1350,26,0,447,2379,449,2,0,0.0192592592592593,14,"accC",1750,779.705573731283,-0.0110114237920242,0.0565006054345356,-0.19489036811796,0.845478774743091,0.999740963348521,779.284013603926,793.372738021226,770.74496307615,775.420580223831
"15","accD",913,909,915,2,0,304,1603,304,0,0,0.00218579234972678,15,"accD",1260,1735.73924571622,0.0302633596680029,0.0567132228072696,0.533620876578428,0.59360386155062,0.999740963348521,1622.42961857739,1778.97724589914,1690.95682319744,1850.5932951909
"16","aceA",1291,1263,1305,14,0,434,2333,434,0,0,0.010727969348659,16,"aceA",2181,2886.36304941452,-0.00491378530500422,0.055644154832668,-0.0883073041504693,0.929632433765396,0.999740963348521,2897.93545701216,2891.2547119485,2884.89119357007,2871.37083512735
"17","aceE",2645,2607,2664,19,0,887,4780,887,0,0,0.00713213213213213,17,"aceE",86,5301.48124680989,0.0587180066091866,0.0548429089804782,1.07065813431027,0.284323173684635,0.999740963348521,5199.54172974934,5060.25132905975,5532.07599665872,5414.05593177176
"18","aceF",1864,1806,1893,29,0,630,3204,630,0,0,0.0153195985208664,18,"aceF",87,4212.2267638805,0.000885910897286974,0.0557452879835709,0.0158921216363268,0.987320455233532,0.999740963348521,4347.76617999621,4072.42448858234,4360.65170114228,4068.06468580114
"19","aceK",1706,1644,1737,31,0,577,3100,578,1,0,0.0178468624064479,19,"aceK",2182,951.107967913658,-0.0277219640131423,0.0562461126217812,-0.492868977444798,0.62210516852513,0.999740963348521,904.418212909097,1040.05165656564,871.590098431908,988.371903747987
"20","ackA",1201,1197,1203,2,0,400,2128,400,0,0,0.00166251039068994,20,"ackA",1248,1373.17640467415,0.0719045882976476,0.0566222136150737,1.26990069279993,0.20412000636752,0.999740963348521,1211.64424706524,1387.84670838727,1347.00287939477,1546.21178384931
