Gene	Identity	Score	Length	Mismatches	DE
VV1_RS08435	921	903.0	930	9	0
VV1_RS12215	617	609.0	621	4	0
VV1_RS12865	710	690.0	720	10	0
VV1_RS08430	1095	1083.0	1101	6	0
VV1_RS01470	754	708.0	777	23	0
VV1_RS02915	1099	1089.0	1104	5	0
VV1_RS12900	741	723.0	750	9	0
VV1_RS03455	622	606.0	630	8	0
VV1_RS03450	1710	1698.0	1716	6	0
VV1_RS07035	974	930.0	996	22	0
VV1_RS01670	875	855.0	885	10	0
VV1_RS13830	1204	1182.0	1215	11	0
VV1_RS03515	899	879.0	909	10	0
VV1_RS06290	1901	1857.0	1923	22	0
VV1_RS13840	607	549.0	636	29	0
VV1_RS01675	1107	1059.0	1131	24	0
VV1_RS14405	2266	2232.0	2283	17	0
VV1_RS11285	704	696.0	708	4	0
VV1_RS00270	1171	1137.0	1188	17	0
VV1_RS10780	702	690.0	708	6	0
VV1_RS02570	1712	1656.0	1740	28	0
VV1_RS05400	598	582.0	606	8	0
VV1_RS05560	638	630.0	642	4	0
VV1_RS14030	738	666.0	774	36	0
VV1_RS12330	809	771.0	828	19	0
VV1_RS09110	1121	1101.0	1131	10	0
VV1_RS00835	1567	1557.0	1572	5	0
VV1_RS13245	858	834.0	870	12	0
VV1_RS06560	1765	1725.0	1785	20	0
VV1_RS08320	988	882.0	1041	53	0
VV1_RS13125	763	741.0	774	11	0
VV1_RS03990	1654	1626.0	1668	14	0
VV1_RS08325	1108	1024.0	1150	42	0
VV1_RS08705	1569	1533.0	1587	18	0
VV1_RS03995	1196	1176.0	1206	10	0
VV1_RS10610	1611	1585.0	1624	13	0
VV1_RS08240	1667	1629.0	1686	19	0
VV1_RS10785	908	894.0	915	7	0
VV1_RS08980	1031	1011.0	1041	10	0
VV1_RS08245	716	690.0	729	13	0
VV1_RS08110	871	855.0	879	8	0
VV1_RS06720	1413	1359.0	1440	27	0
VV1_RS09055	692	672.0	702	10	0
VV1_RS06725	1322	1296.0	1335	13	0
VV1_RS08115	993	951.0	1014	21	0
VV1_RS14390	2674	2593.0	2712	38	0
VV1_RS05845	1789	1713.0	1827	38	0
VV1_RS13340	765	759.0	768	3	0
VV1_RS08505	1327	1305.0	1338	11	0
VV1_RS14245	1236	1224.0	1242	6	0
VV1_RS05840	628	612.0	636	8	0
VV1_RS03290	719	705.0	726	7	0
VV1_RS05025	1109	1059.0	1134	25	0
VV1_RS01400	1170	1146.0	1182	12	0
VV1_RS06680	773	765.0	777	4	0
VV1_RS03295	1260	1248.0	1266	6	0
VV1_RS01155	2601	2496.0	2653	52	0
VV1_RS14360	946	924.0	957	11	0
VV1_RS03420	1331	1269.0	1362	31	0
VV1_RS03355	718	702.0	726	8	0
VV1_RS03425	1016	1014.0	1017	1	0
VV1_RS00975	930	918.0	936	6	0
VV1_RS13565	1578	1548.0	1593	15	0
VV1_RS04380	595	573.0	606	11	0
VV1_RS11165	1104	1080.0	1116	12	0
VV1_RS13560	1299	1269.0	1314	15	0
VV1_RS14320	640	636.0	642	2	0
VV1_RS02925	1331	1257.0	1368	37	0
VV1_RS02500	1142	1128.0	1149	7	0
VV1_RS07005	1276	1260.0	1284	8	0
VV1_RS13445	1647	1617.0	1662	15	0
VV1_RS02505	1141	1125.0	1149	8	0
VV1_RS05495	1160	1104.0	1188	28	0
VV1_RS15060	1204	1182.0	1215	11	0
VV1_RS06755	867	855.0	873	6	0
VV1_RS04260	920	906.0	927	7	0
VV1_RS07605	1130	1128.0	1131	1	0
VV1_RS13725	880	828.0	906	26	0
VV1_RS01085	927	927.0	927	0	0
VV1_RS00065	1324	1308.0	1332	8	0
VV1_RS14235	1011	999.0	1017	6	0
VV1_RS01080	810	771.0	829	19	0
VV1_RS11675	1194	1164.0	1209	15	0
VV1_RS09135	1443	1401.0	1464	21	0
VV1_RS09270	1066	1056.0	1071	5	0
VV1_RS07600	1758	1692.0	1791	33	0
VV1_RS00935	919	903.0	927	8	0
VV1_RS12600	621	615.0	624	3	0
VV1_RS06535	2492	2448.0	2514	22	0
VV1_RS02110	1292	1278.0	1299	7	0
VV1_RS06530	888	864.0	900	12	0
VV1_RS11245	3009	2937.0	3045	36	0
VV1_RS14705	686	672.0	693	7	0
VV1_RS11240	686	678.0	690	4	0
VV1_RS11185	704	684.0	714	10	0
VV1_RS06430	901	867.0	918	17	0
VV1_RS08615	767	765.0	768	1	0
VV1_RS13625	685	663.0	696	11	0
VV1_RS07205	801	765.0	819	18	0
VV1_RS12645	1031	987.0	1053	22	0
VV1_RS08610	1237	1221.0	1245	8	0
VV1_RS01235	939	927.0	945	6	0
VV1_RS10535	1341	1311.0	1356	15	0
VV1_RS02575	778	744.0	795	17	0
VV1_RS10530	1272	1242.0	1287	15	0
VV1_RS01490	1552	1526.0	1565	13	0
VV1_RS12880	916	906.0	921	5	0
VV1_RS01495	1347	1287.0	1377	30	0
VV1_RS12885	1029	1029.0	1029	0	0
VV1_RS14400	708	708.0	708	0	0
VV1_RS07930	1073	1047.0	1086	13	0
VV1_RS05225	772	720.0	798	26	0
VV1_RS09695	1042	1020.0	1053	11	0
VV1_RS07935	1282	1254.0	1296	14	0
VV1_RS05220	1327	1311.0	1335	8	0
VV1_RS04310	2504	2448.0	2532	28	0
VV1_RS11100	923	897.0	936	13	0
VV1_RS04315	1372	1332.0	1392	20	0
VV1_RS09975	621	615.0	624	3	0
VV1_RS09750	1984	1926.0	2013	29	0
VV1_RS00650	696	684.0	702	6	0
VV1_RS00120	1318	1272.0	1341	23	0
VV1_RS04910	1501	1443.0	1530	29	0
VV1_RS09810	1179	1125.0	1206	27	0
VV1_RS02940	1844	1770.0	1881	37	0
VV1_RS02600	1202	1152.0	1227	25	0
VV1_RS00085	1839	1797.0	1860	21	0
VV1_RS06220	671	639.0	687	16	0
VV1_RS12505	1182	1146.0	1200	18	0
VV1_RS02605	770	756.0	777	7	0
VV1_RS13190	1011	993.0	1020	9	0
VV1_RS06225	1010	996.0	1017	7	0
VV1_RS13055	1511	1449.0	1542	31	0
VV1_RS06135	1119	1113.0	1122	3	0
VV1_RS08970	839	825.0	846	7	0
